iso3,name,axis_us,axis_cn,net_lean_us,cuadrante,eng_us,eng_cn,host_us,host_cn,unga_us,unga_cn,unga_us_raw,unga_cn_raw,sec_us,sec_cn,ally_us,ally_cn,arms_us,arms_cn,arms_ru,troops_us,trade_us,trade_cn,ideal_reldist
JPN,Japan,0.677,-0.2498,0.9268,rival de China,0.677,0.2502,0.0,0.5,0.79,0.3482,0.747,0.5236,0.9424,0.0,1.0,0.0,0.9522,0.0,0.0,0.7835,0.2987,0.4024,-0.2385
CAN,Canada,0.8568,-0.0676,0.9244,rival de China,0.8568,0.1324,0.0,0.2,0.9079,0.2348,0.83,0.4565,0.6624,0.0,1.0,0.0,0.2995,0.0,0.0,0.363,1.0,0.1624,-1.0685
LTU,Lithuania,0.5891,-0.2001,0.7892,rival de China,0.5891,0.0999,0.0,0.3,0.8742,0.2526,0.8063,0.4671,0.7829,0.0,1.0,0.0,0.4209,0.0,0.0,,0.1102,0.0471,-1.357
GBR,United Kingdom,0.689,0.0269,0.662,pro-EEUU,0.689,0.1269,0.0,0.1,0.9357,0.2133,0.8496,0.4438,0.8924,0.0,1.0,0.0,0.8671,0.0,0.0,0.6611,0.2389,0.1675,-2.1345
NLD,Netherlands,0.6142,-0.0474,0.6616,rival de China,0.6142,0.1526,0.0,0.2,0.8487,0.2835,0.7883,0.4854,0.8588,0.0,1.0,0.0,0.9064,0.0,0.0,0.4342,0.1351,0.1742,-0.9059
PHL,Philippines,0.4142,-0.24,0.6542,rival de China,0.4142,0.36,0.0,0.6,0.4159,0.6855,0.4836,0.7233,0.627,0.0,1.0,0.0,0.1525,0.0,0.0,0.4064,0.1996,0.3944,1.8597
FSM,Micronesia,0.7433,0.0957,0.6476,pro-EEUU,0.7433,0.0957,0.0,0.0,1.0,0.1538,0.8948,0.4086,1.0,0.0,1.0,0.0,,,,,0.2299,0.1332,-0.8756
CZE,Czechia,0.5684,-0.0311,0.5995,rival de China,0.5684,0.1189,0.0,0.15,0.904,0.2253,0.8273,0.4509,0.7586,0.0,1.0,0.0,0.3563,0.0,0.0,,0.0424,0.1313,-1.5541
ISR,Israel,0.6678,0.077,0.5908,pro-EEUU,0.6678,0.077,0.0,0.0,0.9887,0.0314,0.8869,0.3362,0.6798,0.0,0.8,0.0,0.7064,0.0,0.0,0.3392,0.3349,0.1997,-2.9519
PLW,Palau,0.709,0.1551,0.554,pro-EEUU,0.709,0.1551,0.0,0.0,0.7699,0.3,0.7329,0.4951,1.0,0.0,1.0,0.0,,,,,0.3572,0.1652,0.0786
KOR,South Korea,0.6758,0.1462,0.5296,pro-EEUU,0.6758,0.2462,0.0,0.1,0.8315,0.3141,0.7762,0.5035,0.9052,0.0,1.0,0.0,0.8665,0.0,0.0,0.726,0.2907,0.4245,-0.7882
MKD,North Macedonia,0.625,0.1008,0.5241,pro-EEUU,0.625,0.1008,0.0,0.0,0.8461,0.1914,0.7865,0.4308,1.0,0.0,1.0,0.0,,,,,0.0287,0.1112,-0.8299
ISL,Iceland,0.6687,0.1501,0.5186,pro-EEUU,0.6687,0.1501,0.0,0.0,0.834,0.3208,0.778,0.5075,1.0,0.0,1.0,0.0,,,,,0.1722,0.1295,-0.5297
SWE,Sweden,0.6438,0.1304,0.5134,pro-EEUU,0.6438,0.1304,0.0,0.0,0.8532,0.2931,0.7915,0.4911,0.9507,0.0,1.0,0.0,0.8685,0.0,0.0,,0.1274,0.098,-1.0688
SVK,Slovakia,0.6246,0.1148,0.5098,pro-EEUU,0.6246,0.1148,0.0,0.0,0.8587,0.2789,0.7954,0.4827,0.9682,0.0,1.0,0.0,0.9152,0.0,0.0,,0.0469,0.0655,-1.1178
