iso3,name,grupo_estricto,axis_us,axis_cn,net_lean_us
AFG,Afghanistan,aliado_china_rival_eeuu,-0.2052,0.3856,-0.5908
BLR,Belarus,aliado_china_rival_eeuu,-0.4408,0.4438,-0.8846
BFA,Burkina Faso,aliado_china_rival_eeuu,-0.211,0.4422,-0.6532
CUB,Cuba,aliado_china_rival_eeuu,-0.5657,0.5539,-1.1196
ERI,Eritrea,aliado_china_rival_eeuu,-0.153,0.6912,-0.8442
IRN,Iran,aliado_china_rival_eeuu,-0.9706,0.5759,-1.5465
KGZ,Kyrgyzstan,aliado_china_rival_eeuu,0.0997,0.5921,-0.4924
LAO,Laos,aliado_china_rival_eeuu,0.1131,0.63,-0.5169
MLI,Mali,aliado_china_rival_eeuu,-0.2175,0.427,-0.6445
MNG,Mongolia,aliado_china_rival_eeuu,0.1332,0.6464,-0.5132
MMR,Myanmar,aliado_china_rival_eeuu,-0.1878,0.5238,-0.7115
NIC,Nicaragua,aliado_china_rival_eeuu,-0.2044,0.4631,-0.6675
NER,Niger,aliado_china_rival_eeuu,-0.1422,0.4436,-0.5858
PRK,North Korea,aliado_china_rival_eeuu,-0.8423,0.9745,-1.8168
RUS,Russia,aliado_china_rival_eeuu,-0.8083,0.6133,-1.4216
SLB,Solomon Islands,aliado_china_rival_eeuu,0.1166,0.6596,-0.543
SDN,Sudan,aliado_china_rival_eeuu,-0.2136,0.416,-0.6296
SYR,Syria,aliado_china_rival_eeuu,-0.1987,0.3319,-0.5306
TJK,Tajikistan,aliado_china_rival_eeuu,0.099,0.603,-0.504
TKM,Turkmenistan,aliado_china_rival_eeuu,0.0187,0.7167,-0.6979
ZWE,Zimbabwe,aliado_china_rival_eeuu,-0.1953,0.5076,-0.7029
AUS,Australia,aliado_eeuu_rival_china,0.6148,0.137,0.4777
BGR,Bulgaria,aliado_eeuu_rival_china,0.5784,0.1191,0.4593
CAN,Canada,aliado_eeuu_rival_china,0.8568,-0.0676,0.9244
CZE,Czechia,aliado_eeuu_rival_china,0.5684,-0.0311,0.5995
DNK,Denmark,aliado_eeuu_rival_china,0.6376,0.1345,0.5031
DEU,Germany,aliado_eeuu_rival_china,0.5961,0.1354,0.4607
ISL,Iceland,aliado_eeuu_rival_china,0.6687,0.1501,0.5186
ISR,Israel,aliado_eeuu_rival_china,0.6678,0.077,0.5908
ITA,Italy,aliado_eeuu_rival_china,0.6418,0.1334,0.5084
JPN,Japan,aliado_eeuu_rival_china,0.677,-0.2498,0.9268
LTU,Lithuania,aliado_eeuu_rival_china,0.5891,-0.2001,0.7892
FSM,Micronesia,aliado_eeuu_rival_china,0.7433,0.0957,0.6476
MNE,Montenegro,aliado_eeuu_rival_china,0.62,0.1611,0.4589
NLD,Netherlands,aliado_eeuu_rival_china,0.6142,-0.0474,0.6616
MKD,North Macedonia,aliado_eeuu_rival_china,0.625,0.1008,0.5241
PLW,Palau,aliado_eeuu_rival_china,0.709,0.1551,0.554
PHL,Philippines,aliado_eeuu_rival_china,0.4142,-0.24,0.6542
SVK,Slovakia,aliado_eeuu_rival_china,0.6246,0.1148,0.5098
KOR,South Korea,aliado_eeuu_rival_china,0.6758,0.1462,0.5296
SWE,Sweden,aliado_eeuu_rival_china,0.6438,0.1304,0.5134
GBR,United Kingdom,aliado_eeuu_rival_china,0.689,0.0269,0.662
ATG,Antigua & Barbuda,neutral_ambos,0.3638,0.2495,0.1142
BHR,Bahrain,neutral_ambos,0.3882,0.3102,0.078
BRB,Barbados,neutral_ambos,0.3654,0.2478,0.1176
BLZ,Belize,neutral_ambos,0.3835,0.3219,0.0616
BTN,Bhutan,neutral_ambos,0.128,0.2493,-0.1213
BIH,Bosnia & Herzegovina,neutral_ambos,0.2803,0.1508,0.1295
BWA,Botswana,neutral_ambos,0.1598,0.2601,-0.1003
BRA,Brazil,neutral_ambos,0.3453,0.417,-0.0717
CPV,Cape Verde,neutral_ambos,0.1479,0.2689,-0.121
CHL,Chile,neutral_ambos,0.3911,0.4248,-0.0337
COM,Comoros,neutral_ambos,0.1496,0.2616,-0.112
CYP,Cyprus,neutral_ambos,0.2558,0.1404,0.1155
DMA,Dominica,neutral_ambos,0.2668,0.2785,-0.0116
