Volume of transfers of major arms
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 25 Aug 2026 5:03:03 PM

Recipient,2020,2021,2022,2023,2024,2025,2020-2025,Percentage,Sum total years,Percentage of total
India,1165,1267,1137,498,897,1212,6175,44%,6175,44%
China,547,467,499,327,30,25,1894,13%,1894,13%
Belarus,13,69,215,178,398,466,1338,9.5%,1338,9.5%
Kazakhstan,266,195,188,185,330,,1164,8.3%,1164,8.3%
Algeria,449,77,172,115,87,60,962,6.8%,962,6.8%
Myanmar,64,,111,110,132,24,441,3.1%,441,3.1%
Egypt,428,,,,,,428,3.0%,428,3.0%
House of Representatives (Libya)*,188,5,5,,5,56,259,1.8%,259,1.8%
Serbia,140,62,,,,5,207,1.5%,207,1.5%
Viet Nam,15,63,63,,,,141,1.0%,141,1.0%
Mali,12,29,41,18,1,28,129,0.9%,129,0.9%
Ethiopia,,,,,38,63,101,0.7%,101,0.7%
Pakistan,37,7,,26,26,2,99,0.7%,99,0.7%
Uzbekistan,92,7,,,,,99,0.7%,99,0.7%
Syria,80,7,,,,,87,0.6%,87,0.6%
United Arab Emirates,80,,,,,,80,0.6%,80,0.6%
Uganda,,,49,16,,1,65,0.5%,65,0.5%
Iran,2,,,21,42,,65,0.5%,65,0.5%
Turkiye,32,31,,,,,63,0.4%,63,0.4%
Togo,,,49,,,,49,0.3%,49,0.3%
Rwanda,,46,,,,,46,0.3%,46,0.3%
Armenia,,,29,,,,29,0.2%,29,0.2%
Laos,17,3,,,7,,28,0.2%,28,0.2%
Thailand,,22,4,,,,26,0.2%,26,0.2%
Mongolia,,25,,,,,25,0.2%,25,0.2%
Nigeria,15,7,,,,,21,0.1%,21,0.1%
Niger,15,,,,,,15,0.1%,15,0.1%
Central African Republic,1,,2,9,,,12,0.1%,12,0.1%
Kyrgyzstan,,,,10,,,10,0.1%,10,0.1%
Cambodia,,6,,,,,6,0.0%,6,0.0%
unknown recipient(s),4,,,,,,4,0.0%,4,0.0%
Tajikistan,,,3,,,,3,0.0%,3,0.0%
Turkmenistan,,2,,,,,2,0.0%,2,0.0%
Congo,,1,,,,,1,0.0%,1,0.0%
Gabon,,,,,1,,1,0.0%,1,0.0%
Total imports from Russia,3660,2397,2566,1513,1994,1941,14072,100%,14072,

