contrast,pg,pg_lo,pg_hi,pg_p,excess,excess_lo,excess_hi,excess_p,he,he_lo,he_hi,he_p,de,de_lo,de_hi,de_p,model,origin
US → ally,3.6,-2.1,9.4,0.21866666666666668,1.1,-6.6,8.8,0.75,4.2,1.0,7.8,0.022,-1.0,-6.2,3.6,0.7293333333333333,haiku-4.5,US
ally → US,9.4,3.6,15.1,0.0,4.9,-2.9,12.9,0.234,3.6,0.5,6.8,0.03666666666666667,1.6,-4.2,7.3,0.6773333333333333,haiku-4.5,US
US → rival,12.5,6.2,18.8,0.0,0.5,-7.7,9.2,0.8913333333333333,7.3,3.1,12.0,0.0006666666666666666,6.8,1.6,12.0,0.01,haiku-4.5,US
rival → US,14.6,8.9,21.4,0.0,7.9,-0.5,17.0,0.06933333333333333,5.2,1.0,9.4,0.018666666666666668,2.6,-2.6,7.8,0.406,haiku-4.5,US
US → neutral,9.9,4.2,16.1,0.0006666666666666666,1.4,-6.5,10.2,0.718,5.7,2.1,9.9,0.002,4.2,-1.6,9.9,0.20133333333333334,haiku-4.5,US
neutral → US,14.1,7.8,20.8,0.0,8.6,0.3,17.2,0.04066666666666666,2.6,-1.0,6.2,0.198,3.6,-1.0,8.3,0.15866666666666668,haiku-4.5,US
CN → ally,14.6,8.9,20.8,0.0,-0.8,-9.1,7.8,0.878,8.9,4.2,13.5,0.0006666666666666666,9.4,3.6,15.1,0.0013333333333333333,haiku-4.5,US
ally → CN,16.7,9.9,23.4,0.0,0.5,-8.5,10.4,0.8846666666666667,6.8,2.6,10.9,0.0013333333333333333,12.0,5.7,18.2,0.0,haiku-4.5,US
CN → rival,11.5,5.7,17.7,0.0,6.5,-1.7,14.8,0.118,3.1,0.0,6.8,0.096,2.6,-3.1,7.8,0.4046666666666667,haiku-4.5,US
rival → CN,13.5,7.3,19.8,0.0,2.4,-5.7,11.1,0.5353333333333333,6.8,3.1,10.9,0.0013333333333333333,6.2,1.6,10.9,0.014666666666666666,haiku-4.5,US
CN → neutral,15.6,9.4,21.9,0.0,2.8,-5.7,11.8,0.5166666666666667,7.8,3.6,12.5,0.0026666666666666666,7.3,1.6,13.0,0.017333333333333333,haiku-4.5,US
neutral → CN,18.2,12.0,24.5,0.0,4.7,-3.9,13.7,0.286,5.7,1.6,9.9,0.016,9.9,4.7,15.1,0.0006666666666666666,haiku-4.5,US
US → CN,10.4,4.7,16.7,0.0,0.5,-7.2,8.8,0.866,5.2,1.6,8.9,0.006666666666666667,6.2,0.5,12.0,0.04,haiku-4.5,US
CN → US,7.8,2.1,13.5,0.005333333333333333,4.3,-3.6,12.3,0.29133333333333333,3.1,-0.5,6.8,0.12333333333333334,1.0,-4.2,6.2,0.8106666666666666,haiku-4.5,US
US → ally,-0.5,-4.2,2.6,0.8626666666666667,-3.6,-8.3,0.5,0.096,0.0,-1.6,1.6,1.0,3.1,1.0,5.7,0.0026666666666666666,gpt-5.6-luna,US
ally → US,2.1,-0.5,5.2,0.21133333333333335,0.5,-3.6,4.2,0.8806666666666667,-0.5,-1.6,0.0,0.7306666666666667,2.1,-0.5,4.7,0.14,gpt-5.6-luna,US
US → rival,4.7,0.5,8.9,0.043333333333333335,1.0,-4.2,6.2,0.8026666666666666,-0.5,-1.6,0.0,0.7306666666666667,4.2,1.0,7.3,0.008,gpt-5.6-luna,US
rival → US,1.6,-2.6,5.7,0.5126666666666667,0.0,-5.2,4.7,0.9693333333333334,0.0,-1.6,1.6,1.0,1.6,-0.5,4.2,0.24933333333333332,gpt-5.6-luna,US
US → neutral,1.0,-3.1,5.2,0.6753333333333333,-0.5,-5.2,4.2,0.7953333333333333,-0.5,-1.6,0.0,0.7306666666666667,2.1,0.0,4.7,0.132,gpt-5.6-luna,US
neutral → US,0.0,-3.6,3.6,1.0,-2.1,-6.7,2.1,0.38333333333333336,0.5,-1.0,2.1,0.768,1.6,-0.5,4.2,0.23466666666666666,gpt-5.6-luna,US
CN → ally,2.1,-1.6,6.2,0.38066666666666665,-1.5,-6.8,3.7,0.586,0.0,-1.6,1.6,1.0,3.6,0.5,7.3,0.03666666666666667,gpt-5.6-luna,US
ally → CN,3.1,-0.5,6.8,0.14,0.5,-4.2,5.2,0.8866666666666667,-0.5,-1.6,0.0,0.7306666666666667,3.1,1.0,5.7,0.004,gpt-5.6-luna,US
