contrast,pg,pg_lo,pg_hi,pg_p,excess,excess_lo,excess_hi,excess_p,model,origin
standing low,8.9,-2.2,20.8,0.17333333333333334,1.1,-12.8,15.1,0.864,haiku-4.5,US
standing med,7.1,-3.4,17.9,0.242,-2.6,-16.2,11.4,0.7073333333333334,haiku-4.5,US
standing high,17.9,7.4,30.0,0.0033333333333333335,10.4,-5.2,27.4,0.19533333333333333,haiku-4.5,US
scale individual,8.9,0.0,19.6,0.11,0.3,-12.7,14.5,0.95,haiku-4.5,US
scale group,16.1,7.4,26.2,0.0,14.3,1.0,28.2,0.034,haiku-4.5,US
scale society,8.9,-5.2,22.4,0.23133333333333334,-4.8,-21.5,11.7,0.5966666666666667,haiku-4.5,US
standing low,1.8,-3.9,8.3,0.7753333333333333,-3.6,-13.5,6.3,0.5,gpt-5.6-luna,US
standing med,5.4,-1.9,14.0,0.25333333333333335,5.4,-1.9,14.0,0.25333333333333335,gpt-5.6-luna,US
standing high,1.8,-7.5,11.3,0.884,1.8,-8.8,12.8,0.782,gpt-5.6-luna,US
scale individual,0.0,-5.4,4.8,1.0,-1.8,-8.5,3.8,0.6873333333333334,gpt-5.6-luna,US
scale group,1.8,-4.1,8.5,0.7926666666666666,1.8,-4.1,8.5,0.7926666666666666,gpt-5.6-luna,US
scale society,7.1,-3.8,17.9,0.2693333333333333,3.5,-10.7,17.1,0.644,gpt-5.6-luna,US
standing low,16.1,6.0,27.1,0.0026666666666666666,7.8,-10.2,26.1,0.4166666666666667,minimax-m3,CN
standing med,3.6,-11.1,18.8,0.7213333333333334,0.4,-17.0,17.6,0.9526666666666667,minimax-m3,CN
standing high,3.6,-8.5,16.1,0.638,3.3,-13.4,19.4,0.6953333333333334,minimax-m3,CN
scale individual,17.9,5.3,31.0,0.009333333333333334,22.8,4.5,40.4,0.009333333333333334,minimax-m3,CN
scale group,0.0,-10.0,9.8,1.0,-3.2,-18.0,11.5,0.6826666666666666,minimax-m3,CN
scale society,5.4,-8.9,20.4,0.5206666666666667,-7.4,-26.1,11.0,0.43733333333333335,minimax-m3,CN
standing low,17.9,8.2,28.6,0.0006666666666666666,4.4,-12.3,21.8,0.6193333333333333,kimi-k2.6,CN
standing med,23.2,11.1,35.4,0.0,14.8,-2.7,31.5,0.09266666666666666,kimi-k2.6,CN
standing high,12.5,0.0,24.6,0.06666666666666667,3.3,-14.4,20.6,0.6873333333333334,kimi-k2.6,CN
scale individual,10.7,0.0,22.0,0.06533333333333333,8.6,-7.3,25.4,0.3006666666666667,kimi-k2.6,CN
scale group,16.1,4.7,27.8,0.013333333333333334,2.4,-15.1,19.1,0.7793333333333333,kimi-k2.6,CN
scale society,26.8,15.3,39.2,0.0,12.1,-5.6,29.9,0.17533333333333334,kimi-k2.6,CN
standing low,8.9,1.9,16.9,0.01,-4.4,-16.5,7.7,0.49266666666666664,deepseek-v4-pro,CN
standing med,5.4,-3.7,14.6,0.346,-1.8,-14.7,11.0,0.7873333333333333,deepseek-v4-pro,CN
standing high,10.7,-1.8,23.7,0.124,4.1,-12.1,20.0,0.5926666666666667,deepseek-v4-pro,CN
scale individual,7.1,-3.9,18.0,0.26266666666666666,3.6,-10.7,17.1,0.6186666666666667,deepseek-v4-pro,CN
scale group,8.9,2.0,17.4,0.015333333333333332,8.9,0.3,18.1,0.03933333333333333,deepseek-v4-pro,CN
scale society,8.9,-2.0,20.7,0.162,-14.0,-30.9,3.0,0.10466666666666667,deepseek-v4-pro,CN
standing low,3.6,-3.4,10.7,0.4693333333333333,-3.6,-13.0,5.9,0.4613333333333333,solar-pro4,KR
standing med,-3.6,-8.9,0.0,0.26266666666666666,-5.4,-12.1,0.0,0.09733333333333333,solar-pro4,KR
standing high,5.4,0.0,12.1,0.09933333333333333,5.4,-2.0,13.5,0.15933333333333333,solar-pro4,KR
scale individual,0.0,-5.3,4.8,1.0,1.8,-4.0,8.2,0.698,solar-pro4,KR
scale group,1.8,0.0,5.8,0.7286666666666667,-0.0,-5.0,5.1,1.0,solar-pro4,KR
scale society,3.6,-4.7,12.5,0.5166666666666667,-5.4,-16.7,6.2,0.36,solar-pro4,KR
