level,prompts_pg,rows,pg,pg_lo,pg_hi,excess,excess_lo,excess_hi,excess_p,he,he_lo,he_hi,de,de_lo,de_hi,components,components_lo,components_hi,d_pg,d_pg_lo,d_pg_hi,d_pg_p,d_excess,d_excess_p,model
low,64,1536,21.1,14.6,27.9,-2.7,-12.5,6.8,0.588,6.8,3.3,11.0,18.2,12.3,25.0,23.8,17.4,30.9,0.0,0.0,0.0,1.0,0.0,1.0,haiku-4.5
med,64,1536,24.2,17.0,31.3,6.4,-3.3,15.6,0.196,5.3,2.4,8.8,13.3,7.9,19.4,17.9,12.0,24.4,3.1,-6.4,13.0,0.5366666666666666,9.0,0.19866666666666666,haiku-4.5
high,64,1536,38.9,30.8,47.6,3.9,-7.9,15.6,0.5086666666666667,14.6,8.9,21.0,23.8,16.8,31.4,35.0,27.5,43.2,17.8,7.0,29.2,0.0006666666666666666,6.5,0.41733333333333333,haiku-4.5
low,64,1536,7.6,3.4,12.5,2.5,-2.7,7.9,0.37466666666666665,0.2,0.0,0.6,4.9,2.1,8.5,5.1,2.2,8.7,0.0,0.0,0.0,1.0,0.0,1.0,gpt-5.6-luna
med,64,1536,7.2,3.8,11.1,4.1,-0.7,8.8,0.08933333333333333,0.0,0.0,0.0,3.1,0.6,6.8,3.1,0.6,6.8,-0.4,-6.5,5.3,0.9186666666666666,1.6,0.6586666666666666,gpt-5.6-luna
high,64,1536,14.8,9.5,20.6,6.0,-1.5,13.4,0.126,1.8,0.2,3.8,7.2,2.9,13.1,8.9,4.3,14.8,7.2,-0.0,14.7,0.050666666666666665,3.4,0.46266666666666667,gpt-5.6-luna
low,64,1536,25.6,18.4,33.3,-6.1,-16.0,3.9,0.238,5.3,2.5,8.6,27.9,21.2,35.1,31.7,24.8,38.8,0.0,0.0,0.0,1.0,0.0,1.0,minimax-m3
med,64,1536,30.7,24.1,37.3,7.0,-2.9,16.6,0.15733333333333333,3.7,1.5,6.6,20.7,14.4,27.7,23.6,17.2,30.5,5.1,-5.2,15.2,0.32866666666666666,13.2,0.06733333333333333,minimax-m3
high,64,1536,34.6,27.0,42.9,4.1,-5.8,14.5,0.4246666666666667,8.2,4.4,12.9,24.2,18.2,30.8,30.4,24.2,37.2,9.0,-2.0,20.1,0.122,10.3,0.17533333333333334,minimax-m3
low,64,1536,18.2,11.8,25.2,0.3,-8.6,8.9,0.9673333333333334,1.8,0.6,3.3,16.4,11.1,22.5,17.9,12.5,24.0,0.0,0.0,0.0,1.0,0.0,1.0,kimi-k2.6
med,64,1536,17.6,12.0,23.5,3.0,-5.8,11.5,0.5133333333333333,0.8,0.2,1.6,13.9,7.8,20.7,14.5,8.4,21.5,-0.6,-9.3,8.0,0.8846666666666667,2.7,0.6786666666666666,kimi-k2.6
high,64,1536,28.5,21.0,36.2,2.5,-7.6,12.9,0.6253333333333333,6.1,2.5,10.3,21.3,14.6,28.3,26.1,19.3,33.6,10.4,0.1,20.5,0.048666666666666664,2.2,0.756,kimi-k2.6
low,64,1536,25.6,17.7,34.1,1.0,-10.0,11.8,0.8566666666666667,3.5,1.4,6.1,21.9,15.2,29.3,24.6,17.9,32.1,0.0,0.0,0.0,1.0,0.0,1.0,deepseek-v4-pro
med,64,1536,24.4,17.2,32.0,7.1,-2.7,16.8,0.168,1.8,0.4,3.6,15.8,10.0,22.5,17.3,11.4,24.1,-1.2,-11.9,9.9,0.8186666666666667,6.1,0.42533333333333334,deepseek-v4-pro
high,64,1536,37.9,29.4,46.7,7.6,-3.9,19.2,0.19133333333333333,8.2,4.0,13.1,24.0,16.7,31.4,30.3,22.9,38.1,12.3,-0.2,24.0,0.052,6.7,0.42133333333333334,deepseek-v4-pro
low,64,1536,4.3,1.9,7.1,0.0,-3.7,3.6,0.998,0.0,0.0,0.0,4.3,2.0,7.2,4.3,2.0,7.2,0.0,0.0,0.0,1.0,0.0,1.0,solar-pro4
med,64,1536,3.5,1.7,5.6,-0.2,-3.9,2.9,0.906,0.2,0.0,0.6,3.5,1.2,6.7,3.7,1.4,7.0,-0.8,-4.2,2.4,0.6686666666666666,-0.2,0.9306666666666666,solar-pro4
high,64,1536,4.5,1.8,7.7,-1.7,-6.5,2.9,0.5053333333333333,2.1,0.0,5.5,4.1,1.8,7.0,6.2,2.7,10.3,0.2,-3.7,4.3,0.9306666666666666,-1.7,0.5953333333333334,solar-pro4
