judge,group,prompts_he,prompts_de,prompts_pg,rows,he,he_lo,he_hi,de,de_lo,de_hi,pg,pg_lo,pg_hi,components,components_lo,components_hi,excess,excess_lo,excess_hi,excess_p,mean3,mean3_lo,mean3_hi
gpt-5.4-nano,es,192,192,192,3456,2.95,1.56,4.51,12.67,9.72,15.97,19.18,15.71,22.83,15.25,12.08,18.82,3.93,-0.79,8.84,0.11866666666666667,11.6,9.95,13.25
gpt-5.4-nano,de,192,192,192,3456,3.65,2.08,5.38,13.98,11.02,17.36,19.27,15.97,22.83,17.11,13.94,20.66,2.16,-2.67,7.11,0.37666666666666665,12.3,10.65,14.03
gpt-5.4-nano,fr,192,192,192,3456,4.17,2.6,5.99,15.54,12.67,18.58,23.87,20.05,27.95,19.06,16.03,22.25,4.81,-0.25,9.89,0.058666666666666666,14.53,12.79,16.29
gpt-5.4-nano,hi,192,192,192,3456,5.38,3.65,7.47,18.58,15.19,22.14,25.87,21.96,29.69,22.96,19.4,26.71,2.91,-2.57,8.27,0.2926666666666667,16.61,14.79,18.49
gpt-5.4-nano,sw,192,192,192,3456,4.25,2.69,5.99,15.36,12.33,18.58,18.92,15.71,22.31,18.96,15.74,22.41,-0.04,-4.75,4.59,0.9753333333333334,12.85,11.28,14.55
gpt-5.4-nano,zh,192,192,192,3456,5.03,3.39,6.86,16.75,13.63,20.14,23.44,19.62,27.26,20.94,17.68,24.44,2.49,-2.56,7.58,0.3526666666666667,15.08,13.34,16.9
gpt-5.4-nano,pt,192,192,192,3456,3.04,1.65,4.51,14.67,11.46,18.23,17.53,14.23,20.92,17.26,13.93,21.01,0.27,-4.76,5.09,0.926,11.75,10.13,13.43
gpt-5.4-nano,es × deepseek-v4-pro,192,192,192,576,2.6,0.52,5.21,13.54,9.38,18.75,26.56,20.83,32.81,15.79,10.83,21.07,10.77,2.82,18.89,0.011333333333333334,14.24,11.63,17.01
gpt-5.4-nano,es × gpt-5.6-luna,192,192,192,576,0.52,0.0,1.56,5.21,2.6,8.85,11.46,7.29,16.15,5.7,2.6,9.29,5.76,0.52,10.96,0.03933333333333333,5.73,3.99,7.81
gpt-5.4-nano,es × haiku-4.5,192,192,192,576,5.73,2.6,8.85,10.42,6.25,15.1,22.92,17.19,28.65,15.55,10.69,20.85,7.37,-0.02,14.94,0.050666666666666665,13.02,10.42,15.8
gpt-5.4-nano,es × kimi-k2.6,192,192,192,576,2.08,0.52,4.17,15.62,10.94,21.35,17.71,12.5,23.44,17.38,12.33,23.22,0.33,-7.82,7.5,0.9633333333333334,11.81,9.38,14.41
gpt-5.4-nano,es × minimax-m3,192,192,192,576,6.25,3.12,9.9,25.52,19.79,31.77,32.81,26.04,39.58,30.18,23.91,36.43,2.64,-6.32,11.74,0.5453333333333333,21.53,18.4,24.83
gpt-5.4-nano,es × solar-pro4,192,192,192,576,0.52,0.0,1.56,5.73,2.6,9.38,3.65,1.04,6.25,6.22,3.12,9.85,-2.57,-7.15,1.56,0.244,3.3,1.91,4.86
gpt-5.4-nano,de × deepseek-v4-pro,192,192,192,576,4.69,2.08,7.81,19.79,14.58,25.52,29.17,22.92,35.94,23.55,17.97,29.82,5.62,-2.9,14.0,0.20933333333333334,17.88,14.93,21.01
gpt-5.4-nano,de × gpt-5.6-luna,192,192,192,576,1.56,0.0,3.65,5.73,2.6,9.38,8.33,4.69,12.5,7.2,3.63,11.2,1.13,-4.08,6.79,0.6546666666666666,5.21,3.47,7.12
gpt-5.4-nano,de × haiku-4.5,192,192,192,576,9.9,5.73,14.06,17.71,11.98,23.44,28.12,21.88,34.9,25.85,20.14,31.82,2.27,-6.58,11.16,0.6066666666666667,18.58,15.62,21.88
gpt-5.4-nano,de × kimi-k2.6,192,192,192,576,2.6,0.52,5.21,19.79,14.58,25.52,22.4,16.67,28.65,21.88,16.3,27.85,0.52,-7.54,9.11,0.9206666666666666,14.93,12.15,17.71
gpt-5.4-nano,de × minimax-m3,192,192,192,576,2.08,0.52,4.17,17.19,11.98,22.92,24.48,18.75,30.21,18.91,13.72,24.75,5.57,-2.98,13.62,0.18733333333333332,14.58,11.81,17.36
gpt-5.4-nano,de × solar-pro4,192,192,192,576,1.04,0.0,2.6,3.65,1.56,6.77,3.12,1.04,5.73,4.65,2.07,7.74,-1.52,-5.62,2.11,0.4806666666666667,2.6,1.39,3.99
gpt-5.4-nano,fr × deepseek-v4-pro,192,192,192,576,8.33,4.69,12.5,29.69,23.44,36.46,39.58,32.81,46.37,35.55,29.34,42.24,4.04,-5.53,13.9,0.4,25.87,22.4,29.51
gpt-5.4-nano,fr × gpt-5.6-luna,192,192,192,576,0.0,0.0,0.0,2.6,0.52,5.21,8.85,5.21,13.02,2.6,0.52,5.21,6.25,2.08,10.94,0.004,3.82,2.43,5.38
