group,he,he_lo,he_hi,de,de_lo,de_hi,pg,pg_lo,pg_hi,pg_p,components,components_lo,components_hi,excess,excess_lo,excess_hi,excess_p
es,1.476,0.608,2.517,2.431,1.215,3.733,7.118,5.208,9.028,0.0,3.612,2.182,5.079,3.506,1.119,5.886,0.003
de,0.781,0.0,1.562,2.951,1.649,4.427,8.681,6.682,10.851,0.0,3.493,2.044,5.002,5.188,2.545,7.753,0.0
fr,2.083,1.215,3.038,2.778,1.389,4.427,8.42,6.25,10.59,0.0,4.364,2.814,6.109,4.056,1.382,6.674,0.005
hi,1.389,0.347,2.517,4.08,2.691,5.645,8.073,5.903,10.243,0.0,4.935,3.362,6.56,3.138,0.359,5.85,0.03
sw,1.823,0.694,2.951,2.257,1.128,3.559,7.986,6.076,10.069,0.0,3.663,2.238,5.249,4.323,1.942,6.762,0.001
zh,2.257,1.128,3.559,3.646,1.997,5.295,9.028,7.031,11.111,0.0,5.259,3.47,7.146,3.769,0.979,6.499,0.007
pt,0.521,-0.174,1.215,1.91,0.608,3.299,7.292,5.208,9.375,0.0,2.286,0.915,3.791,5.005,2.591,7.559,0.0
es × deepseek-v4-pro,1.562,0.0,3.646,0.521,-1.562,3.125,2.083,0.0,4.688,0.134,1.85,-0.602,4.647,0.233,-3.473,3.76,0.919
es × gpt-5.6-luna,1.042,-1.042,3.125,4.167,1.562,7.292,14.062,8.854,19.271,0.0,5.089,2.051,8.618,8.974,2.794,15.083,0.003
es × haiku-4.5,3.646,0.0,7.292,3.646,0.0,7.292,8.854,3.646,14.062,0.001,6.57,1.866,11.263,2.284,-4.796,9.441,0.507
es × kimi-k2.6,0.521,0.0,1.563,1.562,-0.521,4.167,2.083,-1.562,5.729,0.306,1.961,-0.098,4.517,0.122,-4.053,4.264,0.903
es × minimax-m3,2.083,0.521,4.167,3.125,0.521,6.25,6.771,3.646,10.417,0.0,4.416,1.552,7.574,2.355,-2.303,7.053,0.315
es × solar-pro4,0.0,0.0,0.0,1.563,-0.521,3.646,8.854,5.208,13.021,0.0,1.554,-0.521,3.646,7.3,3.125,11.982,0.001
de × deepseek-v4-pro,2.083,0.521,4.167,3.646,1.029,6.771,2.083,-0.521,5.208,0.216,5.07,1.923,8.494,-2.987,-7.205,1.359,0.173
de × gpt-5.6-luna,-0.521,-2.083,1.042,2.083,0.521,4.167,15.104,10.417,20.312,0.0,1.571,-0.96,4.167,13.534,7.807,19.241,0.0
de × haiku-4.5,-0.521,-3.646,2.604,3.125,-0.521,6.771,5.208,0.521,10.417,0.036,2.403,-1.682,6.57,2.805,-3.46,9.343,0.377
de × kimi-k2.6,1.562,-0.521,3.646,3.646,0.0,7.812,8.854,4.688,13.542,0.0,4.747,0.721,8.993,4.107,-1.932,10.13,0.182
de × minimax-m3,1.042,0.0,2.604,4.167,1.042,7.812,10.417,6.25,15.104,0.0,4.899,1.438,8.741,5.518,-0.537,11.633,0.067
de × solar-pro4,1.042,0.0,2.604,1.042,0.0,2.604,10.417,6.771,15.104,0.0,2.024,0.496,4.118,8.393,3.876,13.119,0.0
fr × deepseek-v4-pro,-0.521,-1.563,0.0,2.604,-0.521,5.729,3.125,-0.013,6.771,0.105,2.035,-0.793,4.964,1.09,-3.364,5.816,0.616
fr × gpt-5.6-luna,1.042,0.0,2.604,1.042,0.0,2.604,17.708,12.5,22.917,0.0,2.045,0.502,4.536,15.663,9.993,21.381,0.0
fr × haiku-4.5,6.25,3.125,9.896,0.0,-3.646,4.167,5.729,1.562,10.417,0.013,5.013,0.482,9.782,0.716,-5.847,6.766,0.861
fr × kimi-k2.6,2.604,0.521,5.208,4.167,0.521,8.333,9.375,5.208,13.542,0.0,5.984,2.102,10.33,3.391,-2.442,9.245,0.268
fr × minimax-m3,3.125,1.042,5.729,6.771,3.125,10.938,7.292,3.646,11.458,0.0,8.686,4.601,13.102,-1.394,-7.053,4.191,0.603
fr × solar-pro4,0.0,0.0,0.0,2.083,0.0,4.688,7.292,3.646,10.938,0.0,2.062,0.0,4.663,5.23,1.042,9.399,0.015
hi × deepseek-v4-pro,1.563,-0.521,4.167,2.604,0.0,5.208,6.25,2.604,9.896,0.0,3.635,0.798,6.727,2.615,-1.971,7.49,0.268
hi × gpt-5.6-luna,1.562,0.0,3.646,8.333,4.688,12.5,18.229,13.021,23.958,0.0,9.573,5.642,14.074,8.656,1.929,15.422,0.014
hi × haiku-4.5,0.0,-3.646,3.646,4.688,1.042,8.333,8.333,2.604,14.062,0.004,4.102,-0.198,8.206,4.232,-2.974,11.223,0.24
hi × kimi-k2.6,0.521,-1.042,2.604,3.646,0.0,7.812,3.125,-1.042,7.812,0.207,3.852,0.0,7.764,-0.727,-6.965,5.128,0.848
hi × minimax-m3,3.646,1.042,6.771,3.125,-1.042,7.292,6.25,2.604,10.417,0.0,5.273,1.367,9.403,0.977,-4.417,6.443,0.707
hi × solar-pro4,1.042,0.0,2.604,2.083,0.521,4.167,6.25,2.604,9.896,0.0,3.06,1.014,5.604,3.19,-0.96,7.812,0.125
sw × deepseek-v4-pro,0.521,-1.042,2.604,0.521,-2.604,3.646,1.042,-2.604,4.688,0.656,0.871,-2.255,4.091,0.171,-4.541,5.059,0.935
sw × gpt-5.6-luna,2.083,0.521,4.167,3.646,1.562,6.25,12.5,7.812,17.708,0.0,5.482,2.506,8.719,7.018,1.218,13.054,0.017
sw × haiku-4.5,2.604,-1.042,6.263,0.0,-3.125,3.125,6.771,2.604,11.458,0.005,2.143,-1.883,6.389,4.628,-1.474,10.726,0.139
sw × kimi-k2.6,2.604,0.521,5.208,3.125,1.042,5.729,7.292,3.646,11.458,0.0,5.284,2.425,8.676,2.007,-2.96,7.034,0.458
sw × minimax-m3,0.521,-1.042,2.083,2.083,-0.521,5.208,8.854,4.688,13.542,0.0,2.39,-0.499,5.521,6.464,1.467,11.915,0.011
sw × solar-pro4,2.604,0.521,5.208,4.167,0.521,8.333,11.458,6.771,16.146,0.0,6.38,1.969,10.738,5.078,-1.221,11.545,0.126
zh × deepseek-v4-pro,1.562,0.0,3.646,0.521,-1.562,3.125,5.208,2.083,8.333,0.0,1.761,-0.665,4.498,3.448,-0.554,7.691,0.097
zh × gpt-5.6-luna,0.521,0.0,1.562,1.042,-1.042,3.125,10.938,6.25,15.625,0.0,1.533,-0.524,4.026,9.405,4.21,14.616,0.0
zh × haiku-4.5,4.688,1.042,8.854,7.292,2.083,13.021,14.062,8.854,19.792,0.0,9.654,4.291,15.359,4.408,-3.502,12.045,0.288
zh × kimi-k2.6,4.167,1.042,7.292,4.167,1.042,7.812,6.771,3.125,11.458,0.001,7.552,3.363,11.977,-0.781,-6.766,5.271,0.808
zh × minimax-m3,2.604,-0.013,5.729,6.25,2.083,10.938,6.771,3.125,10.938,0.0,7.048,2.905,11.491,-0.277,-5.971,5.536,0.915
zh × solar-pro4,0.0,0.0,0.0,2.604,0.0,5.729,10.417,5.729,15.117,0.0,2.591,0.0,5.61,7.826,2.604,13.542,0.003
pt × deepseek-v4-pro,0.521,-1.042,2.604,0.0,-2.083,2.083,2.604,-0.521,6.25,0.144,0.401,-1.997,2.933,2.203,-1.709,6.481,0.28
