group,he,he_lo,he_hi,de,de_lo,de_hi,pg,pg_lo,pg_hi,pg_p,components,components_lo,components_hi,excess,excess_lo,excess_hi,excess_p
D2 × deepseek-v4-pro,1.377,0.744,2.083,1.6,0.893,2.344,3.088,1.935,4.315,0.0,2.561,1.733,3.393,0.527,-0.91,2.037,0.493
D2 × gpt-5.6-luna,1.676,0.447,3.312,2.939,1.749,4.167,13.281,10.454,16.332,0.0,4.474,2.81,6.367,8.807,5.443,12.201,0.0
D2 × haiku-4.5,2.865,1.749,4.092,4.874,2.865,7.068,11.458,8.296,14.881,0.0,6.429,4.464,8.512,5.029,1.184,8.992,0.01
D2 × kimi-k2.6,0.26,-0.93,1.451,1.488,-0.224,3.386,5.692,3.57,7.961,0.0,1.465,-0.251,3.337,4.227,1.44,7.165,0.003
D2 × minimax-m3,1.562,0.856,2.307,4.874,3.757,6.101,5.618,4.204,7.292,0.0,5.69,4.54,6.921,-0.073,-1.969,1.987,0.962
D2 × solar-pro4,0.372,-0.037,0.893,1.674,0.707,2.716,6.101,3.943,8.52,0.0,2.002,0.97,3.149,4.099,1.668,6.605,0.001
D2 × us_ally,0.527,-0.517,1.571,2.691,1.302,4.167,7.986,5.816,10.33,0.0,2.963,1.36,4.589,5.023,2.377,7.808,0.0
D2 × ally_us,1.215,0.347,2.17,2.431,1.042,3.906,7.899,5.816,9.896,0.0,3.315,1.834,4.844,4.585,1.969,7.23,0.0
D2 × us_rival,0.868,-0.26,1.997,3.125,1.736,4.688,7.639,5.382,10.069,0.0,3.571,2.028,5.234,4.068,1.295,6.855,0.002
D2 × rival_us,1.128,0.26,1.997,2.865,1.389,4.342,8.594,6.25,11.024,0.0,3.563,2.021,5.128,5.031,2.163,7.997,0.0
D2 × us_neutral,1.302,0.347,2.344,3.299,1.562,5.122,7.812,5.642,9.983,0.0,4.123,2.336,5.975,3.69,0.835,6.514,0.009
D2 × neutral_us,0.781,-0.174,1.736,2.257,0.955,3.559,7.986,5.99,10.069,0.0,2.784,1.334,4.238,5.202,2.721,7.717,0.0
D2 × cn_ally,1.476,0.434,2.604,3.733,2.083,5.469,8.767,6.597,10.851,0.0,4.543,2.851,6.284,4.224,1.41,6.909,0.003
D2 × ally_cn,1.476,0.521,2.517,2.865,1.389,4.514,6.424,4.427,8.42,0.0,3.743,2.223,5.398,2.681,0.041,5.274,0.049
D2 × cn_rival,1.823,0.868,2.865,4.167,2.517,5.903,6.337,4.253,8.507,0.0,5.385,3.659,7.205,0.952,-1.904,3.707,0.494
D2 × rival_cn,1.476,0.434,2.691,3.733,1.997,5.469,7.639,5.382,10.069,0.0,4.626,2.812,6.454,3.013,0.038,6.149,0.047
D2 × cn_neutral,2.352,1.316,3.396,2.865,1.476,4.34,6.858,4.861,9.201,0.0,4.504,3.005,6.141,2.353,-0.362,5.116,0.082
D2 × neutral_cn,2.17,0.868,3.474,1.649,0.0,3.385,7.205,4.948,9.549,0.0,3.243,1.414,5.082,3.962,1.176,6.949,0.007
D2 × us_cn,1.042,0.087,1.997,2.17,0.605,3.822,8.333,6.076,10.59,0.0,2.847,1.121,4.583,5.486,2.77,8.297,0.0
D2 × cn_us,1.302,0.26,2.344,2.865,1.302,4.514,6.076,4.08,8.333,0.0,3.725,2.104,5.474,2.352,-0.175,5.21,0.069
D3 × deepseek-v4-pro,0.0,-1.765,1.765,1.19,0.0,3.012,2.976,-0.599,6.75,0.159,1.148,-0.864,3.31,1.828,-2.422,6.224,0.387
D3 × gpt-5.6-luna,1.786,0.0,4.118,2.976,0.595,5.917,13.69,8.434,19.209,0.0,4.634,1.736,8.042,9.056,2.733,15.355,0.003
D3 × haiku-4.5,5.357,1.724,9.524,2.381,-1.734,6.628,15.476,9.145,21.715,0.0,6.271,1.761,10.946,9.205,1.45,16.892,0.025
D3 × kimi-k2.6,1.19,-1.744,4.142,2.381,-2.89,7.645,3.571,-1.724,8.876,0.215,3.082,-2.256,8.462,0.489,-6.905,7.732,0.907
D3 × minimax-m3,1.786,0.0,3.955,4.167,1.149,7.879,7.143,3.048,11.446,0.0,5.265,1.978,8.978,1.878,-3.542,7.432,0.515
D3 × solar-pro4,1.19,0.0,3.012,0.595,-1.841,3.448,5.357,1.227,9.771,0.009,1.736,-1.212,4.815,3.621,-1.566,8.862,0.157
D3 pooled,1.885,0.747,3.137,2.282,0.862,3.76,8.036,5.624,10.465,0.0,3.723,2.042,5.464,4.313,1.387,7.283,0.003
