group,origin,contrast,pg,pg_lo,pg_hi,pg_p,excess,excess_lo,excess_hi,excess_p,he,he_lo,he_hi,he_p,de,de_lo,de_hi,de_p
deepseek-v4-pro,CN,society − individual,17.2,2.4,32.6,0.021333333333333333,8.1,-11.0,28.2,0.42533333333333334,0.0,-6.0,6.0,0.988,9.4,-2.8,21.5,0.138
deepseek-v4-pro,CN,group − individual,-9.4,-20.5,1.3,0.09,-9.3,-25.4,6.6,0.25266666666666665,1.6,-4.9,8.5,0.6486666666666666,-1.6,-11.6,8.1,0.7173333333333334
gemini-3.1-flash-lite,US,society − individual,4.7,-1.6,12.0,0.146,6.2,-0.5,14.0,0.078,0.0,0.0,0.0,1.0,-1.6,-5.1,0.0,0.7333333333333333
gemini-3.1-flash-lite,US,group − individual,-1.6,-5.1,0.0,0.7453333333333333,0.0,-4.2,4.2,1.0,0.0,0.0,0.0,1.0,-1.6,-5.1,0.0,0.7333333333333333
gemma-4-31b,US,society − individual,12.5,4.0,21.9,0.004,15.6,5.1,26.9,0.002,-1.6,-5.3,0.0,0.732,-1.6,-6.9,3.5,0.6226666666666667
gemma-4-31b,US,group − individual,1.6,-3.5,6.9,0.6106666666666667,3.1,-5.3,12.0,0.46266666666666667,0.0,-4.5,4.3,1.0,-1.6,-7.0,3.3,0.6173333333333333
glm-5.2,CN,society − individual,39.1,23.3,53.9,0.0,26.2,4.1,48.5,0.018666666666666668,-3.1,-9.7,2.4,0.31133333333333335,15.6,0.3,30.8,0.04933333333333333
glm-5.2,CN,group − individual,9.4,-4.8,23.6,0.21,13.6,-5.8,34.6,0.18066666666666667,-1.6,-8.5,5.0,0.642,-3.1,-16.3,9.8,0.6593333333333333
gpt-5.6-luna,US,society − individual,32.8,19.0,46.0,0.0,25.1,9.6,40.1,0.0013333333333333333,0.0,-4.6,4.6,1.0,7.8,1.6,14.8,0.022
gpt-5.6-luna,US,group − individual,3.1,-5.9,13.1,0.492,1.6,-8.9,12.9,0.7533333333333333,0.0,-4.5,4.4,1.0,1.6,0.0,5.2,0.764
gpt-5.6-sol,US,society − individual,32.8,18.5,46.4,0.0,25.4,7.7,42.6,0.004,3.1,0.0,8.1,0.276,4.7,-5.7,15.0,0.404
gpt-5.6-sol,US,group − individual,7.8,-2.9,19.1,0.16,14.1,1.4,27.2,0.029333333333333333,1.6,0.0,5.3,0.7386666666666667,-7.8,-15.0,-1.7,0.012
gpt-5.6-terra,US,society − individual,32.8,20.8,45.6,0.0,26.6,12.5,40.9,0.0,0.0,0.0,0.0,1.0,6.2,-0.4,14.1,0.07333333333333333
gpt-5.6-terra,US,group − individual,6.2,-1.8,15.3,0.13933333333333334,4.7,-5.1,14.7,0.34,1.6,0.0,5.3,0.7386666666666667,0.0,-4.6,4.6,1.0
grok-4.3,US,society − individual,29.7,13.1,45.6,0.0006666666666666666,6.0,-16.8,28.9,0.64,-6.2,-13.9,0.8,0.08466666666666667,28.1,11.6,44.7,0.002
grok-4.3,US,group − individual,3.1,-14.0,20.2,0.7306666666666667,0.2,-23.2,23.4,0.9633333333333334,0.0,-9.0,9.3,1.0,3.1,-13.5,19.1,0.7166666666666667
haiku-4.5,US,society − individual,40.6,25.1,56.2,0.0,31.1,9.5,52.0,0.0013333333333333333,3.1,-6.9,13.2,0.5493333333333333,7.8,-5.9,21.8,0.284
haiku-4.5,US,group − individual,7.8,-6.9,22.9,0.29733333333333334,8.0,-12.5,29.3,0.42733333333333334,4.7,-5.7,15.3,0.39466666666666667,-4.7,-16.5,7.5,0.474
hy3,CN,society − individual,37.5,23.0,52.2,0.0,1.9,-19.4,23.1,0.8606666666666667,1.6,-4.9,8.5,0.634,35.9,20.7,50.9,0.0
hy3,CN,group − individual,6.2,-6.7,19.1,0.3453333333333333,8.0,-9.4,26.1,0.39666666666666667,3.1,-3.8,10.8,0.4033333333333333,-4.7,-16.2,6.7,0.428
inkling,US,society − individual,20.3,5.2,35.3,0.01,11.4,-9.5,31.7,0.288,1.6,-3.4,7.0,0.5953333333333334,7.8,-5.6,20.8,0.24866666666666667
inkling,US,group − individual,1.6,-11.6,14.7,0.832,3.2,-14.2,20.8,0.7133333333333334,1.6,-3.3,7.0,0.638,-3.1,-14.8,7.9,0.578
kimi-k2.6,CN,society − individual,34.4,18.9,49.5,0.0,24.8,3.5,47.2,0.024,-1.6,-7.0,3.5,0.6106666666666667,10.9,-4.8,26.8,0.176
kimi-k2.6,CN,group − individual,-3.1,-14.3,8.7,0.6306666666666667,4.8,-13.2,23.9,0.582,4.7,-2.8,13.1,0.23333333333333334,-12.5,-25.8,0.5,0.06066666666666667
kimi-k3,CN,society − individual,32.8,19.7,46.6,0.0,20.5,3.1,37.8,0.025333333333333333,0.0,-4.3,4.3,1.0,12.5,2.8,22.6,0.008666666666666666
kimi-k3,CN,group − individual,-1.6,-10.5,7.4,0.748,-4.6,-16.7,7.9,0.4666666666666667,1.6,-3.3,7.0,0.604,1.6,-5.1,8.2,0.666
ling-3.0-flash,CN,society − individual,18.8,2.1,34.9,0.03,0.2,-21.6,22.8,0.982,7.8,-1.4,17.8,0.09733333333333333,14.1,-1.4,29.4,0.07266666666666667
ling-3.0-flash,CN,group − individual,-9.4,-23.1,4.7,0.19866666666666666,-3.3,-22.2,16.1,0.752,1.6,-6.0,9.7,0.7186666666666667,-7.8,-20.7,4.7,0.22733333333333333
mimo-v2.5-pro,CN,society − individual,15.6,1.9,29.9,0.024666666666666667,18.5,1.1,35.3,0.035333333333333335,-3.1,-9.2,2.9,0.33666666666666667,0.0,-9.7,9.6,0.9786666666666667
mimo-v2.5-pro,CN,group − individual,0.0,-11.3,11.5,1.0,2.9,-12.6,18.5,0.698,-3.1,-9.4,2.7,0.3313333333333333,0.0,-9.8,9.3,0.9726666666666667
minimax-m3,CN,society − individual,15.6,-0.8,32.5,0.06666666666666667,8.3,-14.8,31.1,0.4693333333333333,7.8,-0.7,16.9,0.074,1.6,-13.6,16.5,0.844
minimax-m3,CN,group − individual,0.0,-14.5,15.4,0.9986666666666667,-5.7,-26.3,16.4,0.6193333333333333,1.6,-4.9,8.5,0.688,4.7,-10.5,19.8,0.56
nemotron-3-ultra,US,society − individual,39.1,24.9,52.8,0.0,27.3,8.0,46.9,0.006666666666666667,3.1,0.0,7.9,0.25266666666666665,9.4,-4.1,22.9,0.184
nemotron-3-ultra,US,group − individual,9.4,-1.2,20.4,0.08266666666666667,12.6,-2.3,28.5,0.09133333333333334,1.6,0.0,5.3,0.7386666666666667,-4.7,-16.5,6.2,0.38466666666666666
nemotron-3.5-lightning,US,society − individual,12.5,2.2,23.5,0.017333333333333333,10.9,-2.1,24.5,0.10533333333333333,0.0,0.0,0.0,1.0,1.6,-6.5,9.9,0.7246666666666667
nemotron-3.5-lightning,US,group − individual,-1.6,-8.2,4.9,0.6453333333333333,-7.7,-19.1,3.3,0.174,1.6,0.0,5.3,0.7386666666666667,4.7,-4.0,13.7,0.318
nova-2-lite,US,society − individual,21.9,7.2,36.1,0.0026666666666666666,5.8,-15.3,26.2,0.5786666666666667,1.6,-6.3,9.8,0.6606666666666666,15.6,2.2,28.8,0.024
nova-2-lite,US,group − individual,1.6,-10.3,13.7,0.8166666666666667,3.1,-14.6,20.2,0.7073333333333334,0.0,-7.3,7.6,0.9833333333333333,-1.6,-12.3,8.6,0.758
qwen3.7-plus,CN,society − individual,35.9,21.4,50.7,0.0,31.8,11.9,51.5,0.0013333333333333333,3.1,0.0,8.3,0.27466666666666667,1.6,-11.3,14.5,0.81
