factor,contrast,mode,bloc,est,lo,hi,p
scale,society − individual,he,all,1.0,-1.0,3.2,0.3506666666666667
scale,society − individual,he,US,0.9,-1.6,3.4,0.52
scale,society − individual,he,CN,1.2,-1.7,4.0,0.43266666666666664
scale,society − individual,de,all,5.3,1.8,8.8,0.0026666666666666666
scale,society − individual,de,US,3.7,0.3,7.2,0.032
scale,society − individual,de,CN,6.9,1.6,12.5,0.012666666666666666
scale,society − individual,pg,all,-3.9,-8.6,0.3,0.07
scale,society − individual,pg,US,-1.9,-6.8,2.8,0.438
scale,society − individual,pg,CN,-5.8,-12.1,0.1,0.058
scale,society − individual,ctl,all,-0.7,-4.8,3.1,0.7113333333333334
scale,society − individual,ctl,US,-2.2,-6.0,1.3,0.22066666666666668
scale,society − individual,ctl,CN,0.8,-4.9,6.3,0.796
scale,group − individual,he,all,-1.3,-2.8,0.1,0.06933333333333333
scale,group − individual,he,US,-1.2,-3.0,0.6,0.19933333333333333
scale,group − individual,he,CN,-1.5,-4.0,0.8,0.21066666666666667
scale,group − individual,de,all,-0.2,-3.3,2.6,0.8526666666666667
scale,group − individual,de,US,1.3,-2.0,4.7,0.42533333333333334
scale,group − individual,de,CN,-1.8,-6.8,2.7,0.456
scale,group − individual,pg,all,-3.6,-8.2,0.6,0.09066666666666667
scale,group − individual,pg,US,-2.8,-7.6,1.7,0.218
scale,group − individual,pg,CN,-4.5,-10.0,1.0,0.104
scale,group − individual,ctl,all,-2.2,-6.5,1.8,0.29133333333333333
scale,group − individual,ctl,US,-3.9,-8.2,0.1,0.05333333333333334
scale,group − individual,ctl,CN,-0.5,-6.0,4.7,0.8713333333333333
standing,high − low,he,all,-0.2,-2.4,1.8,0.8106666666666666
standing,high − low,he,US,0.0,-2.3,2.3,0.9593333333333334
standing,high − low,he,CN,-0.4,-3.3,2.3,0.73
standing,high − low,de,all,-2.0,-5.9,1.6,0.2613333333333333
standing,high − low,de,US,-0.1,-3.7,3.7,0.9306666666666666
standing,high − low,de,CN,-3.9,-9.7,1.5,0.14533333333333334
standing,high − low,pg,all,1.8,-2.4,5.9,0.402
standing,high − low,pg,US,2.1,-2.4,6.6,0.36733333333333335
standing,high − low,pg,CN,1.5,-4.7,7.5,0.64
standing,high − low,ctl,all,4.0,0.3,8.0,0.03266666666666666
standing,high − low,ctl,US,3.9,0.2,7.8,0.034
standing,high − low,ctl,CN,4.2,-1.2,9.8,0.13133333333333333
