bloc,contrast,est,lo,hi,p
all,Δpg − Δctl,4.9,2.7,7.1,0.0
all,Δde − Δctl,3.2,1.2,5.3,0.0013333333333333333
all,Δhe − Δctl,-1.2,-2.9,0.5,0.15266666666666667
all,Δpg − Δde,1.7,-0.4,3.9,0.124
US,Δpg − Δctl,4.4,2.0,6.9,0.0
US,Δde − Δctl,2.6,0.6,4.8,0.009333333333333334
US,Δhe − Δctl,-0.9,-2.6,0.8,0.30266666666666664
US,Δpg − Δde,1.8,-0.5,4.1,0.13333333333333333
CN,Δpg − Δctl,5.3,2.3,8.3,0.0006666666666666666
CN,Δde − Δctl,3.8,0.7,6.7,0.010666666666666666
CN,Δhe − Δctl,-1.5,-3.8,0.8,0.208
CN,Δpg − Δde,1.5,-1.7,4.7,0.32866666666666666
