factor,level,mode,bloc,n_prompts,d1,d3,delta,lo,hi,p
scale,individual,he,all,56,2.8,4.7,1.9,0.8,3.2,0.0006666666666666666
scale,individual,he,US,56,2.5,4.5,1.9,0.4,3.7,0.016666666666666666
scale,individual,he,CN,56,3.0,4.9,1.9,0.2,3.9,0.024
scale,individual,de,all,56,10.7,15.3,4.6,2.4,6.8,0.0
scale,individual,de,US,56,8.2,11.9,3.7,2.0,5.6,0.0
scale,individual,de,CN,56,13.2,18.6,5.4,1.7,9.5,0.005333333333333333
scale,individual,pg,all,56,11.9,22.3,10.4,7.2,14.0,0.0
scale,individual,pg,US,56,10.6,19.3,8.8,5.6,12.4,0.0
scale,individual,pg,CN,56,13.2,25.3,12.1,7.8,16.7,0.0
scale,individual,ctl,all,64,20.4,24.4,4.0,0.8,7.5,0.016666666666666666
scale,individual,ctl,US,64,19.3,24.1,4.8,2.1,7.9,0.0006666666666666666
scale,individual,ctl,CN,64,21.5,24.7,3.3,-1.4,8.2,0.17933333333333334
scale,group,he,all,56,3.3,3.9,0.6,-0.2,1.5,0.176
scale,group,he,US,56,3.0,3.7,0.7,0.0,1.6,0.068
scale,group,he,CN,56,3.6,4.0,0.4,-1.0,2.0,0.6046666666666667
scale,group,de,all,56,7.7,12.1,4.3,2.3,6.4,0.0
scale,group,de,US,56,6.5,11.6,5.1,2.4,8.0,0.0006666666666666666
scale,group,de,CN,56,8.9,12.5,3.6,0.7,6.4,0.017333333333333333
scale,group,pg,all,56,14.9,21.7,6.8,4.5,9.5,0.0
scale,group,pg,US,56,15.0,21.0,6.0,3.2,9.2,0.0
scale,group,pg,CN,56,14.7,22.3,7.6,4.4,10.9,0.0
scale,group,ctl,all,64,21.2,23.0,1.8,-0.6,3.9,0.13933333333333334
scale,group,ctl,US,64,21.6,22.5,0.9,-2.1,3.6,0.518
scale,group,ctl,CN,64,20.7,23.4,2.7,0.0,5.3,0.050666666666666665
scale,society,he,all,56,3.4,6.4,3.0,1.3,4.8,0.0
scale,society,he,US,56,3.0,5.8,2.8,1.0,4.7,0.0
scale,society,he,CN,56,3.9,7.0,3.1,1.1,5.5,0.0006666666666666666
scale,society,de,all,56,22.5,32.4,9.9,7.1,12.7,0.0
scale,society,de,US,56,18.2,25.6,7.4,4.6,10.4,0.0
scale,society,de,CN,56,26.9,39.3,12.4,8.5,16.4,0.0
scale,society,pg,all,56,38.7,45.2,6.5,4.0,9.2,0.0
scale,society,pg,US,56,35.6,42.4,6.8,3.6,10.3,0.0
scale,society,pg,CN,56,41.8,48.1,6.2,2.2,10.3,0.0013333333333333333
scale,society,ctl,all,64,19.3,22.6,3.3,1.3,5.3,0.0
scale,society,ctl,US,64,19.4,22.0,2.6,0.4,4.9,0.022
scale,society,ctl,CN,64,19.1,23.2,4.0,1.0,7.2,0.006
standing,low,he,all,56,1.9,4.1,2.2,0.8,3.8,0.0
standing,low,he,US,56,1.9,4.3,2.4,1.0,4.0,0.0006666666666666666
standing,low,he,CN,56,1.9,3.9,1.9,0.3,3.9,0.018
standing,low,de,all,56,17.3,25.3,8.0,5.1,11.0,0.0
standing,low,de,US,56,14.3,20.2,6.0,3.4,8.6,0.0
standing,low,de,CN,56,20.4,30.4,10.0,5.9,14.5,0.0
standing,low,pg,all,56,19.3,26.9,7.7,5.0,10.4,0.0
standing,low,pg,US,56,17.1,23.7,6.5,3.6,9.7,0.0
standing,low,pg,CN,56,21.4,30.2,8.8,4.9,12.9,0.0
standing,low,ctl,all,64,22.9,23.8,1.0,-1.9,3.6,0.488
standing,low,ctl,US,64,22.0,22.5,0.5,-2.5,3.1,0.692
standing,low,ctl,CN,64,23.7,25.1,1.4,-2.3,5.4,0.488
standing,med,he,all,56,1.3,2.7,1.4,0.4,2.5,0.007333333333333333
standing,med,he,US,56,1.3,2.1,0.7,-0.5,1.9,0.25733333333333336
standing,med,he,CN,56,1.2,3.3,2.1,0.6,3.9,0.0006666666666666666
standing,med,de,all,56,10.9,15.7,4.8,3.0,6.8,0.0
standing,med,de,US,56,8.9,13.4,4.5,2.2,7.1,0.0
