model,origin,type,est,lo,hi,p
sonnet-5,US,de,12.3,4.6,20.4,0.0013333333333333333
qwen3.8-27b,CN,de,10.6,3.6,17.9,0.0033333333333333335
deepseek-v4-pro,CN,de,8.3,1.6,15.3,0.019333333333333334
seed-2-1-turbo,CN,de,8.0,1.8,14.4,0.011333333333333334
kimi-k3,CN,de,7.0,0.5,13.8,0.03266666666666666
gpt-5.6-sol,US,de,6.3,0.9,11.8,0.022
inkling,US,de,4.7,-3.2,12.6,0.232
nemotron-3-ultra,US,de,3.9,-2.0,10.1,0.19466666666666665
glm-5.2,CN,de,3.8,-5.4,12.6,0.408
kimi-k2.6,CN,de,3.4,-4.7,11.7,0.4226666666666667
ling-3.0-flash,CN,de,2.2,-7.1,11.3,0.64
gemma-4-31b,US,de,2.1,-0.7,5.2,0.178
gpt-5.6-terra,US,de,1.9,-3.9,7.8,0.502
qwen3.7-plus,CN,de,1.9,-4.7,8.3,0.5946666666666667
nova-2-lite,US,de,1.5,-5.2,8.6,0.6826666666666666
gemini-3.1-flash-lite,US,de,1.2,-1.4,3.9,0.328
mimo-v2.5-pro,CN,de,1.0,-7.4,9.1,0.798
hy3,CN,de,0.7,-6.9,8.6,0.8586666666666667
gpt-5.6-luna,US,de,0.6,-5.4,6.9,0.826
qwen3.8-flash,CN,de,0.6,-6.0,7.3,0.8453333333333334
grok-4.3,US,de,0.5,-8.7,9.4,0.928
nemotron-3.5-lightning,US,de,-0.6,-4.9,3.9,0.802
minimax-m3,CN,de,-2.2,-11.3,6.8,0.6273333333333333
haiku-4.5,US,de,-3.0,-10.7,4.5,0.43
nemotron-3-ultra,US,he,2.8,-1.7,7.8,0.252
gemma-4-31b,US,he,2.7,-0.2,6.0,0.088
seed-2-1-turbo,CN,he,2.7,-1.0,6.8,0.19466666666666665
qwen3.8-27b,CN,he,2.3,-3.8,8.5,0.458
nemotron-3.5-lightning,US,he,1.8,-1.9,5.6,0.33266666666666667
gpt-5.6-sol,US,he,1.6,-3.1,6.2,0.5213333333333333
deepseek-v4-pro,CN,he,1.1,-4.4,6.9,0.7173333333333334
gemini-3.1-flash-lite,US,he,0.6,-1.6,2.8,0.6386666666666667
qwen3.7-plus,CN,he,0.1,-4.8,5.1,1.0
qwen3.8-flash,CN,he,-0.0,-5.4,5.2,0.9806666666666667
inkling,US,he,-0.7,-6.7,5.1,0.8346666666666667
gpt-5.6-terra,US,he,-1.0,-6.2,4.2,0.7826666666666666
hy3,CN,he,-1.7,-7.7,4.4,0.5593333333333333
sonnet-5,US,he,-2.0,-8.2,4.2,0.53
ling-3.0-flash,CN,he,-2.0,-9.3,5.2,0.6293333333333333
grok-4.3,US,he,-2.5,-9.5,4.3,0.468
kimi-k2.6,CN,he,-2.8,-8.0,2.6,0.3333333333333333
glm-5.2,CN,he,-2.8,-9.3,4.2,0.40066666666666667
haiku-4.5,US,he,-3.0,-10.3,4.2,0.39666666666666667
gpt-5.6-luna,US,he,-4.2,-9.7,1.6,0.17466666666666666
kimi-k3,CN,he,-4.3,-9.5,0.6,0.09466666666666666
minimax-m3,CN,he,-4.6,-11.0,2.2,0.186
mimo-v2.5-pro,CN,he,-6.1,-13.0,0.8,0.08133333333333333
nova-2-lite,US,he,-7.4,-12.7,-2.6,0.0033333333333333335
sonnet-5,US,pg,14.1,5.6,23.1,0.0006666666666666666
gpt-5.6-sol,US,pg,14.1,6.9,21.6,0.0006666666666666666
qwen3.8-27b,CN,pg,12.4,5.1,20.3,0.0
kimi-k2.6,CN,pg,11.5,3.4,19.9,0.0033333333333333335
deepseek-v4-pro,CN,pg,9.4,2.1,16.9,0.013333333333333334
kimi-k3,CN,pg,7.0,-0.5,14.5,0.06333333333333334
haiku-4.5,US,pg,6.0,-2.6,14.4,0.18
inkling,US,pg,5.9,-1.9,13.8,0.13666666666666666
qwen3.7-plus,CN,pg,5.4,-1.9,12.4,0.13733333333333334
qwen3.8-flash,CN,pg,4.8,-3.2,12.6,0.236
seed-2-1-turbo,CN,pg,3.9,-1.8,9.5,0.18933333333333333
nemotron-3.5-lightning,US,pg,3.6,-1.6,9.2,0.18733333333333332
gpt-5.6-luna,US,pg,3.6,-3.6,11.2,0.32666666666666666
nemotron-3-ultra,US,pg,3.3,-3.3,10.6,0.3353333333333333
glm-5.2,CN,pg,2.6,-6.2,11.4,0.5786666666666667
gpt-5.6-terra,US,pg,2.5,-4.2,9.4,0.45866666666666667
mimo-v2.5-pro,CN,pg,2.2,-6.0,10.6,0.5973333333333334
minimax-m3,CN,pg,1.9,-7.7,11.8,0.6986666666666667
hy3,CN,pg,1.9,-5.7,9.5,0.65
grok-4.3,US,pg,1.1,-6.4,8.9,0.8013333333333333
gemma-4-31b,US,pg,0.9,-3.6,5.4,0.6986666666666667
ling-3.0-flash,CN,pg,0.4,-7.4,8.2,0.9533333333333334
nova-2-lite,US,pg,-0.9,-7.6,5.9,0.8086666666666666
gemini-3.1-flash-lite,US,pg,-1.2,-3.9,1.4,0.35
