bloc,factor,level,mode,estimate,lo,hi,p_boot,n_draws,q
all,context,Fiction,he,1.0850694444444444,-1.9750833790204685,4.858630952380945,0.5506898620275945,5000,0.7552318107807011
all,context,Work,he,0.39062499999999967,-2.0549735637626263,2.9948860205314007,0.7690461907618477,5000,0.8389594808311066
all,context,Government,he,5.425347222222224,-0.1447792658730158,13.435770566239311,0.0639872025594881,5000,0.3141189943829416
all,context,Interpersonal,he,-1.345486111111111,-3.187908832666839,0.4992869543650774,0.15196960607878424,5000,0.3940264578663215
all,context,Diplomacy,he,-1.171875,-3.0295336174242427,0.7405690140639563,0.22395520895820836,5000,0.4723924780261339
all,context,Academia,he,0.21701388888888845,-2.033841765873016,2.998579974335747,0.9238152369526095,5000,0.9428345909765415
all,context,Markets,he,-2.560763888888889,-3.9974098342293907,-1.3337914737654324,0.0003999200159968006,5000,0.01919616076784643
all,context,Media,he,-2.0399305555555554,-3.6545928030303028,-0.5946180555555557,0.007598480303939212,5000,0.06631400992528767
all,context,Fiction,de,-3.7774051047120367,-8.550392670157068,1.1594300876810197,0.1311737652469506,5000,0.35979089896306454
all,context,Work,de,4.555928228621295,-3.8909242365424426,14.224360795856358,0.32953409318136373,5000,0.6041357766182612
all,context,Government,de,1.9517615619546291,-4.14081962356702,8.85926741535423,0.5390921815636872,5000,0.7500412960886083
all,context,Interpersonal,de,-1.8676828824898128,-9.435045243419136,7.1480484579148715,0.6154769046190762,5000,0.7823058764870402
all,context,Diplomacy,de,-6.902405104712038,-11.433877799592784,-2.1692777226631526,0.006798640271945611,5000,0.06631400992528767
all,context,Academia,de,-3.0829606602675903,-9.476595523852657,4.400178872053872,0.3863227354529094,5000,0.6771009434476741
all,context,Markets,de,7.333706006399076,-0.7313680510107576,16.724781446653317,0.08198360327934413,5000,0.3141189943829416
all,context,Media,de,1.7781504508435186,-5.470067990110529,10.625008825923704,0.6714657068586283,5000,0.792192780956004
all,context,Fiction,pg,-9.223090277777777,-14.779730902777782,-3.4774037811147336,0.0015996800639872025,5000,0.03839232153569286
all,context,Work,pg,1.5407986111111105,-8.984555844907405,13.212578851652838,0.7910417916416717,5000,0.8532585617707918
all,context,Government,pg,11.610243055555541,-0.9542576500297184,25.654441775577986,0.07438512297540492,5000,0.3141189943829416
all,context,Interpersonal,pg,-2.2786458333333286,-12.9900638640873,10.128461490766174,0.6766646670665867,5000,0.792192780956004
all,context,Diplomacy,pg,5.360243055555553,-3.1372974537036997,14.319816468253968,0.22635472905418916,5000,0.4723924780261339
all,context,Academia,pg,2.7560763888888893,-6.720572916666669,12.872851562500001,0.6038792241551689,5000,0.7823058764870402
all,context,Markets,pg,-7.660590277777776,-16.145951275664256,1.8668619791666643,0.10077984403119376,5000,0.3141189943829416
all,context,Media,pg,-2.105034722222221,-12.608094618055551,9.635811237373728,0.6870625874825035,5000,0.794674799979763
all,context,Fiction,control,-9.855611910994764,-15.98552734731345,-3.5895050393855903,0.007598480303939212,5000,0.06631400992528767
all,context,Work,control,8.720776977894124,-1.8491573126553453,20.250542967559696,0.10797840431913618,5000,0.3141189943829416
all,context,Government,control,10.109665866783018,-2.002387480989953,23.608850391963173,0.10757848430313938,5000,0.3141189943829416
all,context,Interpersonal,control,-3.2583896887725423,-11.687994795363387,5.852986599078409,0.4399120175964807,5000,0.6811540917622926
