bloc,mode,n_models,estimate,lo,hi,n_draws
all,he,24,3.081597222222222,1.953125,4.448784722222221,5000
all,de,24,14.541293993600926,11.93728298611111,17.364902599380397,5000
all,pg,24,23.6328125,19.856770833333336,27.51736111111111,5000
all,control,24,20.272278577661428,16.688023589065256,24.157844086314707,5000
US,he,12,2.6909722222222223,1.6493055555555556,3.993055555555556,5000
US,de,12,11.981893542757415,9.638137861765559,14.456999436445608,5000
US,pg,12,21.657986111111107,18.489583333333336,25.130208333333332,5000
US,control,12,20.101848821989527,16.62326388888889,23.97812728435672,5000
CN,he,12,3.4722222222222223,2.1267361111111107,5.078125,5000
CN,de,12,17.100694444444446,13.932291666666668,20.486111111111114,5000
CN,pg,12,25.60763888888889,21.13715277777778,30.122612847222207,5000
CN,control,12,20.442708333333336,16.62326388888889,24.653862847222204,5000
