bloc,factor,mode,comparison,estimate,lo,hi,p_boot,n_draws,q
all,scale,he,group - individual,1.1718749999999996,-1.9758679138952768,5.142411191239312,0.5482903419316136,5000,0.8496826950399394
all,scale,he,society - individual,0.8463541666666667,-1.3900300934680647,2.8105876496139848,0.41311737652469505,5000,0.8496826950399394
all,scale,de,group - individual,-2.143270502645503,-7.608026309434843,3.315278852769176,0.4299140171965607,5000,0.8496826950399394
all,scale,de,society - individual,10.221354166666668,3.2849508011145954,17.33935184477204,0.006798640271945611,5000,0.03263347330533893
all,scale,pg,group - individual,1.953125,-4.929114227237388,8.705037996339621,0.5738852229554089,5000,0.8496826950399394
all,scale,pg,society - individual,27.5390625,18.412521127685054,36.83724334967527,0.0003999200159968006,5000,0.003199360127974405
all,scale,control,group - individual,0.7719494047619069,-8.517661698810764,9.758754078047549,0.8638272345530894,5000,0.9772590936358182
all,scale,control,society - individual,-1.1160714285714246,-10.293547833070626,8.367331796316304,0.7970405918816237,5000,0.9564487102579484
US,scale,he,group - individual,1.0416666666666667,-1.736758003054158,4.805387393278017,0.5718856228754249,5000,0.8496826950399394
US,scale,he,society - individual,0.390625,-1.5758188312536139,2.3733457960735915,0.6726654669066187,5000,0.8496826950399394
US,scale,de,group - individual,-1.8125826719576716,-6.736799955197132,3.060183899616458,0.4427114577084583,5000,0.8496826950399394
US,scale,de,society - individual,8.072916666666668,1.776110819939437,14.747465011510878,0.013997200559888023,5000,0.055988802239552084
US,scale,pg,group - individual,3.9062500000000013,-2.398112230121916,10.134415714493837,0.22155568886222757,5000,0.7596195046704945
US,scale,pg,society - individual,25.520833333333336,17.497805661586703,33.59341675342043,0.0003999200159968006,5000,0.003199360127974405
US,scale,control,group - individual,2.325148809523811,-6.865758728975943,11.132573470394162,0.6162767446510697,5000,0.8496826950399394
US,scale,control,society - individual,0.11160714285714246,-8.898518266103013,9.166922548714757,0.9866026794641072,5000,0.9962007598480304
CN,scale,he,group - individual,1.3020833333333333,-2.43741327431727,5.758105312998405,0.5426914617076585,5000,0.8496826950399394
