model,origin,lang,mode,rows,valid,truncated,required_regrade,truncated_pct
deepseek-v4-pro,CN,de,control,192,192,0,0,0.0
deepseek-v4-pro,CN,de,de,192,192,0,0,0.0
deepseek-v4-pro,CN,de,he,192,192,0,0,0.0
deepseek-v4-pro,CN,de,pg,192,192,0,0,0.0
deepseek-v4-pro,CN,en,control,192,192,0,0,0.0
deepseek-v4-pro,CN,en,de,192,192,0,0,0.0
deepseek-v4-pro,CN,en,he,192,192,4,4,2.0833333333333335
deepseek-v4-pro,CN,en,pg,192,192,1,1,0.5208333333333334
deepseek-v4-pro,CN,es,control,192,192,0,0,0.0
deepseek-v4-pro,CN,es,de,192,192,0,0,0.0
deepseek-v4-pro,CN,es,he,192,192,0,0,0.0
deepseek-v4-pro,CN,es,pg,192,192,0,0,0.0
deepseek-v4-pro,CN,fr,control,192,192,0,0,0.0
deepseek-v4-pro,CN,fr,de,192,192,0,0,0.0
deepseek-v4-pro,CN,fr,he,192,192,0,0,0.0
deepseek-v4-pro,CN,fr,pg,192,192,0,0,0.0
deepseek-v4-pro,CN,hi,control,192,192,0,0,0.0
deepseek-v4-pro,CN,hi,de,192,192,0,0,0.0
deepseek-v4-pro,CN,hi,he,192,192,0,0,0.0
deepseek-v4-pro,CN,hi,pg,192,192,1,1,0.5208333333333334
deepseek-v4-pro,CN,pt,control,192,192,0,0,0.0
deepseek-v4-pro,CN,pt,de,192,192,0,0,0.0
deepseek-v4-pro,CN,pt,he,192,192,0,0,0.0
deepseek-v4-pro,CN,pt,pg,192,192,0,0,0.0
deepseek-v4-pro,CN,sw,control,192,192,0,0,0.0
deepseek-v4-pro,CN,sw,de,192,192,0,0,0.0
deepseek-v4-pro,CN,sw,he,192,192,0,0,0.0
deepseek-v4-pro,CN,sw,pg,192,192,0,0,0.0
deepseek-v4-pro,CN,zh,control,192,192,1,1,0.5208333333333334
deepseek-v4-pro,CN,zh,de,192,192,0,0,0.0
deepseek-v4-pro,CN,zh,he,192,192,0,0,0.0
deepseek-v4-pro,CN,zh,pg,192,192,0,0,0.0
gemini-3.1-flash-lite,US,de,control,192,192,0,0,0.0
gemini-3.1-flash-lite,US,de,de,192,192,0,0,0.0
gemini-3.1-flash-lite,US,de,he,192,192,0,0,0.0
gemini-3.1-flash-lite,US,de,pg,192,192,0,0,0.0
gemini-3.1-flash-lite,US,en,control,192,192,0,0,0.0
gemini-3.1-flash-lite,US,en,de,192,192,0,0,0.0
gemini-3.1-flash-lite,US,en,he,192,192,0,0,0.0
gemini-3.1-flash-lite,US,en,pg,192,192,0,0,0.0
gemini-3.1-flash-lite,US,es,control,192,192,0,0,0.0
gemini-3.1-flash-lite,US,es,de,192,192,0,0,0.0
gemini-3.1-flash-lite,US,es,he,192,192,0,0,0.0
gemini-3.1-flash-lite,US,es,pg,192,192,0,0,0.0
gemini-3.1-flash-lite,US,fr,control,192,192,0,0,0.0
gemini-3.1-flash-lite,US,fr,de,192,192,0,0,0.0
gemini-3.1-flash-lite,US,fr,he,192,192,0,0,0.0
gemini-3.1-flash-lite,US,fr,pg,192,192,0,0,0.0
gemini-3.1-flash-lite,US,hi,control,192,192,0,0,0.0
gemini-3.1-flash-lite,US,hi,de,192,192,0,0,0.0
gemini-3.1-flash-lite,US,hi,he,192,192,0,0,0.0
gemini-3.1-flash-lite,US,hi,pg,192,192,0,0,0.0
gemini-3.1-flash-lite,US,pt,control,192,192,0,0,0.0
gemini-3.1-flash-lite,US,pt,de,192,192,0,0,0.0
gemini-3.1-flash-lite,US,pt,he,192,192,0,0,0.0
gemini-3.1-flash-lite,US,pt,pg,192,192,0,0,0.0
gemini-3.1-flash-lite,US,sw,control,192,192,0,0,0.0
gemini-3.1-flash-lite,US,sw,de,192,192,0,0,0.0
gemini-3.1-flash-lite,US,sw,he,192,192,0,0,0.0
gemini-3.1-flash-lite,US,sw,pg,192,192,0,0,0.0
gemini-3.1-flash-lite,US,zh,control,192,192,0,0,0.0
gemini-3.1-flash-lite,US,zh,de,192,192,0,0,0.0
gemini-3.1-flash-lite,US,zh,he,192,192,0,0,0.0
gemini-3.1-flash-lite,US,zh,pg,192,192,0,0,0.0
gemma-4-31b,US,de,control,192,192,0,0,0.0
gemma-4-31b,US,de,de,192,192,2,0,1.0416666666666667
gemma-4-31b,US,de,he,192,192,2,0,1.0416666666666667
gemma-4-31b,US,de,pg,192,192,3,0,1.5625
gemma-4-31b,US,en,control,192,192,2,2,1.0416666666666667
gemma-4-31b,US,en,de,192,192,2,2,1.0416666666666667
gemma-4-31b,US,en,he,192,192,1,1,0.5208333333333334
gemma-4-31b,US,en,pg,192,192,4,4,2.0833333333333335
gemma-4-31b,US,es,control,192,192,0,0,0.0
gemma-4-31b,US,es,de,192,192,3,0,1.5625
gemma-4-31b,US,es,he,192,192,1,0,0.5208333333333334
gemma-4-31b,US,es,pg,192,192,2,0,1.0416666666666667
gemma-4-31b,US,fr,control,192,192,0,0,0.0
gemma-4-31b,US,fr,de,192,192,3,0,1.5625
gemma-4-31b,US,fr,he,192,192,3,0,1.5625
gemma-4-31b,US,fr,pg,192,192,4,0,2.0833333333333335
gemma-4-31b,US,hi,control,192,192,0,0,0.0
gemma-4-31b,US,hi,de,192,192,1,0,0.5208333333333334
gemma-4-31b,US,hi,he,192,192,2,0,1.0416666666666667
gemma-4-31b,US,hi,pg,192,192,3,0,1.5625
gemma-4-31b,US,pt,control,192,192,0,0,0.0
gemma-4-31b,US,pt,de,192,192,1,0,0.5208333333333334
gemma-4-31b,US,pt,he,192,192,3,0,1.5625
gemma-4-31b,US,pt,pg,192,192,2,0,1.0416666666666667
