bloc,mode,lang,n_models,min_pairs,max_pairs,reference_rate,language_rate,estimate,lo,hi,p_boot,n_draws,q
all,he,es,24,192,192,3.081597222222222,3.2552083333333335,0.17361111111111108,-0.5864800347222221,0.9554036458333258,0.7326534693061387,5000,0.7790239420470335
US,he,es,12,192,192,2.6909722222222223,3.515624999999999,0.8246527777777777,-0.1736111111111112,1.909722222222222,0.126374725054989,5000,0.2123095380923815
CN,he,es,12,192,192,3.472222222222223,2.994791666666667,-0.4774305555555555,-1.3888888888888888,0.3906250000000001,0.3183363327334533,5000,0.4312943862840335
all,he,pt,24,192,192,3.081597222222222,2.734375,-0.34722222222222215,-1.0416666666666665,0.36892361111111105,0.34833033393321333,5000,0.45452727636290924
US,he,pt,12,192,192,2.6909722222222223,3.038194444444444,0.3472222222222222,-0.4340277777777779,1.1718750000000002,0.44631073785242953,5000,0.5300273278677597
CN,he,pt,12,192,192,3.472222222222223,2.4305555555555554,-1.0416666666666665,-1.9531249999999996,-0.17361111111111113,0.021995600879824034,5000,0.05278944211157768
all,he,fr,24,192,192,3.081597222222222,3.754340277777778,0.6727430555555555,-0.021701388888888912,1.432291666666667,0.06798640271945611,5000,0.12690795174298472
US,he,fr,12,192,192,2.6909722222222223,3.298611111111111,0.6076388888888888,-0.17361111111111113,1.4756944444444442,0.14677064587082583,5000,0.24173988731665433
CN,he,fr,12,192,192,3.472222222222223,4.210069444444445,0.7378472222222223,-0.3038194444444445,1.8229166666666667,0.17956408718256348,5000,0.27485412008507387
all,he,de,24,192,192,3.081597222222222,2.7560763888888884,-0.3255208333333334,-0.8897569444444448,0.23871527777777776,0.26714657068586284,5000,0.38034427012902505
US,he,de,12,192,192,2.6909722222222223,2.9079861111111107,0.21701388888888887,-0.4774305555555556,0.954861111111111,0.5990801839632074,5000,0.6621412559593345
CN,he,de,12,192,192,3.472222222222223,2.604166666666666,-0.8680555555555558,-1.6927083333333333,-0.08680555555555547,0.039192161567686463,5000,0.08441388645347854
all,he,zh,24,192,192,3.081597222222222,3.8194444444444446,0.7378472222222223,0.021701388888888826,1.5413411458333262,0.04839032193561288,5000,0.09452993122305771
US,he,zh,12,192,192,2.6909722222222223,2.864583333333334,0.17361111111111113,-0.564236111111111,0.954861111111111,0.6942611477704459,5000,0.7480965345392461
CN,he,zh,12,192,192,3.472222222222223,4.774305555555555,1.3020833333333335,0.2604166666666668,2.4316406249999853,0.014397120575884824,5000,0.040311937612477505
all,he,hi,24,192,192,3.081597222222222,5.208333333333334,2.1267361111111107,1.2803819444444446,3.0815972222222223,0.0003999200159968006,5000,0.0018662934079850698
US,he,hi,12,192,192,2.6909722222222223,6.336805555555556,3.6458333333333335,2.5607638888888893,4.774305555555556,0.0003999200159968006,5000,0.0018662934079850698
CN,he,hi,12,192,192,3.472222222222223,4.079861111111112,0.6076388888888891,-0.39062499999999994,1.7361111111111105,0.28154369126174766,5000,0.3941611677664467
all,he,sw,24,191,192,3.081938081733566,9.658140634089586,6.576202552356021,5.708144156304535,7.444610329406633,0.0003999200159968006,5000,0.0018662934079850698
US,he,sw,12,191,192,2.69165394124491,14.411767379290282,11.720113438045376,10.290553496008538,13.065145189407856,0.0003999200159968006,5000,0.0018662934079850698
CN,he,sw,12,192,192,3.472222222222223,4.904513888888888,1.432291666666667,0.26041666666666696,2.6041666666666656,0.017196560687862426,5000,0.04514097180563887
all,de,es,24,191,192,14.541293993600931,14.041593949970913,-0.4997000436300172,-2.0833333333333326,1.0415558873254798,0.5442911417716457,5000,0.6096060787842432
US,de,es,12,191,192,11.981893542757417,13.71686845549738,1.7349749127399654,0.04340277777777786,3.4283706460878425,0.04599080183963208,5000,0.09422505742753888
CN,de,es,12,192,192,17.100694444444446,14.366319444444445,-2.734375,-5.034722222222221,-0.477430555555556,0.01999600079984003,5000,0.04940188432901654
all,de,pt,24,191,192,14.54379363001745,13.873777450552646,-0.670016179464805,-2.1252732557082608,0.7435779377066685,0.3715256948610278,5000,0.4624016373195949
US,de,pt,12,191,192,11.98689281559046,12.816999345549739,0.8301065299592791,-0.7739660714422405,2.3990273065544527,0.3151369726054789,5000,0.4312943862840335
CN,de,pt,12,192,192,17.100694444444446,14.930555555555557,-2.1701388888888893,-4.166666666666666,-0.2604166666666663,0.028794241151769647,5000,0.06537070964185542
all,de,fr,24,191,192,14.541293993600931,14.474940008726003,-0.06635398487492722,-1.3923268457602334,1.256871159649505,0.9402119576084783,5000,0.9402119576084783
US,de,fr,12,191,192,11.981893542757417,10.93772723967423,-1.0441663030831878,-2.5203265888598025,0.43107934300465384,0.15636872625474904,5000,0.24782967934714942
CN,de,fr,12,192,192,17.100694444444446,18.012152777777775,0.9114583333333337,-0.955946180555556,2.821180555555556,0.35632873425314937,5000,0.45452727636290924
all,de,de,24,191,192,14.541293993600931,13.131499054682957,-1.4097949389179756,-2.9513888888888893,0.19531249999999956,0.08958208358328335,5000,0.1601041493828894
US,de,de,12,191,192,11.981893542757417,13.025150887143692,1.0432573443862716,-0.693530701754386,2.822776914267015,0.23595280943811237,5000,0.34771992969827087
CN,de,de,12,192,192,17.100694444444446,13.237847222222221,-3.862847222222222,-5.990668402777779,-1.7361111111111112,0.0003999200159968006,5000,0.0018662934079850698
all,de,zh,24,191,192,14.54379363001745,14.371545956951717,-0.17224767306573563,-1.822939749433575,1.4765210287594535,0.8362327534493101,5000,0.8672043369103958
US,de,zh,12,191,192,11.98689281559046,10.81774469168121,-1.1691481239092494,-2.7800731974870643,0.49236552244637494,0.1799640071985603,5000,0.27485412008507387
CN,de,zh,12,192,192,17.100694444444446,17.925347222222225,0.8246527777777777,-1.5624999999999998,3.125,0.4891021795640872,5000,0.5551970686943692
all,de,hi,24,191,192,14.54379363001745,17.831383616928452,3.2875899869109957,1.3047560307017547,5.37059580655512,0.0023995200959808036,5000,0.008763464698364674
US,de,hi,12,191,192,11.98689281559046,17.607211678301336,5.620318862710879,3.5869301045389066,7.73849826388889,0.0003999200159968006,5000,0.0018662934079850698
CN,de,hi,12,192,192,17.100694444444446,18.055555555555554,0.9548611111111103,-1.6059027777777772,3.4288194444444446,0.46190761847630474,5000,0.5315101363288987
all,de,sw,24,191,192,14.546066026759744,19.411381071844094,4.86531504508435,3.1332772051338,6.601701684300464,0.0003999200159968006,5000,0.0018662934079850698
US,de,sw,12,191,192,11.991437609075044,24.282831588132634,12.291393979057592,10.325708306064572,14.352192404769983,0.0003999200159968006,5000,0.0018662934079850698
CN,de,sw,12,192,192,17.100694444444446,14.539930555555555,-2.5607638888888884,-4.947916666666666,-0.25933159722223775,0.03239352129574085,5000,0.07160673128532187
all,pg,es,24,191,192,23.6390615910413,24.399860020360677,0.7607984293193714,-0.8888489126461988,2.3671642079333917,0.357128574285143,5000,0.45452727636290924
US,pg,es,12,191,192,21.670484293193716,26.100067262943565,4.429582969749854,2.5180498637427635,6.336805555555556,0.0003999200159968006,5000,0.0018662934079850698
CN,pg,es,12,192,192,25.60763888888889,22.69965277777778,-2.9079861111111116,-5.208333333333334,-0.6510416666666659,0.010797840431913617,5000,0.033593281343731254
all,pg,pt,24,191,192,23.6390615910413,23.077097876672482,-0.5619637143688186,-2.0182291666666665,0.9114583333333328,0.4543091381723655,5000,0.5300273278677597
US,pg,pt,12,191,192,21.670484293193716,23.150723531122743,1.4802392379290297,-0.04340277777777764,3.043886798283886,0.05598880223955209,5000,0.10688771336641763
