bloc,mode,lang,n_models,estimate,lo,hi,n_draws
all,he,en,24,3.081597222222222,1.996527777777778,4.4921875,5000
US,he,en,12,2.6909722222222223,1.6493055555555556,4.036458333333334,5000
CN,he,en,12,3.4722222222222223,2.1701388888888884,5.078125,5000
all,he,es,24,3.2552083333333335,1.8880208333333333,4.882812500000001,5000
US,he,es,12,3.515624999999999,2.1690538194444446,5.121527777777777,5000
CN,he,es,12,2.994791666666667,1.5190972222222219,4.730902777777779,5000
all,he,pt,24,2.734375000000001,1.5624999999999998,4.232313368055548,5000
US,he,pt,12,3.038194444444444,1.8229166666666667,4.513888888888888,5000
CN,he,pt,12,2.430555555555555,1.0850694444444446,4.079861111111112,5000
all,he,fr,24,3.754340277777777,2.408854166666667,5.403645833333334,5000
US,he,fr,12,3.298611111111111,2.083333333333334,4.774305555555555,5000
CN,he,fr,12,4.210069444444445,2.5607638888888884,6.163194444444445,5000
all,he,de,24,2.7560763888888893,1.6927083333333333,4.101562499999999,5000
US,he,de,12,2.9079861111111107,1.8229166666666667,4.253472222222221,5000
CN,he,de,12,2.604166666666666,1.4756944444444446,3.9941406249999845,5000
all,he,zh,24,3.819444444444444,2.5173611111111116,5.339084201388883,5000
US,he,zh,12,2.864583333333334,1.8229166666666667,4.166666666666666,5000
CN,he,zh,12,4.774305555555555,3.0815972222222223,6.727430555555554,5000
all,he,hi,24,5.208333333333331,3.797743055555556,6.879340277777778,5000
US,he,hi,12,6.336805555555555,4.947916666666666,7.899305555555556,5000
CN,he,hi,12,4.079861111111112,2.4305555555555562,6.032986111111111,5000
all,he,sw,24,9.658140634089584,8.290609434082311,11.200680738304095,5000
US,he,sw,12,14.411767379290282,12.803819444444445,16.152061468776107,5000
CN,he,sw,12,4.904513888888888,3.472222222222222,6.553819444444444,5000
all,de,en,24,14.541293993600926,11.93728298611111,17.364902599380397,5000
US,de,en,12,11.981893542757415,9.638137861765559,14.456999436445608,5000
CN,de,en,12,17.100694444444446,13.932291666666668,20.486111111111114,5000
all,de,es,24,14.04079861111111,11.414930555555557,16.905381944444443,5000
US,de,es,12,13.715277777777777,11.197916666666668,16.536458333333332,5000
CN,de,es,12,14.366319444444445,11.414930555555554,17.57921006944443,5000
all,de,pt,24,13.871277814136121,11.197916666666668,16.81398804113341,5000
US,de,pt,12,12.812000072716698,10.076011671029669,15.680954884195769,5000
CN,de,pt,12,14.930555555555557,11.93576388888889,18.142361111111114,5000
all,de,fr,24,14.47482638888889,11.914062500000002,17.16634114583333,5000
US,de,fr,12,10.9375,8.767361111111112,13.325737847222207,5000
CN,de,fr,12,18.012152777777775,14.887152777777777,21.31184895833332,5000
all,de,de,24,13.129340277777777,10.698784722222223,15.84201388888889,5000
US,de,de,12,13.020833333333334,10.590277777777779,15.711805555555555,5000
CN,de,de,12,13.237847222222223,10.503472222222225,16.146918402777764,5000
all,de,zh,24,14.371091477603256,11.745319998909249,17.29616885271233,5000
US,de,zh,12,10.816835732984297,8.506462191358024,13.368055555555555,5000
CN,de,zh,12,17.925347222222225,14.756944444444445,21.397569444444446,5000
all,de,hi,24,17.843427319662595,14.800050255847951,21.1785404265873,5000
US,de,hi,12,17.631299083769633,14.633825988947063,20.79022596713205,5000
CN,de,hi,12,18.055555555555554,14.67013888888889,21.744791666666664,5000
all,de,sw,24,19.413198989237927,17.071050722822637,22.020706079115758,5000
US,de,sw,12,24.2864674229203,21.744791666666664,27.02743643986712,5000
CN,de,sw,12,14.539930555555555,11.979166666666668,17.274305555555557,5000
all,pg,en,24,23.6328125,19.921875,27.647569444444446,5000
US,pg,en,12,21.657986111111107,18.315972222222225,25.260416666666664,5000
CN,pg,en,12,25.60763888888889,21.180555555555557,30.296223958333318,5000
all,pg,es,24,24.399860020360673,20.687073357511633,28.41235471269114,5000
US,pg,es,12,26.100067262943565,22.439046654541446,30.03472222222222,5000
CN,pg,es,12,22.699652777777782,18.793402777777775,26.954210069444436,5000
all,pg,pt,24,23.07709787667249,19.444255985014614,26.962785526650674,5000
US,pg,pt,12,23.150723531122743,19.630684400450843,26.927941163103554,5000
CN,pg,pt,12,23.00347222222222,19.140625,27.213541666666668,5000
all,pg,fr,24,25.868055555555554,22.02690972222222,30.05642361111111,5000
US,pg,fr,12,23.480902777777782,20.008680555555554,27.17013888888889,5000
CN,pg,fr,12,28.255208333333336,23.784722222222225,32.94270833333333,5000
all,pg,de,24,22.7076061663758,18.95251315717714,26.822916666666664,5000
US,pg,de,12,23.236392888307154,19.48784722222222,27.30034722222222,5000
CN,pg,de,12,22.178819444444443,18.229166666666664,26.51909722222222,5000
all,pg,zh,24,24.57608438772542,21.050347222222225,28.407118055555554,5000
US,pg,zh,12,21.808418775450846,18.679811345622454,25.305701168346793,5000
CN,pg,zh,12,27.34375,23.262803819444443,31.727430555555554,5000
all,pg,hi,24,26.929139254385966,23.162254050925927,30.88063093932748,5000
US,pg,hi,12,28.511056286549714,24.88681191826643,32.20578457446808,5000
CN,pg,hi,12,25.347222222222225,21.223958333333336,29.687499999999993,5000
all,pg,sw,24,26.62600511695906,23.468168834533163,30.092460426239203,5000
US,pg,sw,12,32.41867690058479,29.1428065008726,36.00430937561245,5000
CN,pg,sw,12,20.833333333333336,17.534722222222225,24.392361111111107,5000
all,control,en,24,20.272278577661428,16.603445748800176,24.200692967386562,5000
US,control,en,12,20.101848821989527,16.493055555555554,23.958498082097147,5000
CN,control,en,12,20.442708333333336,16.536458333333336,24.567057291666654,5000
all,control,es,24,18.47322207678883,15.074314542343625,22.170578627558474,5000
US,control,es,12,20.409985820244327,16.883086622807017,24.262815241228065,5000
CN,control,es,12,16.536458333333332,13.064236111111112,20.3125,5000
all,control,pt,24,17.491319444444443,14.105360243055554,21.137152777777775,5000
US,control,pt,12,19.270833333333336,15.623914930555552,23.263888888888886,5000
CN,control,pt,12,15.711805555555555,12.369791666666668,19.357638888888893,5000
all,control,fr,24,18.784426810645726,15.44553499130657,22.302139575152697,5000
US,control,fr,12,18.720004363001742,15.288878435863875,22.26590203900709,5000
