bloc,mode,lang,factor,level,n_models,min_pairs,max_pairs,reference_rate,language_rate,estimate,lo,hi,p_boot,n_draws,q
all,he,es,scale,individual,24,64,64,2.408854166666667,1.953125,-0.4557291666666667,-1.4520202020202015,0.4629629629629629,0.3783243351329734,5000,0.5554610008230911
US,he,es,scale,individual,12,64,64,2.213541666666667,2.604166666666667,0.390625,-1.129943502824859,1.9775692762980877,0.7118576284743051,5000,0.8008398320335932
CN,he,es,scale,individual,12,64,64,2.604166666666667,1.3020833333333335,-1.3020833333333335,-2.7322938012295084,-0.12254901960784316,0.041991601679664065,5000,0.15116976604679064
all,he,pt,scale,individual,24,64,64,2.408854166666667,1.7578125,-0.6510416666666667,-1.7124127048079505,0.26881720430107525,0.21515696860627875,5000,0.40462355290136004
US,he,pt,scale,individual,12,64,64,2.213541666666667,2.34375,0.13020833333333331,-1.0582010582010581,1.2626262626262625,0.9114177164567087,5000,0.9432170708715399
CN,he,pt,scale,individual,12,64,64,2.604166666666667,1.171875,-1.4322916666666665,-2.864583333333333,-0.32051282051282054,0.01199760047990402,5000,0.05928226119481986
all,he,fr,scale,individual,24,64,64,2.408854166666667,2.083333333333333,-0.32552083333333337,-1.1719584668803418,0.4782658192761527,0.5122975404919016,5000,0.6520150515351475
US,he,fr,scale,individual,12,64,64,2.213541666666667,2.213541666666667,0.0,-1.1603375527426163,1.262763504611329,1.0,5000,1.0
CN,he,fr,scale,individual,12,64,64,2.604166666666667,1.953125,-0.6510416666666667,-2.487602571557795,0.8620689655172413,0.5338932213557288,5000,0.659515155792371
all,he,de,scale,individual,24,64,64,2.408854166666667,1.7578125,-0.6510416666666667,-1.5625,0.18115942028985493,0.15036992601479704,5000,0.3295062726585118
US,he,de,scale,individual,12,64,64,2.213541666666667,2.213541666666667,0.0,-1.171875,1.1301040061633258,1.0,5000,1.0
CN,he,de,scale,individual,12,64,64,2.604166666666667,1.3020833333333335,-1.3020833333333335,-2.631578947368421,-0.14124293785310735,0.03159368126374725,5000,0.12841302707200497
all,he,zh,scale,individual,24,64,64,2.408854166666667,2.9296875,0.5208333333333333,-0.7513661202185791,1.8719806763285023,0.45830833833233353,5000,0.6176133757205778
US,he,zh,scale,individual,12,64,64,2.213541666666667,2.34375,0.13020833333333331,-1.0273972602739725,1.2711864406779663,0.9214157168566287,5000,0.9438892709263026
CN,he,zh,scale,individual,12,64,64,2.604166666666667,3.515625,0.9114583333333334,-0.8333333333333334,2.8607936878109443,0.35632873425314937,5000,0.5475295184865465
all,he,hi,scale,individual,24,64,64,2.408854166666667,4.817708333333334,2.408854166666667,1.271186440677966,3.7037037037037033,0.0003999200159968006,5000,0.004580902001417898
US,he,hi,scale,individual,12,64,64,2.213541666666667,6.25,4.036458333333334,2.4590163934426235,5.833333333333334,0.0003999200159968006,5000,0.004580902001417898
CN,he,hi,scale,individual,12,64,64,2.604166666666667,3.3854166666666665,0.78125,-0.7355129551820728,2.2522522522522523,0.3251349730053989,5000,0.5127174565086983
all,he,sw,scale,individual,24,63,64,2.4098875661375656,10.093212632275133,7.683325066137566,6.252907817127551,9.10266291642314,0.0003999200159968006,5000,0.004580902001417898
US,he,sw,scale,individual,12,63,64,2.2156084656084656,15.75934193121693,13.543733465608465,11.333254794973545,15.606120731120733,0.0003999200159968006,5000,0.004580902001417898
CN,he,sw,scale,individual,12,64,64,2.604166666666667,4.427083333333334,1.8229166666666667,-0.36764705882352966,3.91432709447415,0.10877824435112977,5000,0.2855428914217157
all,de,es,scale,individual,24,64,64,11.848958333333332,9.375,-2.473958333333333,-5.4248614220232385,0.19230769230769207,0.07278544291141771,5000,0.2169730759730407
US,de,es,scale,individual,12,64,64,9.895833333333332,9.114583333333332,-0.78125,-3.7439613526570046,1.8401274651274613,0.6186762647470506,5000,0.715167058331453
CN,de,es,scale,individual,12,64,64,13.802083333333334,9.635416666666668,-4.166666666666666,-8.33618721461187,-0.13015825320512892,0.04839032193561288,5000,0.1670460428462253
all,de,pt,scale,individual,24,64,64,11.848958333333332,8.919270833333332,-2.9296875,-5.0925925925925934,-0.9339080459770116,0.003199360127974405,5000,0.02179023654728514
