bloc,mode,lang,factor,level,n_models,min_pairs,max_pairs,reference_rate,language_rate,estimate,lo,hi,p_boot,n_draws,q
all,he,es,standing,low,24,64,64,2.213541666666667,1.6927083333333333,-0.5208333333333333,-1.5700730577334283,0.4487179487179488,0.34713057388522295,5000,0.5467306538692261
US,he,es,standing,low,12,64,64,2.083333333333333,1.8229166666666667,-0.26041666666666663,-1.455026455026455,0.8659220133100713,0.7730453909218157,5000,0.8837617091966222
CN,he,es,standing,low,12,64,64,2.34375,1.5625,-0.78125,-2.1794871794871797,0.43108113151216537,0.276744651069786,5000,0.48768987461249
all,he,pt,standing,low,24,64,64,2.213541666666667,1.3671875,-0.8463541666666666,-1.953125,0.08910711038369944,0.09278144371125775,5000,0.2541404762525756
US,he,pt,standing,low,12,64,64,2.083333333333333,1.6927083333333333,-0.390625,-1.5931372549019611,0.7575757575757575,0.5890821835632873,5000,0.7651995374121052
CN,he,pt,standing,low,12,64,64,2.34375,1.0416666666666665,-1.3020833333333335,-2.638888888888889,-0.1488095238095238,0.027194561087782444,5000,0.10543122144801809
all,he,fr,standing,low,24,64,64,2.213541666666667,1.6927083333333333,-0.5208333333333333,-1.5741366366366365,0.390625,0.33313337332533494,5000,0.5372785315548355
US,he,fr,standing,low,12,64,64,2.083333333333333,1.4322916666666665,-0.6510416666666667,-1.9676452020202022,0.5707762557077625,0.3719256148770246,5000,0.5680318481758193
CN,he,fr,standing,low,12,64,64,2.34375,1.953125,-0.390625,-1.8780289262456458,0.9090909090909091,0.6822635472905418,5000,0.8466480616920093
all,he,de,standing,low,24,64,64,2.213541666666667,1.4322916666666665,-0.78125,-1.9503826645120743,0.264767109029401,0.17116576684663068,5000,0.371518916555672
US,he,de,standing,low,12,64,64,2.083333333333333,1.3020833333333335,-0.78125,-2.1740523968784844,0.5128205128205128,0.2643471305738852,5000,0.47245019081290124
CN,he,de,standing,low,12,64,64,2.34375,1.5625,-0.78125,-2.2727272727272725,0.5868544600938967,0.3179364127174565,5000,0.5202595844467469
all,he,zh,standing,low,24,64,64,2.213541666666667,2.213541666666667,0.0,-1.1667397660818712,1.2860271423384164,1.0,5000,1.0
US,he,zh,standing,low,12,64,64,2.083333333333333,1.4322916666666665,-0.6510416666666667,-1.9901811365706674,0.6756756756756757,0.3683263347330534,5000,0.5680318481758193
CN,he,zh,standing,low,12,64,64,2.34375,2.994791666666667,0.6510416666666667,-0.7246376811594203,2.272727272727272,0.4511097780443911,5000,0.6459071821999237
all,he,hi,standing,low,24,64,64,2.213541666666667,4.427083333333334,2.213541666666667,0.9803921568627451,3.615321640951461,0.0003999200159968006,5000,0.004199160167966407
US,he,hi,standing,low,12,64,64,2.083333333333333,5.989583333333334,3.90625,2.2875158127767232,5.751333760136575,0.0003999200159968006,5000,0.004199160167966407
CN,he,hi,standing,low,12,64,64,2.34375,2.864583333333333,0.5208333333333333,-0.9562841530054643,2.0202020202020203,0.5530893821235753,5000,0.7413751292294732
all,he,sw,standing,low,24,64,64,2.213541666666667,8.723958333333332,6.510416666666667,5.161691542288558,7.859893153230417,0.0003999200159968006,5000,0.004199160167966407
US,he,sw,standing,low,12,64,64,2.083333333333333,13.541666666666666,11.458333333333332,9.436274509803921,13.357891767818236,0.0003999200159968006,5000,0.004199160167966407
CN,he,sw,standing,low,12,64,64,2.34375,3.90625,1.5625,-0.4387922932330826,3.461805555555552,0.1367726454709058,5000,0.3251576099874365
all,de,es,standing,low,24,64,64,17.3828125,15.234375,-2.1484375,-5.174782095144997,0.7393673195084471,0.15876824635072986,5000,0.3479095485250776
US,de,es,standing,low,12,64,64,14.583333333333334,14.713541666666666,0.13020833333333331,-2.4853801169590644,2.8301886792452824,0.971005798840232,5000,0.9946888671046279
CN,de,es,standing,low,12,64,64,20.182291666666664,15.755208333333334,-4.427083333333334,-9.259259259259258,0.12836021505376116,0.0591881623675265,5000,0.1818953282514229
all,de,pt,standing,low,24,63,64,17.389012896825395,15.31291335978836,-2.076099537037037,-5.49445324228464,1.1592956232102594,0.21635672865426914,5000,0.4191525331297377
US,de,pt,standing,low,12,63,64,14.595734126984128,13.308118386243386,-1.2876157407407407,-4.450839211076281,1.747300275706036,0.4195160967806439,5000,0.6146398627251294
CN,de,pt,standing,low,12,64,64,20.182291666666664,17.317708333333336,-2.864583333333333,-7.44982473993668,1.3513513513513513,0.21795640871825636,5000,0.4191525331297377
all,de,fr,standing,low,24,64,64,17.3828125,15.950520833333334,-1.4322916666666665,-4.235001138433516,1.2879588134869813,0.3167366526694661,5000,0.5202595844467469
US,de,fr,standing,low,12,64,64,14.583333333333334,11.458333333333332,-3.125,-6.010928961748633,-0.3729971466198437,0.030393921215756847,5000,0.11431743502045859
CN,de,fr,standing,low,12,64,64,20.182291666666664,20.442708333333336,0.26041666666666663,-3.4725378787878776,3.8096246973365595,0.8998200359928015,5000,0.961873448095191
all,de,de,standing,low,24,64,64,17.3828125,13.736979166666666,-3.6458333333333335,-6.359856007944388,-1.0751325922696908,0.004399120175964807,5000,0.028425084213926446
US,de,de,standing,low,12,64,64,14.583333333333334,13.932291666666666,-0.6510416666666667,-3.6460617690058483,2.315004553734059,0.6918616276744651,5000,0.8466480616920093
CN,de,de,standing,low,12,64,64,20.182291666666664,13.541666666666666,-6.640625,-10.539407169117647,-2.9869367622986203,0.0003999200159968006,5000,0.004199160167966407
all,de,zh,standing,low,24,63,64,17.389012896825395,18.050388558201057,0.6613756613756614,-3.1001285327393937,4.294977168949769,0.7370525894821036,5000,0.8679310866798603
US,de,zh,standing,low,12,63,64,14.595734126984128,13.184110449735451,-1.4116236772486772,-4.762205255236423,2.0835573476702485,0.4379124175164967,5000,0.634217983989409
CN,de,zh,standing,low,12,64,64,20.182291666666664,22.916666666666664,2.734375,-2.19330495356037,7.456140350877193,0.28314337132573486,5000,0.48813094523952355
