bloc,mode,contrast,factor,level,n_models,min_pairs,max_pairs,negative_rate,positive_rate,estimate,lo,hi,p_boot,n_draws,q
all,he,us_ally,scale,group,24,63,64,5.472883597883598,4.953083664021164,-0.5197999338624338,-1.717651804570154,0.6656522181102454,0.39912017596480703,5000,0.6700255803761528
US,he,us_ally,scale,group,12,64,64,5.46875,4.296875,-1.171875,-2.298945099818512,-0.13020833333333331,0.03839232153569286,5000,0.17217378442119796
CN,he,us_ally,scale,group,12,63,64,5.477017195767195,5.6092923280423275,0.13227513227513227,-1.5384615384615385,1.872998768472906,0.8742251549690062,5000,0.9766868544099399
all,he,us_rival,scale,group,24,63,64,6.6416583994708995,7.098420965608465,0.45676256613756616,-0.6666666666666667,1.590964795008912,0.4363127374525095,5000,0.7033100842518064
US,he,us_rival,scale,group,12,63,64,6.642691798941798,6.905175264550264,0.26248346560846564,-1.3681592039800994,1.9533350134408574,0.7802439512097581,5000,0.9432800007162747
CN,he,us_rival,scale,group,12,64,64,6.640625,7.291666666666667,0.6510416666666667,-0.8708104215763288,2.1740523968784817,0.4339132173565287,5000,0.7029394121175766
all,he,us_neutral,scale,group,24,63,64,6.058821097883598,5.1442625661375665,-0.9145585317460317,-1.9922809280016556,0.06219967444199752,0.06598680263947211,5000,0.24574395465734444
US,he,us_neutral,scale,group,12,63,64,6.388475529100529,5.080191798941799,-1.3082837301587302,-2.587958404701949,-0.007767108513377668,0.04399120175964807,5000,0.18754143908060492
CN,he,us_neutral,scale,group,12,64,64,5.729166666666666,5.208333333333334,-0.5208333333333333,-1.9005847953216373,0.8169934640522877,0.5262947410517896,5000,0.7974255616166486
all,he,cn_ally,scale,group,24,63,64,8.2041583994709,7.4249751984126995,-0.779183201058201,-2.0425536083275655,0.471721498558215,0.24235152969406118,5000,0.5350440116058421
US,he,cn_ally,scale,group,12,63,64,7.944775132275132,7.688492063492064,-0.25628306878306883,-1.729640860537087,1.306299603174602,0.8050389922015597,5000,0.9604272693848327
CN,he,cn_ally,scale,group,12,64,64,8.463541666666668,7.161458333333333,-1.3020833333333335,-3.2865896931979477,0.5649717514124293,0.1951609678064387,5000,0.4790314664339859
all,he,cn_rival,scale,group,24,63,64,7.162491732804233,6.383308531746032,-0.779183201058201,-1.9315552307879669,0.3156565656565656,0.1871625674865027,5000,0.4664667066586683
US,he,cn_rival,scale,group,12,63,64,7.554150132275132,6.256200396825397,-1.2979497354497354,-3.0264450056116723,0.49019607843137264,0.16716656668666266,5000,0.43329574085182965
CN,he,cn_rival,scale,group,12,64,64,6.770833333333333,6.510416666666667,-0.26041666666666663,-1.762941919191919,1.2626262626262625,0.8122375524895021,5000,0.9604272693848327
all,he,cn_neutral,scale,group,24,63,64,8.335400132275133,6.771866732804233,-1.5635333994708993,-2.7985317552860693,-0.3175011070751924,0.015196960607878424,5000,0.08638272345530892
US,he,cn_neutral,scale,group,12,63,64,8.33746693121693,6.252066798941798,-2.085400132275132,-3.7356321839080455,-0.44742197554697566,0.011597680463907219,5000,0.07089902774162149
CN,he,cn_neutral,scale,group,12,64,64,8.333333333333332,7.291666666666667,-1.0416666666666665,-2.777777777777778,0.7441031449893384,0.2663467306538692,5000,0.5496582212219976
all,he,us_cn,scale,group,24,64,64,5.729166666666666,7.6171875,1.8880208333333333,0.5433321645628801,3.3090504720406653,0.009598080383923215,5000,0.0634648580487984
US,he,us_cn,scale,group,12,64,64,5.46875,7.682291666666667,2.213541666666667,0.4901960784313723,3.980234696084792,0.014397120575884824,5000,0.0832976261890479
CN,he,us_cn,scale,group,12,64,64,5.989583333333334,7.552083333333333,1.5625,-0.14130381842976847,3.356524668325041,0.08838232353529295,5000,0.2982903419316137
all,he,allies,scale,group,24,63,64,7.4229083994708995,7.162491732804233,-0.26041666666666663,-1.5700483091787443,1.0416666666666665,0.74625074985003,5000,0.9322410327094887
US,he,allies,scale,group,12,63,64,7.684358465608465,7.684358465608465,0.0,-2.285189730403615,2.0840669014084408,1.0,5000,1.0
CN,he,allies,scale,group,12,64,64,7.161458333333333,6.640625,-0.5208333333333333,-2.083333333333333,1.1113184079601957,0.5790841831633673,5000,0.8489740965833983
all,he,neutrals,scale,group,24,63,64,5.862475198412699,6.512483465608465,0.6500082671957672,-0.579008954008954,1.9005847953216373,0.3043391321735653,5000,0.5976113868135463
US,he,neutrals,scale,group,12,63,64,5.60515873015873,5.863508597883598,0.25834986772486773,-1.2295081967213115,1.86382987375721,0.8078384323135372,5000,0.9604272693848327
CN,he,neutrals,scale,group,12,64,64,6.119791666666666,7.161458333333333,1.0416666666666665,-0.6412760416666666,2.778716216216203,0.2659468106378724,5000,0.5496582212219976
all,he,us_ally,scale,individual,24,63,64,4.5583250661375665,4.623429232804233,0.06510416666666666,-1.3621794871794866,1.3441377171215876,0.9678064387122576,5000,1.0
US,he,us_ally,scale,individual,12,63,64,5.080191798941799,4.429150132275131,-0.6510416666666667,-2.4244002525252535,0.9615384615384615,0.48830233953209357,5000,0.7642993140502333
CN,he,us_ally,scale,individual,12,64,64,4.036458333333334,4.817708333333334,0.78125,-0.8578431372549019,2.399043400102721,0.3847230553889222,5000,0.6630333507766532
all,he,us_rival,scale,individual,24,64,64,5.208333333333334,8.333333333333332,3.125,1.5025988302595625,4.870914590104731,0.0003999200159968006,5000,0.01295740851829634
US,he,us_rival,scale,individual,12,64,64,4.817708333333334,7.8125,2.994791666666667,1.6660353535353538,4.532217492260061,0.0003999200159968006,5000,0.01295740851829634
CN,he,us_rival,scale,individual,12,64,64,5.598958333333334,8.854166666666668,3.2552083333333335,0.6613756613756614,5.952380952380952,0.016396720655868825,5000,0.09004300834748304
all,he,us_neutral,scale,individual,24,64,64,5.013020833333334,4.622395833333334,-0.390625,-1.6522988505747123,0.7352941176470588,0.5558888222355529,5000,0.8224108602936947
US,he,us_neutral,scale,individual,12,64,64,5.338541666666666,4.557291666666666,-0.78125,-2.8169916937522577,0.8771929824561403,0.44831033793241354,5000,0.7155298004438522
CN,he,us_neutral,scale,individual,12,64,64,4.6875,4.6875,0.0,-1.4492753623188404,1.5384615384615385,1.0,5000,1.0
all,he,cn_ally,scale,individual,24,64,64,6.8359375,7.6171875,0.78125,-0.6757905865048723,2.30113383972992,0.33513297340531895,5000,0.6276478808284586
US,he,cn_ally,scale,individual,12,64,64,6.901041666666667,6.770833333333333,-0.13020833333333331,-1.616915422885572,1.4102564102564104,0.9358128374325135,5000,0.990860651399132
CN,he,cn_ally,scale,individual,12,64,64,6.770833333333333,8.463541666666668,1.6927083333333333,-0.34722222222222227,3.911629045557616,0.130373925214957,5000,0.3738155023862484
all,he,cn_rival,scale,individual,24,64,64,6.640625,4.036458333333334,-2.604166666666667,-4.294921875000001,-1.1159474206349225,0.0007998400319936012,5000,0.015244010021525105
US,he,cn_rival,scale,individual,12,64,64,7.291666666666667,4.296875,-2.994791666666667,-4.833467741935484,-1.3888888888888886,0.0007998400319936012,5000,0.015244010021525105
CN,he,cn_rival,scale,individual,12,64,64,5.989583333333334,3.7760416666666665,-2.213541666666667,-4.560002028809089,-0.14118408662900264,0.04079184163167367,5000,0.17622075584883024
all,he,cn_neutral,scale,individual,24,64,64,6.184895833333334,4.1015625,-2.083333333333333,-3.3854166666666665,-0.9468803602058331,0.0011997600479904018,5000,0.016196760647870425
US,he,cn_neutral,scale,individual,12,64,64,6.640625,4.427083333333334,-2.213541666666667,-4.090909090909091,-0.42372881355932185,0.019596080783843232,5000,0.10408410121254438
CN,he,cn_neutral,scale,individual,12,64,64,5.729166666666666,3.7760416666666665,-1.953125,-3.571428571428572,-0.5952380952380952,0.004399120175964807,5000,0.04454109178164367
all,he,us_cn,scale,individual,24,64,64,5.338541666666666,5.989583333333334,0.6510416666666667,-0.4545750473484851,1.8230058504566198,0.2923415316936613,5000,0.5810960507285047
US,he,us_cn,scale,individual,12,64,64,5.46875,5.859375,0.390625,-0.9408602150537633,1.7859432234432204,0.6294741051789642,5000,0.8790931468878638
CN,he,us_cn,scale,individual,12,64,64,5.208333333333334,6.119791666666666,0.9114583333333334,-0.5787037037037037,2.4154589371980673,0.2623475304939012,5000,0.5496582212219976
all,he,allies,scale,individual,24,64,64,5.078125,7.161458333333333,2.083333333333333,0.9408128880811757,3.3071145124716526,0.0003999200159968006,5000,0.01295740851829634
US,he,allies,scale,individual,12,64,64,5.208333333333334,7.03125,1.8229166666666667,0.5125000000000001,3.1401461154668566,0.006798640271945611,5000,0.05006271472978132
CN,he,allies,scale,individual,12,64,64,4.947916666666666,7.291666666666667,2.34375,0.4384540897698793,4.310473111658454,0.01839632073585283,5000,0.09934013197360529
all,he,neutrals,scale,individual,24,64,64,4.4921875,4.947916666666666,0.4557291666666667,-0.4166666666666667,1.2878787878787878,0.34553089382123575,5000,0.6347674285367645
US,he,neutrals,scale,individual,12,64,64,4.427083333333334,5.078125,0.6510416666666667,-0.6613756613756614,2.0531814572165965,0.41511697660467906,5000,0.6881970544666577
CN,he,neutrals,scale,individual,12,64,64,4.557291666666666,4.817708333333334,0.26041666666666663,-1.06068665377176,1.5277777777777777,0.762247550489902,5000,0.9390426097290048
all,he,us_ally,scale,society,24,64,64,8.268229166666668,8.138020833333332,-0.13020833333333331,-1.7264384920634919,1.3483518407362902,0.912617476504699,5000,0.9832133241125861
US,he,us_ally,scale,society,12,64,64,8.723958333333332,8.203125,-0.5208333333333333,-2.727272727272727,1.4705882352941175,0.7018596280743852,5000,0.9244317144476243
CN,he,us_ally,scale,society,12,64,64,7.8125,8.072916666666668,0.26041666666666663,-1.9345238095238095,2.513227513227513,0.856628674265147,5000,0.9704464701465302
all,he,us_rival,scale,society,24,64,64,10.416666666666668,11.848958333333332,1.4322916666666665,-1.2755444919903447,4.166666666666666,0.3099380123975205,5000,0.600051418287771
US,he,us_rival,scale,society,12,64,64,9.114583333333332,11.71875,2.604166666666667,0.12810945273631844,5.078125,0.046390721855628876,5000,0.19269992155415072
CN,he,us_rival,scale,society,12,64,64,11.71875,11.979166666666668,0.26041666666666663,-3.3954124579124576,3.8980594758064493,0.9098180363927214,5000,0.9832133241125861
all,he,us_neutral,scale,society,24,64,64,8.919270833333332,9.440104166666668,0.5208333333333333,-1.3020833333333335,2.278645833333333,0.5838832233553289,5000,0.8521538935456152
US,he,us_neutral,scale,society,12,64,64,8.984375,9.505208333333332,0.5208333333333333,-1.3661711932142566,2.3994990224828863,0.6366726654669066,5000,0.881546767569563
CN,he,us_neutral,scale,society,12,64,64,8.854166666666668,9.375,0.5208333333333333,-1.9347718253968256,2.8689702280007525,0.6890621875624875,5000,0.922546069298537
all,he,cn_ally,scale,society,24,64,64,13.606770833333334,15.169270833333334,1.5625,-0.8621367382346564,4.166666666666666,0.23795240951809637,5000,0.5350440116058421
US,he,cn_ally,scale,society,12,64,64,12.890625,13.411458333333334,0.5208333333333333,-2.1164021164021163,3.2318904124149577,0.734253149370126,5000,0.9322410327094887
CN,he,cn_ally,scale,society,12,64,64,14.322916666666666,16.927083333333336,2.604166666666667,-0.7309941520467835,5.994420794633639,0.130373925214957,5000,0.3738155023862484
all,he,cn_rival,scale,society,24,64,64,10.481770833333332,11.328125,0.8463541666666666,-1.1473950524737635,2.840984247234246,0.4211157768446311,5000,0.6917162022141026
US,he,cn_rival,scale,society,12,64,64,11.458333333333332,10.15625,-1.3020833333333335,-3.2338308457711435,0.7042750855414973,0.22555488902219556,5000,0.525753842037348
CN,he,cn_rival,scale,society,12,64,64,9.505208333333332,12.5,2.994791666666667,1.1492543028346372e-16,6.046122994652402,0.054789042191561686,5000,0.21915616876624675
all,he,cn_neutral,scale,society,24,63,64,11.331225198412698,11.784887566137565,0.45366236772486773,-1.5722525101011853,2.4743359897790715,0.6858628274345131,5000,0.9220728468414201
US,he,cn_neutral,scale,society,12,63,64,11.204117063492063,10.158316798941797,-1.0458002645502646,-3.0231316432296826,0.9421829836705521,0.3111377724455109,5000,0.600051418287771
CN,he,cn_neutral,scale,society,12,64,64,11.458333333333332,13.411458333333334,1.953125,-1.1904761904761905,5.409539473684206,0.2591481703659268,5000,0.5496582212219976
all,he,us_cn,scale,society,24,64,64,10.286458333333332,11.1328125,0.8463541666666666,-0.8333333333333331,2.514367816091953,0.34193161367726455,5000,0.6330619590367641
US,he,us_cn,scale,society,12,64,64,8.854166666666668,10.9375,2.083333333333333,0.26041666666666663,4.0509259259259265,0.028394321135772844,5000,0.13939030375743033
CN,he,us_cn,scale,society,12,64,64,11.71875,11.328125,-0.390625,-3.04265873015873,2.121212121212121,0.8134373125374925,5000,0.9604272693848327
all,he,allies,scale,society,24,64,64,11.458333333333332,11.71875,0.26041666666666663,-1.9900497512437807,2.5793650793650795,0.8210357928414317,5000,0.9604272693848327
US,he,allies,scale,society,12,64,64,10.546875,10.546875,0.0,-2.729885057471264,2.777777777777778,1.0,5000,1.0
CN,he,allies,scale,society,12,64,64,12.369791666666668,12.890625,0.5208333333333333,-2.146464646464646,3.1862745098039205,0.7086582683463307,5000,0.9244317144476243
all,he,neutrals,scale,society,24,64,64,9.5703125,9.765625,0.1953125,-1.256644953578916,1.6305965320910942,0.8218356328734253,5000,0.9604272693848327
US,he,neutrals,scale,society,12,64,64,9.895833333333332,10.286458333333332,0.390625,-1.692763506355932,2.4194770283479947,0.7666466706658668,5000,0.9402677954975043
CN,he,neutrals,scale,society,12,64,64,9.244791666666668,9.244791666666668,0.0,-2.0114942528735633,2.011610122358174,1.0,5000,1.0
all,de,us_ally,scale,group,24,63,64,14.39938822751323,12.180679563492063,-2.2187086640211637,-3.5311629963874402,-0.9347071573051051,0.0011997600479904018,5000,0.016196760647870425
US,de,us_ally,scale,group,12,64,64,13.411458333333334,12.239583333333332,-1.171875,-2.9321531038080337,0.5852356795603406,0.21235752849430115,5000,0.5022178046142597
CN,de,us_ally,scale,group,12,63,64,15.387318121693122,12.121775793650794,-3.265542328042328,-5.3331809474050855,-1.141451355744266,0.001999600079984003,5000,0.023138229496957752
all,de,us_rival,scale,group,24,64,64,17.7734375,15.625,-2.1484375,-4.29502688172043,0.15158529741862967,0.07238552289542091,5000,0.26351583615861096
US,de,us_rival,scale,group,12,64,64,15.494791666666666,13.411458333333334,-2.083333333333333,-4.249064757481939,-1.1564823173178712e-16,0.05838832233553289,5000,0.22521210043705542
