bloc,mode,contrast,factor,level,n_models,min_pairs,max_pairs,negative_rate,positive_rate,estimate,lo,hi,p_boot,n_draws,q
all,he,us_ally,standing,high,24,64,64,8.463541666666668,8.7890625,0.32552083333333337,-0.7640224358974363,1.4880952380952381,0.637872425514897,5000,0.8550818761867461
US,he,us_ally,standing,high,12,64,64,9.375,8.854166666666668,-0.5208333333333333,-1.881720430107527,0.8067821258593292,0.4859028194361128,5000,0.7679634804746367
CN,he,us_ally,standing,high,12,64,64,7.552083333333333,8.723958333333332,1.171875,-0.49019607843137264,3.0054644808743163,0.20035992801439712,5000,0.49473741615313305
all,he,us_rival,standing,high,24,64,64,10.546875,12.890625,2.34375,0.10822510822510803,4.679509132420091,0.04439112177564487,5000,0.24003068238811254
US,he,us_rival,standing,high,12,64,64,9.895833333333332,12.109375,2.213541666666667,0.11900570087189824,4.310473111658456,0.04879024195160968,5000,0.24700059988002399
CN,he,us_rival,standing,high,12,64,64,11.197916666666668,13.671875,2.473958333333333,-0.5850563909774436,5.681968494468495,0.1267746450709858,5000,0.3803239352129574
all,he,us_neutral,standing,high,24,64,64,9.505208333333332,9.440104166666668,-0.06510416666666666,-1.3671875,1.366146900614754,0.943011397720456,5000,0.996048532229038
US,he,us_neutral,standing,high,12,64,64,9.765625,9.765625,0.0,-1.4926170429901775,1.580505237887385,1.0,5000,1.0
CN,he,us_neutral,standing,high,12,64,64,9.244791666666668,9.114583333333332,-0.13020833333333331,-2.1666666666666665,1.9230769230769231,0.9498100379924015,5000,0.996048532229038
all,he,cn_ally,standing,high,24,64,64,13.4765625,13.411458333333334,-0.06510416666666666,-1.838275082760377,1.836210119641076,0.9454109178164367,5000,0.996048532229038
US,he,cn_ally,standing,high,12,64,64,12.239583333333332,12.109375,-0.13020833333333331,-2.1929824561403506,1.9607843137254901,0.936612677464507,5000,0.996048532229038
CN,he,cn_ally,standing,high,12,64,64,14.713541666666666,14.713541666666666,0.0,-2.513289907157832,2.63176169590643,1.0,5000,1.0
all,he,cn_rival,standing,high,24,64,64,10.9375,10.611979166666668,-0.32552083333333337,-2.115384615384615,1.5351720647773264,0.7394521095780844,5000,0.9070185962807439
US,he,cn_rival,standing,high,12,64,64,11.71875,10.9375,-0.78125,-2.575917626973965,1.1363636363636367,0.4415116976604679,5000,0.7533998354968182
CN,he,cn_rival,standing,high,12,64,64,10.15625,10.286458333333332,0.13020833333333331,-2.5641025641025643,2.8205128205128207,0.9522095580883824,5000,0.996048532229038
all,he,cn_neutral,standing,high,24,64,64,11.653645833333332,11.263020833333332,-0.390625,-1.8880208333333333,1.1574074074074068,0.6022795440911818,5000,0.8452901694339243
US,he,cn_neutral,standing,high,12,64,64,11.71875,10.286458333333332,-1.4322916666666665,-2.9102182539682544,0.13232846902201617,0.08078384323135374,5000,0.31159482389236437
CN,he,cn_neutral,standing,high,12,64,64,11.588541666666668,12.239583333333332,0.6510416666666667,-2.3438416960093895,3.8461538461538463,0.7458508298340332,5000,0.9070185962807439
all,he,us_cn,standing,high,24,64,64,11.002604166666668,12.174479166666668,1.171875,-0.5128424657534246,2.993003594483567,0.19356128774245152,5000,0.48241428637349454
US,he,us_cn,standing,high,12,64,64,10.286458333333332,11.588541666666668,1.3020833333333335,-0.6666666666666664,3.4594470649895124,0.22355528894221155,5000,0.5173838471742271
CN,he,us_cn,standing,high,12,64,64,11.71875,12.760416666666666,1.0416666666666665,-1.0715245775729643,3.0952380952380953,0.34593081383723256,5000,0.6593034334309609
all,he,allies,standing,high,24,64,64,11.9140625,11.71875,-0.1953125,-1.8818779401881722,1.570048309178744,0.8622275544891022,5000,0.9733858106427495
US,he,allies,standing,high,12,64,64,11.979166666666668,11.588541666666668,-0.390625,-2.857231698649609,2.011610122358174,0.7946410717856429,5000,0.9275267248708532
CN,he,allies,standing,high,12,64,64,11.848958333333332,11.848958333333332,0.0,-2.083333333333333,2.0840277777777683,1.0,5000,1.0
all,he,neutrals,standing,high,24,64,64,9.244791666666668,9.375,0.13020833333333331,-0.984848484848485,1.2370231559684677,0.8710257948410318,5000,0.9789545539168029
US,he,neutrals,standing,high,12,64,64,9.505208333333332,9.375,-0.13020833333333331,-2.1465664711632453,1.9049570647931275,0.9202159568086383,5000,0.996048532229038
CN,he,neutrals,standing,high,12,64,64,8.984375,9.375,0.390625,-1.2733707264957266,2.0491803278688523,0.7202559488102379,5000,0.8980480826911541
all,he,us_ally,standing,low,24,63,64,5.731233465608465,5.146329365079366,-0.5849041005291006,-2.1836610657836197,0.9210272473239047,0.4647070585882823,5000,0.7604297322353711
US,he,us_ally,standing,low,12,64,64,5.208333333333334,4.6875,-0.5208333333333333,-2.3391812865497075,1.2626262626262625,0.6326734653069386,5000,0.8550818761867461
CN,he,us_ally,standing,low,12,63,64,6.254133597883597,5.60515873015873,-0.6489748677248677,-2.6961844834087483,1.2780830280830267,0.5474905018996201,5000,0.8235941852725346
all,he,us_rival,standing,low,24,64,64,6.25,6.510416666666667,0.26041666666666663,-1.3888888888888886,1.917989417989418,0.7918416316736653,5000,0.9275267248708532
US,he,us_rival,standing,low,12,64,64,5.208333333333334,6.510416666666667,1.3020833333333335,-0.12254901960784302,2.734375,0.08438312337532493,5000,0.3179085113209916
CN,he,us_rival,standing,low,12,64,64,7.291666666666667,6.510416666666667,-0.78125,-3.551962793314046,1.8063206214689158,0.6054789042191562,5000,0.8452901694339243
all,he,us_neutral,standing,low,24,64,64,6.380208333333333,5.598958333333334,-0.78125,-2.234531772575251,0.4310811315121652,0.25834833033393323,5000,0.5506898620275945
US,he,us_neutral,standing,low,12,64,64,5.859375,5.208333333333334,-0.6510416666666667,-2.1929824561403506,0.8333333333333331,0.4339132173565287,5000,0.7533998354968182
CN,he,us_neutral,standing,low,12,64,64,6.901041666666667,5.989583333333334,-0.9114583333333334,-2.91005291005291,0.8928571428571427,0.3787242551489702,5000,0.693257958577776
all,he,cn_ally,standing,low,24,64,64,8.919270833333332,8.528645833333332,-0.390625,-2.0202484402852052,1.31578947368421,0.6546690661867627,5000,0.8657664385490249
US,he,cn_ally,standing,low,12,64,64,8.723958333333332,7.8125,-0.9114583333333334,-2.824921811945117,0.8928571428571427,0.3635272945410918,5000,0.6730448196075071
CN,he,cn_ally,standing,low,12,64,64,9.114583333333332,9.244791666666668,0.13020833333333331,-2.083333333333333,2.6837297248040812,1.0,5000,1.0
all,he,cn_rival,standing,low,24,64,64,7.8125,5.989583333333334,-1.8229166666666667,-3.518558429118773,-0.21186440677966092,0.029994001199760048,5000,0.21126209540700555
US,he,cn_rival,standing,low,12,64,64,7.942708333333333,4.947916666666666,-2.994791666666667,-4.824561403508771,-1.3681592039800996,0.0003999200159968006,5000,0.02591481703659268
CN,he,cn_rival,standing,low,12,64,64,7.682291666666667,7.03125,-0.6510416666666667,-2.983820408950617,1.7545968286099838,0.6106778644271146,5000,0.8455539661298509
all,he,cn_neutral,standing,low,24,64,64,7.942708333333333,6.4453125,-1.4973958333333335,-3.005559350333941,-1.5720931501042442e-16,0.05118976204759048,5000,0.25325843922124663
US,he,cn_neutral,standing,low,12,64,64,7.942708333333333,5.46875,-2.473958333333333,-4.282490079365079,-0.7672946570972923,0.005198960207958408,5000,0.08021252892278688
CN,he,cn_neutral,standing,low,12,64,64,7.942708333333333,7.421875,-0.5208333333333333,-2.083333333333333,1.1363636363636362,0.5530893821235753,5000,0.8235941852725346
all,he,us_cn,standing,low,24,64,64,5.794270833333334,7.291666666666667,1.4973958333333335,0.31094527363184093,2.777777777777778,0.013197360527894421,5000,0.15638251660012828
US,he,us_cn,standing,low,12,64,64,5.338541666666666,7.161458333333333,1.8229166666666667,0.2345810019936975,3.4909909909909906,0.035992801439712056,5000,0.21595680863827232
CN,he,us_cn,standing,low,12,64,64,6.25,7.421875,1.171875,-0.6289903754526395,3.0172413793103443,0.23515296940611877,5000,0.5245087968707628
all,he,allies,standing,low,24,64,64,6.25,7.8125,1.5625,-0.057911706349206477,3.3046547162926467,0.0643871225754849,5000,0.2857729823898234
US,he,allies,standing,low,12,64,64,5.598958333333334,7.161458333333333,1.5625,-0.4098360655737706,3.6290322580645156,0.13557288542291543,5000,0.39572626015337475
CN,he,allies,standing,low,12,64,64,6.901041666666667,8.463541666666668,1.5625,-0.6944444444444445,3.9288419913419874,0.20515896820635873,5000,0.495430325699566
all,he,neutrals,standing,low,24,64,64,6.510416666666667,7.291666666666667,0.78125,-0.5848468000988385,2.14651396780303,0.27594481103779245,5000,0.569465724689457
US,he,neutrals,standing,low,12,64,64,5.989583333333334,6.380208333333333,0.390625,-1.1904761904761905,1.9774011299435026,0.6946610677864428,5000,0.8893723200885115
CN,he,neutrals,standing,low,12,64,64,7.03125,8.203125,1.171875,-0.49757462686567144,2.9949218749999984,0.20795840831833634,5000,0.495430325699566
all,he,us_ally,standing,med,24,63,64,4.1015625,3.7760416666666665,-0.32552083333333337,-1.7857142857142854,0.9922032193158933,0.6854629074185163,5000,0.8893723200885115
US,he,us_ally,standing,med,12,63,64,4.6875,3.3854166666666665,-1.3020833333333335,-3.248587570621469,0.36778424056189446,0.15276944611077783,5000,0.4194686486431527
CN,he,us_ally,standing,med,12,64,64,3.515625,4.166666666666666,0.6510416666666667,-1.1696477521929824,2.5003306878306835,0.5226954609078185,5000,0.8081492706198097
all,he,us_rival,standing,med,24,63,64,5.470816798941799,7.880704365079365,2.4098875661375656,0.5596308231569425,4.330092234262127,0.010797840431913617,5000,0.14577084583083383
US,he,us_rival,standing,med,12,63,64,5.472883597883598,7.818700396825397,2.345816798941799,0.24509803921568665,4.60769071310116,0.03479304139172166,5000,0.21595680863827232
CN,he,us_rival,standing,med,12,64,64,5.46875,7.942708333333333,2.473958333333333,0.26455026455026454,4.838954056695989,0.029994001199760048,5000,0.21126209540700555
all,he,us_neutral,standing,med,24,63,64,4.105696097883598,4.1677000661375665,0.06200396825396826,-1.4368365680547706,1.4423776455026445,0.9586082783443312,5000,0.9979696368418624
US,he,us_neutral,standing,med,12,63,64,5.086392195767195,4.168733465608465,-0.9176587301587302,-3.107397335357113,1.0708761426305051,0.3623275344931014,5000,0.6730448196075071
CN,he,us_neutral,standing,med,12,64,64,3.125,4.166666666666666,1.0416666666666665,-0.423728813559322,2.525365259740258,0.1827634473105379,5000,0.46261997600479904
all,he,cn_ally,standing,med,24,63,64,6.2510333994708995,8.269262566137565,2.018229166666667,0.14140542613363993,4.0010406239572855,0.033193361327734455,5000,0.21595680863827232
US,he,cn_ally,standing,med,12,63,64,6.772900132275132,7.944775132275132,1.171875,-0.5464480874316936,3.1474530987834024,0.22635472905418916,5000,0.5173838471742271
CN,he,cn_ally,standing,med,12,64,64,5.729166666666666,8.59375,2.864583333333333,0.2730071992367074,5.5555555555555545,0.03559288142371526,5000,0.21595680863827232
all,he,cn_rival,standing,med,24,63,64,5.5348875661375665,5.1442625661375665,-0.390625,-1.8383575083038683,0.9931118377645818,0.5974805038992201,5000,0.8452901694339243
US,he,cn_rival,standing,med,12,63,64,6.642691798941798,4.819775132275131,-1.8229166666666667,-3.752412900188324,0.003554796350727391,0.057588482303539294,5000,0.2743921803874519
CN,he,cn_rival,standing,med,12,64,64,4.427083333333334,5.46875,1.0416666666666665,-1.0416666666666665,3.091397849462365,0.34833033393321333,5000,0.6599943169260883
