bloc,mode,contrast,positive_condition,negative_condition,n_models,min_pairs,max_pairs,negative_rate,positive_rate,estimate,lo,hi,p_boot,n_draws,q
all,he,us_ally,ally_us,us_ally,24,191,192,6.100021815008726,5.904482075334497,-0.19553973967422916,-0.97841554841966,0.5859375,0.6150769846030794,5000,0.7142829498616406
US,he,us_ally,ally_us,us_ally,12,191,192,6.424520069808028,5.643042830133798,-0.7814772396742293,-1.7795138888888884,0.17338387143688197,0.10757848430313938,5000,0.21921653405168023
CN,he,us_ally,ally_us,us_ally,12,191,192,5.775523560209424,6.165921320535195,0.3903977603257709,-0.6537828947368419,1.4756944444444446,0.47470505898820237,5000,0.5897854911776266
all,he,us_rival,rival_us,us_rival,24,191,192,7.422329479348459,9.093790903141361,1.671461423792903,0.5425347222222223,2.842881944444444,0.003599280143971206,5000,0.017669193434040466
US,he,us_rival,rival_us,us_rival,12,191,192,6.858547847585806,8.812581806282722,1.9540339586969169,0.8680555555555555,3.0393363238074467,0.0011997600479904018,5000,0.0092552917987831
CN,he,us_rival,rival_us,us_rival,12,192,192,7.986111111111112,9.375,1.3888888888888888,-0.21701388888888876,2.952473958333318,0.09638072385522896,5000,0.20410035639930837
all,he,us_neutral,neutral_us,us_neutral,24,191,192,6.663235347585806,6.402591441244909,-0.2606439063408958,-1.0640497745782427,0.5448332202032788,0.5230953809238152,5000,0.6347674285367646
US,he,us_neutral,neutral_us,us_neutral,12,191,192,6.9028595840605,6.381571771378708,-0.5212878126817919,-1.5202334205933683,0.4361000156641605,0.3007398520295941,5000,0.44008495598177666
CN,he,us_neutral,neutral_us,us_neutral,12,192,192,6.423611111111112,6.423611111111111,5.782411586589356e-17,-1.0850694444444442,1.0416666666666665,1.0,5000,1.0
all,he,cn_ally,ally_cn,cn_ally,24,191,192,9.5492928301338,10.070467022978475,0.5211741928446769,-0.542534722222222,1.5625,0.3311337732453509,5000,0.4705585198749724
US,he,cn_ally,ally_cn,cn_ally,12,191,192,9.246155104712042,9.290239601512507,0.04408449680046498,-1.082339638157894,1.2152777777777777,0.9422115576884623,5000,0.959989134248622
CN,he,cn_ally,ally_cn,cn_ally,12,192,192,9.852430555555554,10.850694444444446,0.9982638888888888,-0.4774305555555555,2.473958333333333,0.20035992801439712,5000,0.3381073785242951
all,he,cn_rival,rival_cn,cn_rival,24,191,192,8.095413394415358,7.249172847585806,-0.846240546829552,-1.779513888888889,0.06556148651105279,0.07358528294341132,5000,0.17660467906418717
US,he,cn_rival,rival_cn,cn_rival,12,191,192,8.768951788830716,6.9028595840605,-1.8660922047702155,-2.9513888888888893,-0.7812500000000006,0.0007998400319936012,5000,0.007198560287942412
CN,he,cn_rival,rival_cn,cn_rival,12,192,192,7.421874999999998,7.595486111111111,0.17361111111111144,-1.2152777777777775,1.5624999999999998,0.8274345130973805,5000,0.8676012370341465
all,he,cn_neutral,neutral_cn,cn_neutral,24,191,192,8.616928446771379,7.553219531704479,-1.0637089150668995,-1.9545044069954984,-0.19507951953400127,0.020795840831833633,5000,0.07245002612380749
US,he,cn_neutral,neutral_cn,cn_neutral,12,191,192,8.726912449098311,6.946716841186736,-1.7801956079115766,-2.864569266115404,-0.7378415412303664,0.0015996800639872025,5000,0.010162673347683405
CN,he,cn_neutral,neutral_cn,cn_neutral,12,192,192,8.506944444444446,8.159722222222223,-0.34722222222222227,-1.6927083333333333,1.041666666666667,0.6110777844431113,5000,0.7142829498616406
all,he,us_cn,cn_us,us_cn,24,192,192,7.118055555555556,8.246527777777777,1.1284722222222217,0.32552083333333337,1.953125,0.007198560287942412,5000,0.03239352129574085
US,he,us_cn,cn_us,us_cn,12,192,192,6.597222222222224,8.159722222222223,1.5624999999999996,0.6076388888888885,2.5607638888888884,0.001999600079984003,5000,0.011366147823066965
CN,he,us_cn,cn_us,us_cn,12,192,192,7.638888888888889,8.333333333333332,0.6944444444444442,-0.43402777777777796,1.8229166666666667,0.2531493701259748,5000,0.3962337967189171
all,he,allies,allycn_allyus,allyus_allycn,24,191,192,7.9867928301337985,8.681010034904013,0.6942172047702154,-0.23871811827370573,1.6710069444444444,0.15916816636672665,5000,0.286502699460108
US,he,allies,allycn_allyus,allyus_allycn,12,191,192,7.813863438045375,8.421047847585806,0.6071844095404306,-0.6083206079115764,1.8663194444444444,0.35592881423715256,5000,0.4992248303586036
CN,he,allies,allycn_allyus,allyus_allycn,12,192,192,8.159722222222223,8.940972222222221,0.7812499999999999,-0.43402777777777796,1.996527777777778,0.22715456908618276,5000,0.36077490384276084
all,he,neutrals,neutralB_neutralA,neutralA_neutralB,24,191,192,6.641420338859802,7.0759025959860375,0.4344822571262361,-0.2398974323830409,1.1284722222222223,0.21795640871825636,5000,0.3558452488606756
US,he,neutrals,neutralB_neutralA,neutralA_neutralB,12,191,192,6.642215677719604,7.0771524141943,0.43493673647469444,-0.5208333333333335,1.4322916666666665,0.3827234553089382,5000,0.5264972321991298
CN,he,neutrals,neutralB_neutralA,neutralA_neutralB,12,192,192,6.640624999999998,7.074652777777778,0.43402777777777773,-0.5208333333333333,1.4322916666666672,0.4071185762847431,5000,0.536204954131125
all,de,us_ally,ally_us,us_ally,24,190,192,19.9555411557362,18.194311688634766,-1.7612294671014366,-2.8863046056937174,-0.6971853137151341,0.0023995200959808036,5000,0.012340389065044133
US,de,us_ally,ally_us,us_ally,12,190,192,18.242415935672515,16.45970394736842,-1.7827119883040938,-3.042350342000835,-0.5217469564235634,0.008798240351929614,5000,0.03519296140771846
CN,de,us_ally,ally_us,us_ally,12,191,192,21.668666375799884,19.928919429901104,-1.739746945898779,-3.390923531613295,-0.08975967132053582,0.039192161567686463,5000,0.10581883623275345
all,de,us_rival,rival_us,us_rival,24,190,192,24.20641447368421,21.620065789473685,-2.5863486842105265,-4.060573196928932,-1.151875068171903,0.0007998400319936012,5000,0.007198560287942412
US,de,us_rival,rival_us,us_rival,12,190,192,21.937134502923975,19.1515899122807,-2.785544590643275,-4.383680555555555,-1.2152777777777777,0.0015996800639872025,5000,0.010162673347683405
CN,de,us_rival,rival_us,us_rival,12,192,192,26.475694444444443,24.088541666666664,-2.3871527777777777,-4.340277777777777,-0.390625,0.021995600879824034,5000,0.07329443202268637
all,de,us_neutral,neutral_us,us_neutral,24,191,192,21.097613074461897,17.819112674520067,-3.278500399941827,-4.494346276905176,-2.043550961965341,0.0003999200159968006,5000,0.004799040191961607
US,de,us_neutral,neutral_us,us_neutral,12,191,192,19.97300392670157,16.10697534904014,-3.866028577661431,-5.386489237929027,-2.3471472331297267,0.0003999200159968006,5000,0.004799040191961607
CN,de,us_neutral,neutral_us,us_neutral,12,192,192,22.22222222222222,19.531250000000004,-2.6909722222222223,-4.340277777777779,-0.998263888888889,0.001999600079984003,5000,0.011366147823066965
all,de,cn_ally,ally_cn,cn_ally,24,188,192,28.53132387706856,26.51217124704492,-2.019152630023641,-3.2792355210874216,-0.8269094306022163,0.0011997600479904018,5000,0.0092552917987831
