bloc,mode,contrast,n_models,min_pairs,max_pairs,negative_rate,positive_rate,estimate,lo,hi,p_boot,n_draws
all,he,us_ally,24,185,192,6.023406538160501,5.822642748869287,-0.2007637892912142,-0.9888018909833963,0.5727945276852382,0.5934813037392521,5000
US,he,us_ally,12,186,192,6.243086971461665,5.453532424397941,-0.7895545470637233,-1.785243031126655,0.1690460653939406,0.09598080383923216,5000
CN,he,us_ally,12,185,192,5.803726104859338,6.191753073340632,0.3880269684812948,-0.6662538311071565,1.4756944444444446,0.47230553889222154,5000
all,he,us_rival,24,184,192,7.297392256931951,9.017339113944942,1.7199468570129943,0.5944138495501197,2.887287200546525,0.0023995200959808036,5000
US,he,us_rival,12,188,192,6.619136307753166,8.670822851912952,2.0516865441597862,0.9604259114652057,3.1410374591013404,0.0003999200159968006,5000
CN,he,us_rival,12,184,192,7.975648206110732,9.363855375976932,1.3882071698662013,-0.1837293876925555,2.950250262121224,0.08878224355128975,5000
all,he,us_neutral,24,181,192,6.599545887224218,6.314407524214628,-0.2851383630095893,-1.0730616528936807,0.5031508179669897,0.47110577884423116,5000
US,he,us_neutral,12,187,192,6.791597103658209,6.215590422538578,-0.5760066811196319,-1.5557415061732958,0.38384747661135693,0.2375524895020996,5000
CN,he,us_neutral,12,181,192,6.407494670790228,6.4132246258906775,0.005729955100453564,-1.0742442248482718,1.047513248323102,0.9722055588882224,5000
all,he,cn_ally,24,182,192,9.464353650528746,10.018457807289648,0.5541041567609006,-0.5166912891813518,1.598152834894799,0.2995400919816037,5000
US,he,cn_ally,12,184,192,9.036639653754243,9.115012746504963,0.07837309275071688,-1.020904448351083,1.2167516842032629,0.9002199560087982,5000
CN,he,cn_ally,12,182,192,9.89206764730325,10.921902868074335,1.0298352207710846,-0.4592452432948534,2.5072563743662437,0.1791641671665667,5000
all,he,cn_rival,24,185,192,8.01316426241437,7.216830588067499,-0.7963336743468724,-1.7384684160541306,0.13196902278700087,0.09238152369526095,5000
US,he,cn_rival,12,185,192,8.582195091657352,6.811495898946815,-1.7706991927105367,-2.8515370820681687,-0.6983516377198278,0.0007998400319936012,5000
