bloc,mode,contrast,factor,level,n_models,min_pairs,max_pairs,negative_rate,positive_rate,estimate,lo,hi,p_boot,n_draws,q
all,he,ai_minus_human,context,Academia,24,21,21,3.373015873015873,5.158730158730159,1.7857142857142856,-0.9922619047619047,5.416666666666667,0.3131373725254949,5000,0.3853998431083014
US,he,ai_minus_human,context,Academia,12,21,21,3.1746031746031744,5.555555555555556,2.380952380952381,-1.1904761904761905,6.249999999999999,0.250749850029994,5000,0.3209598080383923
CN,he,ai_minus_human,context,Academia,12,21,21,3.571428571428571,4.761904761904762,1.1904761904761905,-1.984126984126984,5.357142857142857,0.6742651469706059,5000,0.7524012438891532
all,he,ai_minus_human,context,Diplomacy,24,21,21,1.5873015873015872,3.968253968253968,2.380952380952381,0.26041666666666663,5.0598473084886075,0.027594481103779243,5000,0.05298140371925615
US,he,ai_minus_human,context,Diplomacy,12,21,21,1.5873015873015872,3.571428571428571,1.984126984126984,-0.5952380952380952,5.357142857142857,0.21755648870225955,5000,0.2861016837728345
CN,he,ai_minus_human,context,Diplomacy,12,21,21,1.5873015873015872,4.365079365079364,2.7777777777777777,0.3783761528326746,6.000462962962956,0.03999200159968006,5000,0.06980422097398702
all,he,ai_minus_human,context,Fiction,24,21,21,4.761904761904762,6.547619047619047,1.7857142857142856,0.1666666666666666,3.8580246913580245,0.04599080183963208,5000,0.07884137458222641
US,he,ai_minus_human,context,Fiction,12,21,21,4.365079365079364,5.952380952380952,1.5873015873015872,-0.5952380952380949,4.166666666666666,0.2451509698060388,5000,0.31803369055918546
CN,he,ai_minus_human,context,Fiction,12,21,21,5.158730158730158,7.142857142857144,1.984126984126984,-0.43859649122807015,5.158730158730158,0.16956608678264348,5000,0.2325477761590539
all,he,ai_minus_human,context,Government,24,21,21,8.928571428571429,11.507936507936508,2.579365079365079,0.0,5.492424242424242,0.0591881623675265,5000,0.0963061624963143
US,he,ai_minus_human,context,Government,12,21,21,7.142857142857144,10.317460317460318,3.1746031746031744,0.5952380952380952,5.833333333333333,0.02399520095980804,5000,0.050645190110913986
CN,he,ai_minus_human,context,Government,12,21,21,10.714285714285714,12.698412698412698,1.984126984126984,-2.4310661764705874,7.291666666666667,0.4971005798840232,5000,0.5819714105959296
all,he,ai_minus_human,context,Interpersonal,24,21,21,1.5873015873015872,3.9682539682539675,2.380952380952381,0.6944444444444444,4.166666666666666,0.00599880023995201,5000,0.018576929775335257
US,he,ai_minus_human,context,Interpersonal,12,21,21,1.984126984126984,3.571428571428571,1.5873015873015872,-1.1564823173178712e-16,3.4313725490196076,0.1375724855028994,5000,0.19421997953350506
CN,he,ai_minus_human,context,Interpersonal,12,21,21,1.1904761904761905,4.365079365079364,3.1746031746031744,0.9803921568627451,5.769230769230769,0.005598880223955209,5000,0.01853422418964483
all,he,ai_minus_human,context,Markets,24,21,21,0.5952380952380952,0.3968253968253968,-0.1984126984126984,-0.9259259259259258,0.4629629629629629,0.7994401119776045,5000,0.8252285026865593
US,he,ai_minus_human,context,Markets,12,21,21,0.3968253968253968,0.7936507936507936,0.3968253968253968,0.0,1.3157894736842104,0.7238552289542092,5000,0.7716434735031016
CN,he,ai_minus_human,context,Markets,12,21,21,0.7936507936507936,0.0,-0.7936507936507936,-2.083333333333333,0.0,0.27074585082983404,5000,0.3375532685670658
all,he,ai_minus_human,context,Media,24,21,21,0.992063492063492,2.182539682539682,1.1904761904761905,-0.18115942028985507,2.7777777777777777,0.1339732053589282,5000,0.1919616076784643
US,he,ai_minus_human,context,Media,12,21,21,0.7936507936507936,1.1904761904761905,0.3968253968253968,0.0,1.3333333333333335,0.7314537092581483,5000,0.7716434735031016
CN,he,ai_minus_human,context,Media,12,21,21,1.1904761904761905,3.1746031746031744,1.984126984126984,-0.4166666666666666,4.938271604938271,0.1807638472305539,5000,0.24441308921314325
all,he,ai_minus_human,context,Work,24,21,21,3.373015873015873,6.150793650793651,2.7777777777777772,0.2777777777777778,5.769675925925919,0.03199360127974405,5000,0.0590651100549121
US,he,ai_minus_human,context,Work,12,21,21,3.1746031746031744,6.349206349206349,3.1746031746031744,0.0,6.746031746031746,0.054789042191561686,5000,0.09068531121361934
