bloc,mode,contrast,factor,level,n_models,min_pairs,max_pairs,negative_rate,positive_rate,estimate,lo,hi,p_boot,n_draws,q
all,he,ai_minus_human,domain,Attentional,24,24,24,0.3472222222222222,0.5208333333333333,0.1736111111111111,-0.5952380952380952,0.9618055555555517,0.8298340331933614,5000,0.8570417064128157
US,he,ai_minus_human,domain,Attentional,12,24,24,0.6944444444444444,1.0416666666666665,0.3472222222222222,-1.1904761904761905,1.9236111111111034,0.8298340331933614,5000,0.8570417064128157
CN,he,ai_minus_human,domain,Attentional,12,24,24,0.0,0.0,0.0,0.0,0.0,1.0,5000,1.0
all,he,ai_minus_human,domain,Epistemic,24,24,24,1.0416666666666665,2.256944444444444,1.215277777777778,-0.1436781609195403,2.833333333333333,0.09758048390321936,5000,0.12700317079441253
US,he,ai_minus_human,domain,Epistemic,12,24,24,0.3472222222222222,2.4305555555555554,2.083333333333333,1.1564823173178712e-16,4.166666666666666,0.051989602079584085,5000,0.07798440311937613
CN,he,ai_minus_human,domain,Epistemic,12,24,24,1.736111111111111,2.083333333333333,0.3472222222222222,-1.1904761904761905,1.9607843137254901,0.8274345130973805,5000,0.8570417064128157
all,he,ai_minus_human,domain,Legal,24,24,24,9.027777777777777,14.23611111111111,5.208333333333334,1.8674169859514682,8.908559113300488,0.003199360127974405,5000,0.007465173631940279
US,he,ai_minus_human,domain,Legal,12,24,24,9.027777777777779,12.5,3.472222222222222,0.0,7.458228905597297,0.07238552289542091,5000,0.09913669440025039
CN,he,ai_minus_human,domain,Legal,12,24,24,9.027777777777779,15.972222222222221,6.944444444444446,2.536231884057971,11.728395061728392,0.001999600079984003,5000,0.005248950209958008
all,he,ai_minus_human,domain,Physical,24,24,24,2.9513888888888884,6.944444444444444,3.9930555555555567,1.6666666666666667,6.862745098039216,0.0003999200159968006,5000,0.0016796640671865627
US,he,ai_minus_human,domain,Physical,12,24,24,2.083333333333333,6.597222222222222,4.513888888888889,1.893939393939394,7.5396825396825395,0.0007998400319936012,5000,0.0026521011587156253
CN,he,ai_minus_human,domain,Physical,12,24,24,3.8194444444444446,7.291666666666666,3.472222222222222,0.41666666666666685,7.291666666666667,0.03119376124775045,5000,0.049130173965206955
all,he,ai_minus_human,domain,Rank,24,24,24,1.3888888888888888,1.909722222222222,0.5208333333333333,-1.0869565217391304,2.4621212121212115,0.6686662667466506,5000,0.7390521895620876
US,he,ai_minus_human,domain,Rank,12,24,24,1.736111111111111,1.3888888888888888,-0.3472222222222222,-2.0,0.9259259259259258,0.9402119576084783,5000,0.9553766666021635
CN,he,ai_minus_human,domain,Rank,12,24,24,1.0416666666666665,2.4305555555555554,1.3888888888888886,-1.08756038647343,4.824561403508772,0.47270545890821836,5000,0.5414626165675955
all,he,ai_minus_human,domain,Status,24,24,24,2.083333333333333,2.9513888888888884,0.8680555555555555,-0.15432098765432098,2.083333333333333,0.14677064587082583,5000,0.17781828249734669
US,he,ai_minus_human,domain,Status,12,24,24,2.7777777777777777,3.1249999999999996,0.3472222222222222,-0.8333333333333334,1.5873015873015872,0.7958408318336333,5000,0.8570417064128157
CN,he,ai_minus_human,domain,Status,12,24,24,1.3888888888888888,2.777777777777778,1.3888888888888888,0.0,3.260869565217391,0.09518096380723855,5000,0.12700317079441253
all,he,ai_minus_human,domain,Wealth,24,24,24,5.208333333333334,6.0763888888888875,0.8680555555555555,-0.4901960784313725,2.412280701754386,0.28474305138972206,5000,0.3322002266213424
US,he,ai_minus_human,domain,Wealth,12,24,24,3.125,5.555555555555555,2.430555555555556,0.5555555555555556,4.62962962962963,0.014397120575884824,5000,0.026677017537668938
CN,he,ai_minus_human,domain,Wealth,12,24,24,7.291666666666667,6.597222222222222,-0.6944444444444445,-3.125,1.6684027777777524,0.6434713057388523,5000,0.7239052189562089
all,de,ai_minus_human,domain,Attentional,24,24,24,17.708333333333336,23.4375,5.729166666666666,3.125,8.75,0.0003999200159968006,5000,0.0016796640671865627
