bloc,mode,contrast,factor,level,n_models,min_pairs,max_pairs,negative_rate,positive_rate,estimate,lo,hi,p_boot,n_draws,q
all,he,ai_minus_human,scale,group,24,56,56,3.2738095238095233,3.8690476190476186,0.5952380952380952,-0.20491803278688517,1.4974609374999992,0.1887622475504899,5000,0.2019831327852077
US,he,ai_minus_human,scale,group,12,56,56,2.976190476190476,3.7202380952380945,0.744047619047619,0.0,1.5385802469135785,0.07278544291141771,5000,0.08452503047777542
CN,he,ai_minus_human,scale,group,12,56,56,3.5714285714285707,4.017857142857142,0.4464285714285715,-0.9434855631789597,2.0,0.625874825034993,5000,0.625874825034993
all,he,ai_minus_human,scale,individual,24,56,56,2.7529761904761902,4.6875,1.9345238095238093,0.7407407407407408,3.205259562841529,0.0007998400319936012,5000,0.0016937788912805673
US,he,ai_minus_human,scale,individual,12,56,56,2.5297619047619047,4.464285714285714,1.9345238095238095,0.3401360544217686,3.787878787878788,0.01879624075184963,5000,0.02519496100779844
CN,he,ai_minus_human,scale,individual,12,56,56,2.9761904761904754,4.910714285714285,1.9345238095238093,0.17712404110580393,3.869220653377628,0.03279344131173765,5000,0.040709099559398464
all,he,ai_minus_human,scale,society,24,56,56,3.4226190476190474,6.398809523809524,2.976190476190476,1.3392155211141057,4.882868624281608,0.0003999200159968006,5000,0.0008998200359928014
US,he,ai_minus_human,scale,society,12,56,56,2.976190476190476,5.803571428571428,2.8273809523809526,1.0601325757575755,4.824561403508772,0.004399120175964807,5000,0.007198560287942412
CN,he,ai_minus_human,scale,society,12,56,56,3.8690476190476186,6.9940476190476195,3.125,1.1436051693404636,5.508531529068707,0.0015996800639872025,5000,0.0028794241151769645
all,de,ai_minus_human,scale,group,24,55,56,7.666396103896105,12.056277056277057,4.3898809523809526,2.4600581709956715,6.372761746207914,0.0003999200159968006,5000,0.0008998200359928014
US,de,ai_minus_human,scale,group,12,55,56,6.404220779220777,11.612554112554113,5.208333333333334,2.6787410244635548,7.8788742122075455,0.0003999200159968006,5000,0.0008998200359928014
CN,de,ai_minus_human,scale,group,12,56,56,8.928571428571429,12.5,3.571428571428572,0.8167299177735611,6.420836179417121,0.015596880623875225,5000,0.022459508098380324
all,de,ai_minus_human,scale,individual,24,56,56,10.714285714285714,15.25297619047619,4.538690476190476,2.4659564530037366,6.778633316468505,0.0003999200159968006,5000,0.0008998200359928014
US,de,ai_minus_human,scale,individual,12,56,56,8.18452380952381,11.904761904761905,3.7202380952380953,1.9125683060109284,5.601092896174864,0.0003999200159968006,5000,0.0008998200359928014
CN,de,ai_minus_human,scale,individual,12,56,56,13.244047619047619,18.601190476190478,5.357142857142857,1.580459770114943,9.305555555555555,0.00599880023995201,5000,0.00938942646253358
all,de,ai_minus_human,scale,society,24,56,56,22.544642857142858,32.44047619047619,9.895833333333332,7.203229327170006,12.792397660818713,0.0003999200159968006,5000,0.0008998200359928014
US,de,ai_minus_human,scale,society,12,56,56,18.154761904761905,25.595238095238095,7.440476190476191,4.62962962962963,10.507462042788129,0.0003999200159968006,5000,0.0008998200359928014
CN,de,ai_minus_human,scale,society,12,56,56,26.934523809523814,39.285714285714285,12.351190476190476,8.469945355191257,16.527889784946236,0.0003999200159968006,5000,0.0008998200359928014
all,pg,ai_minus_human,scale,group,24,56,56,14.880952380952381,21.65178571428571,6.770833333333336,4.426886047979798,9.485938731284474,0.0003999200159968006,5000,0.0008998200359928014
US,pg,ai_minus_human,scale,group,12,56,56,15.029761904761903,20.982142857142858,5.952380952380953,3.216374269005848,9.051880309845078,0.0003999200159968006,5000,0.0008998200359928014
CN,pg,ai_minus_human,scale,group,12,56,56,14.732142857142858,22.321428571428573,7.589285714285715,4.371584699453551,10.919989224137924,0.0003999200159968006,5000,0.0008998200359928014
all,pg,ai_minus_human,scale,individual,24,56,56,11.904761904761905,22.321428571428573,10.416666666666664,7.083136792452831,14.08751266464032,0.0003999200159968006,5000,0.0008998200359928014
US,pg,ai_minus_human,scale,individual,12,56,56,10.56547619047619,19.345238095238095,8.779761904761903,5.3761947431302275,12.37467762733719,0.0003999200159968006,5000,0.0008998200359928014
CN,pg,ai_minus_human,scale,individual,12,56,56,13.244047619047622,25.29761904761905,12.053571428571425,7.737824675324677,16.512483465608465,0.0003999200159968006,5000,0.0008998200359928014
all,pg,ai_minus_human,scale,society,24,56,56,38.69047619047619,45.23809523809524,6.547619047619048,3.8264957622393214,9.166666666666666,0.0003999200159968006,5000,0.0008998200359928014
US,pg,ai_minus_human,scale,society,12,56,56,35.56547619047619,42.4107142857143,6.845238095238095,3.594771241830066,10.166666666666664,0.0003999200159968006,5000,0.0008998200359928014
CN,pg,ai_minus_human,scale,society,12,56,56,41.81547619047619,48.06547619047619,6.25,1.9603758169934642,10.374298842343952,0.003999200159968006,5000,0.0068557717028022965
all,control,ai_minus_human,scale,group,24,64,64,21.158854166666664,22.981770833333336,1.8229166666666667,-0.6858737693389586,3.9179104477611943,0.13997200559888023,5000,0.15746850629874026
US,control,ai_minus_human,scale,group,12,64,64,21.614583333333336,22.526041666666664,0.9114583333333334,-1.9844064386317906,3.508771929824562,0.5198960207958409,5000,0.5347501928185792
CN,control,ai_minus_human,scale,group,12,64,64,20.703125,23.4375,2.734375,-2.3129646346357425e-16,5.3140096618357475,0.059988002399520096,5000,0.07198560287942411
all,control,ai_minus_human,scale,individual,24,63,64,20.38690476190476,24.430596891534393,4.04369212962963,0.776497049634873,7.6389466950302145,0.019596080783843232,5000,0.02519496100779844
US,control,ai_minus_human,scale,individual,12,63,64,19.289434523809522,24.12161044973545,4.8321759259259265,1.9840910397975615,7.884978349306178,0.0015996800639872025,5000,0.0028794241151769645
CN,control,ai_minus_human,scale,individual,12,64,64,21.484375,24.739583333333336,3.2552083333333335,-1.4367816091954024,8.230485232067473,0.1907618476304739,5000,0.2019831327852077
all,control,ai_minus_human,scale,society,24,64,64,19.270833333333336,22.591145833333336,3.3203125,1.3698426288323549,5.384615384615384,0.0015996800639872025,5000,0.0028794241151769645
US,control,ai_minus_human,scale,society,12,64,64,19.401041666666664,22.005208333333336,2.604166666666667,0.5050505050505044,4.761904761904762,0.01919616076784643,5000,0.02519496100779844
CN,control,ai_minus_human,scale,society,12,64,64,19.140625,23.177083333333336,4.036458333333334,1.0605459355459355,7.1212732160312795,0.010797840431913617,5000,0.016196760647870425
