bloc,mode,contrast,factor,level,n_models,min_pairs,max_pairs,negative_rate,positive_rate,estimate,lo,hi,p_boot,n_draws,q
all,he,ai_minus_human,standing,high,24,56,56,6.25,8.18452380952381,1.9345238095238093,0.47169811320754734,3.5186965811965787,0.007998400319936013,5000,0.009929048673024016
US,he,ai_minus_human,standing,high,12,56,56,5.208333333333334,7.5892857142857135,2.380952380952381,0.7062146892655368,4.285993303571424,0.00599880023995201,5000,0.008531627007931745
CN,he,ai_minus_human,standing,high,12,56,56,7.291666666666667,8.779761904761905,1.4880952380952381,-0.5847953216374269,3.7357787942763294,0.1959608078384323,5000,0.22045590881823635
all,he,ai_minus_human,standing,low,24,56,56,1.9345238095238093,4.092261904761905,2.157738095238095,0.8487327369742623,3.787878787878788,0.0007998400319936012,5000,0.0015996800639872025
US,he,ai_minus_human,standing,low,12,56,56,1.9345238095238093,4.315476190476191,2.380952380952381,0.925925925925926,4.0365569760101,0.0011997600479904018,5000,0.002159568086382723
CN,he,ai_minus_human,standing,low,12,56,56,1.9345238095238093,3.8690476190476186,1.9345238095238095,0.33333333333333337,3.8560545486851407,0.014797040591881624,5000,0.01775644871025795
all,he,ai_minus_human,standing,med,24,56,56,1.2648809523809523,2.6785714285714284,1.413690476190476,0.3719824735449735,2.549851548708071,0.005198960207958408,5000,0.007798440311937612
US,he,ai_minus_human,standing,med,12,56,56,1.3392857142857142,2.083333333333333,0.744047619047619,-0.45475589225589225,1.9607843137254901,0.27594481103779245,5000,0.30103070295031903
CN,he,ai_minus_human,standing,med,12,56,56,1.1904761904761905,3.2738095238095233,2.083333333333333,0.6172839506172839,3.9475542670234876,0.0015996800639872025,5000,0.0025038470566756212
all,de,ai_minus_human,standing,high,24,55,56,12.7245670995671,18.752705627705627,6.028138528138528,3.6263850941105042,8.413488872644576,0.0003999200159968006,5000,0.0008998200359928014
US,de,ai_minus_human,standing,high,12,55,56,9.526515151515152,15.481601731601732,5.955086580086579,3.3653143274853803,8.67416213768115,0.0003999200159968006,5000,0.0008998200359928014
CN,de,ai_minus_human,standing,high,12,56,56,15.922619047619047,22.023809523809522,6.101190476190476,2.6453373015873014,9.482758620689657,0.0007998400319936012,5000,0.0015996800639872025
all,de,ai_minus_human,standing,low,24,56,56,17.336309523809522,25.297619047619047,7.961309523809524,5.2272727272727275,10.764266304347823,0.0003999200159968006,5000,0.0008998200359928014
US,de,ai_minus_human,standing,low,12,56,56,14.285714285714288,20.238095238095237,5.9523809523809526,3.395061728395062,8.680740248226947,0.0003999200159968006,5000,0.0008998200359928014
CN,de,ai_minus_human,standing,low,12,56,56,20.38690476190476,30.357142857142854,9.970238095238095,5.782244349352645,14.259348290598286,0.0003999200159968006,5000,0.0008998200359928014
all,de,ai_minus_human,standing,med,24,56,56,10.863095238095237,15.699404761904761,4.836309523809524,2.901785714285714,6.862745098039216,0.0003999200159968006,5000,0.0008998200359928014
US,de,ai_minus_human,standing,med,12,56,56,8.928571428571429,13.392857142857142,4.464285714285714,2.210884353741496,7.017758857929134,0.0003999200159968006,5000,0.0008998200359928014
CN,de,ai_minus_human,standing,med,12,56,56,12.79761904761905,18.00595238095238,5.208333333333334,1.9005847953216373,8.854373346560845,0.0015996800639872025,5000,0.0025038470566756212
all,pg,ai_minus_human,standing,high,24,56,56,26.116071428571423,35.56547619047619,9.449404761904761,6.324404761904763,12.78269117067402,0.0003999200159968006,5000,0.0008998200359928014
US,pg,ai_minus_human,standing,high,12,56,56,25.14880952380953,33.779761904761905,8.63095238095238,5.288194444444443,12.191358024691358,0.0003999200159968006,5000,0.0008998200359928014
CN,pg,ai_minus_human,standing,high,12,56,56,27.083333333333325,37.35119047619048,10.26785714285714,5.816943822620191,14.869281045751634,0.0003999200159968006,5000,0.0008998200359928014
all,pg,ai_minus_human,standing,low,24,56,56,19.270833333333336,26.934523809523807,7.663690476190473,4.924053030303029,10.383367486338786,0.0003999200159968006,5000,0.0008998200359928014
US,pg,ai_minus_human,standing,low,12,56,56,17.113095238095237,23.66071428571429,6.547619047619048,3.4481196901549223,9.836376055638347,0.0003999200159968006,5000,0.0008998200359928014
CN,pg,ai_minus_human,standing,low,12,56,56,21.428571428571427,30.208333333333336,8.779761904761903,4.761904761904764,12.790870708748614,0.0003999200159968006,5000,0.0008998200359928014
