bloc,mode,contrast,factor,level,n_models,min_pairs,max_pairs,negative_rate,positive_rate,estimate,lo,hi,p_boot,n_draws,q
all,control,ai_minus_human,trigger,circumvention,24,24,24,10.590277777777777,12.847222222222221,2.2569444444444446,-0.9469696969696967,5.624999999999999,0.17476504699060189,5000,0.2621475704859028
US,control,ai_minus_human,trigger,circumvention,12,24,24,9.375,13.194444444444443,3.8194444444444446,2.3129646346357425e-16,7.666666666666666,0.052789442111577684,5000,0.10114900096903695
CN,control,ai_minus_human,trigger,circumvention,12,24,24,11.805555555555554,12.5,0.6944444444444443,-3.819444444444444,4.924242424242423,0.7758448310337932,5000,0.7758448310337932
all,control,ai_minus_human,trigger,contested_stance,24,23,24,22.592089371980677,25.717089371980677,3.124999999999999,1.1275702593849345e-16,6.3274959742351005,0.054789042191561686,5000,0.10114900096903695
US,control,ai_minus_human,trigger,contested_stance,12,23,24,23.656400966183575,25.392512077294686,1.73611111111111,-1.8445714913106215,5.200697055137841,0.3583283343331334,5000,0.47777111244417786
CN,control,ai_minus_human,trigger,contested_stance,12,24,24,21.527777777777782,26.041666666666668,4.513888888888888,-0.6666666666666667,9.849186307519634,0.10277944411117776,5000,0.176193332762019
all,control,ai_minus_human,trigger,dark_content,24,24,24,31.597222222222225,36.284722222222214,4.6875,0.7177921455938705,9.770653735632177,0.017996400719856028,5000,0.04799040191961607
US,control,ai_minus_human,trigger,dark_content,12,24,24,29.513888888888886,32.98611111111111,3.472222222222222,-1.1915784832451513,8.680555555555554,0.1739652069586083,5000,0.2621475704859028
CN,control,ai_minus_human,trigger,dark_content,12,24,24,33.68055555555555,39.58333333333333,5.902777777777779,0.29736247947454886,12.31920289855072,0.04839032193561288,5000,0.10114900096903695
all,control,ai_minus_human,trigger,dual_use,24,24,24,22.569444444444443,27.256944444444443,4.687499999999999,2.2433035714285716,7.291666666666667,0.0003999200159968006,5000,0.004799040191961607
US,control,ai_minus_human,trigger,dual_use,12,24,24,20.833333333333336,26.38888888888889,5.5555555555555545,2.6315789473684212,8.666666666666668,0.0003999200159968006,5000,0.004799040191961607
CN,control,ai_minus_human,trigger,dual_use,12,24,24,24.305555555555557,28.125,3.819444444444444,0.8333333333333325,7.098765432098764,0.014397120575884824,5000,0.04319136172765447
all,control,ai_minus_human,trigger,privacy,24,24,24,17.708333333333336,21.354166666666664,3.6458333333333344,1.2681159420289856,6.666666666666665,0.0023995200959808036,5000,0.014397120575884822
US,control,ai_minus_human,trigger,privacy,12,24,24,20.486111111111107,23.958333333333336,3.4722222222222223,1.0416666666666665,6.159755770263012,0.007998400319936013,5000,0.03199360127974405
CN,control,ai_minus_human,trigger,privacy,12,24,24,14.930555555555555,18.75,3.8194444444444446,0.36231884057971014,8.013117283950614,0.041191761647670466,5000,0.09886022795440912
all,control,ai_minus_human,trigger,private_deception,24,24,24,12.847222222222221,20.486111111111107,7.638888888888888,2.631578947368421,13.61111111111111,0.0007998400319936012,5000,0.00639872025594881
US,control,ai_minus_human,trigger,private_deception,12,24,24,14.583333333333334,20.833333333333336,6.25,1.7543859649122806,11.363636363636363,0.004399120175964807,5000,0.021115776844631073
CN,control,ai_minus_human,trigger,private_deception,12,24,24,11.111111111111112,20.138888888888893,9.027777777777779,1.5873015873015872,18.209876543209877,0.010797840431913617,5000,0.0370211671951324
all,control,ai_minus_human,trigger,self_risk,24,24,24,43.576388888888886,41.49305555555555,-2.083333333333333,-9.868421052631577,4.861111111111111,0.6054789042191562,5000,0.6919758905361785
US,control,ai_minus_human,trigger,self_risk,12,24,24,41.66666666666667,39.23611111111111,-2.430555555555555,-10.185185185185187,4.569892473118279,0.5378924215156968,5000,0.6794430587566697
CN,control,ai_minus_human,trigger,self_risk,12,24,24,45.48611111111111,43.75000000000001,-1.736111111111111,-11.806891025641024,7.291666666666667,0.7618476304739052,5000,0.7758448310337932
all,control,ai_minus_human,trigger,sensitive_advice,24,24,24,0.6944444444444444,1.215277777777778,0.5208333333333333,-0.2976190476190476,1.488095238095238,0.3259348130373925,5000,0.4601432654645542
US,control,ai_minus_human,trigger,sensitive_advice,12,24,24,0.6944444444444444,1.0416666666666665,0.3472222222222222,0.0,1.1494252873563218,0.7346530693861227,5000,0.7758448310337932
CN,control,ai_minus_human,trigger,sensitive_advice,12,24,24,0.6944444444444444,1.3888888888888888,0.6944444444444445,-0.7575757575757576,2.536483494363926,0.5686862627474505,5000,0.6824235152969406
