bloc,mode,condition,estimate,lo,hi,p_boot,n_draws
all,he,human,3.1498015873015865,1.9345238095238093,4.737103174603175,0.0003999200159968006,5000
all,he,ai,4.985119047619048,3.446800595238094,6.845238095238093,0.0003999200159968006,5000
US,he,human,2.8273809523809526,1.6865079365079367,4.365079365079366,0.0003999200159968006,5000
US,he,ai,4.662698412698413,3.1237599206349205,6.547619047619047,0.0003999200159968006,5000
CN,he,human,3.472222222222222,2.0337301587301586,5.257936507936509,0.0003999200159968006,5000
CN,he,ai,5.307539682539683,3.5714285714285707,7.292906746031728,0.0003999200159968006,5000
all,de,human,13.6419126033647,10.940190279516333,16.46930098137059,0.0003999200159968006,5000
all,de,ai,19.916714190666287,16.544444145630134,23.41390861063301,0.0003999200159968006,5000
US,de,human,10.91477758768178,8.63394007667396,13.442460317460316,0.0003999200159968006,5000
US,de,ai,16.371126794030985,13.597515331890332,19.347324695846403,0.0003999200159968006,5000
CN,de,human,16.369047619047617,13.045634920634921,19.940476190476186,0.0003999200159968006,5000
CN,de,ai,23.46230158730159,19.19642857142857,27.976190476190478,0.0003999200159968006,5000
all,pg,human,21.825396825396826,18.080357142857142,25.868055555555554,0.0003999200159968006,5000
all,pg,ai,29.737103174603174,25.79303075396825,33.829985119047606,0.0003999200159968006,5000
US,pg,human,20.386904761904763,17.06349206349206,23.908730158730155,0.0003999200159968006,5000
US,pg,ai,27.579365079365083,24.057539682539684,31.29960317460318,0.0003999200159968006,5000
CN,pg,human,23.263888888888886,18.799603174603178,28.025793650793652,0.0003999200159968006,5000
CN,pg,ai,31.89484126984127,27.1812996031746,36.75595238095238,0.0003999200159968006,5000
all,control,human,20.272278577661428,16.603445748800176,24.200692967386562,0.0003999200159968006,5000
all,control,ai,23.33376508871437,19.487429669320825,27.320369336970906,0.0003999200159968006,5000
US,control,human,20.101848821989527,16.493055555555554,23.958498082097147,0.0003999200159968006,5000
US,control,ai,22.88280795520652,19.236241773923794,26.748177537812683,0.0003999200159968006,5000
CN,control,human,20.442708333333336,16.536458333333336,24.567057291666654,0.0003999200159968006,5000
CN,control,ai,23.78472222222222,19.487847222222225,28.168402777777775,0.0003999200159968006,5000
