mode,lang,bloc,n_models,n_labs,mean_pp,median_pp,positive,negative,zero,minimum_model_pp,maximum_model_pp,leave_one_min_pp,leave_one_max_pp,equal_lab_mean_pp,leave_lab_min_pp,leave_lab_max_pp
control,de,all,24,16,-1.517052065154159,-1.0416666666666679,8,14,2,-15.625000000000004,14.0625,-2.194423894073905,-0.9036630245086875,-2.5377274669139034,-2.1944238940739056,-0.9036630245086876
control,de,US,12,7,1.0891597585805701,1.0471204188481686,6,4,2,-15.625000000000004,14.0625,-0.0902348088211963,2.6086288275424403,0.9083094407047285,-0.0902348088211963,2.6086288275424403
control,de,CN,12,9,-4.123263888888888,-2.8645833333333313,2,10,0,-12.5,4.166666666666666,-4.876893939393939,-3.361742424242424,-5.217978395061729,-5.208333333333333,-3.361742424242424
control,es,all,24,16,-1.799738219895288,-1.5625000000000007,9,15,0,-10.416666666666666,7.8125,-2.2176616207603006,-1.4250891569921846,-2.0770842422920297,-2.4549675891298923,-1.4120024100390591
control,es,US,12,7,0.3067735602094244,1.0416666666666667,7,5,0,-5.729166666666669,7.8125,-0.37556520704426427,0.855495399016342,0.3987082398404391,-0.519924374636416,0.855495399016342
control,es,CN,12,9,-3.90625,-3.6458333333333335,2,10,0,-10.416666666666666,2.6041666666666687,-4.498106060606061,-3.3143939393939394,-4.002700617283951,-4.4981060606060606,-3.3143939393939394
control,fr,all,24,16,-1.4744446262361839,-0.78125,8,13,3,-12.499999999999998,8.333333333333334,-1.9008697549131195,-0.9950726534638441,-2.4513195807882493,-2.0346214104394735,-1.0403032286212914
control,fr,US,12,7,-1.3863892524723678,-1.041666666666666,4,7,1,-12.499999999999998,6.806282722513091,-2.131177613834682,-0.37606100269712867,-2.205198724341395,-2.6008338181113055,-0.4136671029668418
control,fr,CN,12,9,-1.5624999999999993,-0.26041666666666713,4,6,2,-10.416666666666666,8.333333333333334,-2.4621212121212115,-0.757575757575757,-2.642746913580247,-2.812499999999999,-0.7575757575757571
control,hi,all,24,16,-0.1430185190956347,1.822916666666667,13,11,0,-19.270833333333332,28.272251308900525,-1.3784650333563373,0.6886256032625261,-1.2194600698772817,-1.4884710197210196,1.0022248670653056
control,hi,US,12,7,2.8389629618087295,3.6458333333333313,8,4,0,-19.270833333333332,28.272251308900525,0.5268458393458392,4.848944443185281,0.8708968244074826,0.47536375661375685,4.848944443185281
control,hi,CN,12,9,-3.1249999999999996,-4.687500000000002,5,7,0,-13.020833333333332,7.8125,-4.119318181818181,-2.225378787878787,-2.845293209876543,-4.635416666666666,-1.446759259259259
control,pt,all,24,16,-2.7769824389179756,-2.34375,8,16,0,-15.625000000000004,8.854166666666668,-3.2826845739433947,-2.2183729797404963,-3.8079972458551485,-3.6449243746364153,-2.2183729797404963
control,pt,US,12,7,-0.8230621000581735,0.5208333333333343,6,6,0,-15.625000000000004,8.854166666666668,-1.7028101697604319,0.5225686181183565,-2.4291921175101803,-2.1969531704479346,0.5225686181183565
control,pt,CN,12,9,-4.730902777777778,-4.427083333333334,2,10,0,-13.020833333333334,1.5625,-5.303030303030304,-3.977272727272727,-4.880401234567901,-5.303030303030304,-3.977272727272727
control,sw,all,24,16,0.8959247076023393,-1.822916666666667,10,13,1,-17.1875,74.47916666666667,-2.303346681922197,1.682160564454615,-0.028611567982455455,-2.6684609250398723,2.5864139515455298
control,sw,US,12,7,8.302266081871347,3.90625,8,3,1,-9.895833333333336,74.47916666666667,2.2861842105263177,9.956638755980864,7.11466165413534,1.9418859649122815,9.956638755980864
control,sw,CN,12,9,-6.510416666666667,-5.989583333333334,2,10,0,-17.1875,13.020833333333334,-8.285984848484848,-5.5397727272727275,-5.584490740740741,-8.285984848484848,-5.034722222222222
control,zh,all,24,16,-2.603712187318208,-4.427083333333332,8,15,1,-17.1875,16.145833333333336,-3.4189098186508837,-1.969634456332043,-2.9781747654886566,-3.669507575757576,-1.9696344563320434
control,zh,US,12,7,-4.295966041303083,-4.427083333333333,3,9,0,-17.1875,16.145833333333336,-6.154311438997302,-3.1240084086942725,-6.360828035402643,-6.979166666666667,-3.1240084086942725
control,zh,CN,12,9,-0.9114583333333331,-2.3437499999999987,5,6,1,-13.020833333333332,15.104166666666666,-2.367424242424242,0.18939393939393945,-0.3472222222222226,-2.3674242424242427,0.18939393939393945
de,de,all,24,16,-1.4097949389179754,0.26041666666666713,12,10,2,-21.875000000000004,11.458333333333332,-1.969278776841945,-0.5200034145231046,-2.3865562736329258,-2.0080196127316547,-0.5200034145231048
de,de,US,12,7,1.0432573443862718,2.083333333333335,8,2,2,-15.625,10.416666666666668,0.19112922417896303,2.5585534666032057,0.7330102634422013,0.1911292241789627,2.5585534666032057
de,de,CN,12,9,-3.862847222222222,-2.6041666666666665,4,8,0,-21.875000000000004,11.458333333333332,-5.255681818181818,-2.225378787878787,-4.812885802469136,-5.255681818181818,-2.2253787878787876
de,es,all,24,16,-0.49970004363001735,0.5208333333333339,14,8,2,-21.354166666666668,17.1875,-1.2687087411791484,0.4070158965020109,-0.960712532722513,-1.2687087411791484,0.40701589650201103
de,es,US,12,7,1.7349749127399654,1.302083333333334,8,4,0,-13.020833333333336,17.1875,0.3301999048072349,3.0764120260193564,2.2807721474279066,0.3301999048072349,3.1770833333333335
de,es,CN,12,9,-2.734375,0.26041666666666713,6,4,2,-21.354166666666668,3.125,-3.2670454545454546,-1.0416666666666665,-3.4818672839506166,-3.8773148148148144,-1.0416666666666663
de,fr,all,24,16,-0.0663539848749271,1.0416666666666674,16,8,0,-17.1875,20.3125,-0.9523911146520979,0.6780436679565978,-0.6194269469895286,-0.9523911146520979,0.6780436679565979
de,fr,US,12,7,-1.0441663030831878,0.78125,8,4,0,-9.375,6.770833333333333,-1.7546208154846896,-0.2868177851816595,-2.0978766724840026,-2.0863328970331585,0.0
de,fr,CN,12,9,0.9114583333333335,2.0833333333333335,8,4,0,-17.1875,20.3125,-0.8522727272727271,2.5568181818181817,0.5304783950617286,-0.8522727272727267,2.5568181818181825
de,hi,all,24,16,3.287589986910995,5.208333333333334,14,10,0,-18.75,38.21989528795812,1.7687941042567723,4.245746073298429,2.0750674901832458,1.9912392908138985,4.24574607329843
de,hi,US,12,7,5.620318862710879,6.770833333333334,7,5,0,-18.75,38.21989528795812,2.6567210058702213,7.8358023956845955,3.205312993434721,3.2348931064572426,7.8358023956845955
de,hi,CN,12,9,0.9548611111111113,2.6041666666666683,7,5,0,-12.500000000000004,12.499999999999998,-0.09469696969696932,2.1780303030303036,1.1959876543209873,-0.09469696969696932,2.1780303030303036
de,pt,all,24,16,-0.6700161794648049,0.2604166666666664,12,10,2,-18.75,16.666666666666668,-1.4237849988618256,0.11607007360194273,-1.9456544957097148,-1.4237849988618256,0.11607007360194273
de,pt,US,12,7,0.8301065299592789,1.5624999999999996,6,4,2,-18.75,16.666666666666668,-0.6095807551959382,2.6101162145010317,-0.1317340854317293,-0.6095807551959382,2.6101162145010317
de,pt,CN,12,9,-2.170138888888889,-0.2604166666666664,6,6,0,-15.104166666666668,10.937499999999998,-3.361742424242424,-0.9943181818181815,-3.3564814814814814,-3.935185185185185,-0.9943181818181818
de,sw,all,24,16,4.865315045084352,-0.26041666666666574,11,12,1,-20.312500000000004,85.34031413612566,1.3664020411260343,5.960002655740194,4.006121836823734,1.6889278914802468,6.081193384858307
de,sw,US,12,7,12.291393979057593,5.46875,8,3,1,-5.729166666666669,85.34031413612566,5.650583055687769,13.929626765032525,11.79821896035901,6.7885580279232105,14.697589441535778
