mode,contrast,bloc,n_models,n_labs,mean_pp,median_pp,positive,negative,zero,minimum_model_pp,maximum_model_pp,leave_one_min_pp,leave_one_max_pp,equal_lab_mean_pp,leave_lab_min_pp,leave_lab_max_pp
control,allies,all,24,16,0.868510034904014,0.5208333333333315,13,7,4,-1.0416666666666683,4.166666666666669,0.7251119204795508,0.9515611958418697,0.9877540539557882,0.7477568480157825,0.9948139774710456
control,allies,US,12,7,1.2595895142524727,0.78125,6,3,3,-1.0416666666666672,4.166666666666669,0.9953097731239094,1.4687946216087582,1.550878313803707,1.0426582579723942,1.6156740837696337
control,allies,CN,12,9,0.4774305555555552,0.5208333333333315,7,4,1,-1.0416666666666683,3.6458333333333313,0.1893939393939392,0.6155303030303028,0.5497685185185182,0.18939393939393925,0.6249999999999996
control,cn_ally,all,24,16,-0.13111729203024983,0.5208333333333328,12,10,2,-11.458333333333323,4.166666666666669,-0.31797746414750716,0.361370361939449,-0.24490755890052296,-0.44746738136790465,0.361370361939449
control,cn_ally,US,12,7,-1.2602712332751593,-0.78125,5,6,1,-11.458333333333323,3.6458333333333344,-1.706280739330477,-0.3331746787244171,-1.7870777237596598,-1.668575479930191,-0.3331746787244171
control,cn_ally,CN,12,9,0.9980366492146597,1.3020833333333341,7,4,1,-2.6041666666666656,4.166666666666669,0.7099793749008407,1.325509677931144,0.9545581248788056,0.6362710878417684,1.353893979057592
control,cn_neutral,all,24,16,0.5650314499709135,0.5208333333333328,15,7,2,-10.416666666666664,8.333333333333337,0.22727919417254722,1.0424965854768953,0.4726017124781853,0.22727919417254722,1.0424965854768948
control,cn_neutral,US,12,7,0.0015906777196043793,0.5208333333333328,7,4,1,-10.416666666666664,4.188481675392669,-0.37903577661431065,0.9487049817547196,-0.804688149256212,-0.6344531704479348,0.9487049817547198
control,cn_neutral,CN,12,9,1.1284722222222225,0.5208333333333343,8,3,1,-1.5625,8.333333333333337,0.47348484848484856,1.373106060606061,1.46604938271605,0.4734848484848484,1.44675925925926
control,cn_rival,all,24,16,-0.3483584205933678,0.2604166666666668,12,10,2,-12.5,4.687500000000003,-0.567308786706123,0.17997382198952927,-0.3803992146596854,-0.567308786706123,0.17997382198952927
control,cn_rival,US,12,7,-1.4345640634089587,-0.5208333333333341,4,6,2,-12.5,2.083333333333333,-1.7543729176582579,-0.4286153419006821,-1.811944236682456,-1.9818935427574167,-0.42861534190068196
control,cn_rival,CN,12,9,0.7378472222222229,1.5625,8,4,0,-3.6458333333333313,4.687500000000003,0.3787878787878793,1.136363636363637,0.7330246913580253,0.3787878787878793,1.136363636363637
control,neutrals,all,24,16,-0.4557291666666659,-0.5208333333333315,7,14,3,-4.166666666666666,3.125,-0.6114130434782601,-0.29438405797101375,-0.42317708333333237,-0.6392045454545445,-0.19841269841269762
control,neutrals,US,12,7,0.17361111111111213,0.0,4,5,3,-1.5625,3.125,-0.0946969696969686,0.33143939393939503,0.13640873015873162,-0.10416666666666545,0.41666666666666796
control,neutrals,CN,12,9,-1.085069444444444,-0.7812499999999999,3,9,0,-4.166666666666666,2.0833333333333344,-1.3731060606060603,-0.8049242424242421,-0.85841049382716,-1.3731060606060603,-0.6944444444444441
control,us_ally,all,24,16,-0.17281577225130906,0.26041666666666574,12,11,1,-3.645833333333337,3.1413612565445033,-0.31691042567721395,-0.0218150087260035,-0.13506558136998292,-0.40233817229890545,0.0007791074544999864
control,us_ally,US,12,7,-0.5626454333915072,0.26041666666666574,6,5,1,-3.645833333333337,3.1413612565445033,-0.899373314294781,-0.2823556243058863,-0.6063403764647228,-1.1455606457242589,-0.28235562430588634
control,us_ally,CN,12,9,0.2170138888888891,0.2604166666666671,6,6,0,-2.0833333333333344,3.1250000000000013,-0.047348484848484744,0.426136363636364,0.23148148148148154,-0.0473484848484847,0.426136363636364
control,us_cn,all,24,16,0.3888070826061667,0.5208333333333328,13,9,2,-6.282722513089004,10.9375,-0.06983173988921736,0.6788735867668263,0.5684116401250731,-0.06983173988921738,0.6860572346501669
control,us_cn,US,12,7,0.12657249854566657,0.26041666666666574,6,5,1,-6.282722513089004,10.9375,-0.8562390924956365,0.7092356814215457,0.7907940663176267,-0.8562390924956366,0.7280759162303672
control,us_cn,CN,12,9,0.6510416666666669,0.5208333333333343,7,4,1,-2.6041666666666656,3.6458333333333313,0.3787878787878791,0.9469696969696971,0.3954475308641979,0.4166666666666667,0.9469696969696971
control,us_neutral,all,24,16,-1.0200788976148918,-1.3048102094240843,5,18,1,-5.7291666666666625,6.7708333333333375,-1.3588142120039453,-0.8153359511343801,-0.8409288194444439,-1.372982111692844,-0.8153359511343802
control,us_neutral,US,12,7,-0.9119128126817908,-1.3048102094240843,2,10,0,-5.7291666666666625,6.7708333333333375,-1.610344280501348,-0.47398064413771157,-1.0048538394415343,-1.6666666666666656,-0.47398064413771157
control,us_neutral,CN,12,9,-1.128244982547993,-1.3020833333333348,3,8,1,-5.208333333333331,3.125,-1.5149036173250834,-0.7573278597493259,-0.7134315816689291,-1.5149036173250834,-0.7520118285825094
control,us_rival,all,24,16,0.8029513888888897,1.0416666666666683,16,8,0,-3.6458333333333344,5.729166666666669,0.5887681159420298,0.9963768115942039,0.7972703970331598,0.6448412698412709,0.9963768115942038
control,us_rival,US,12,7,0.9555428301337994,1.0416666666666685,9,3,0,-2.604166666666667,3.645833333333337,0.7109709662065686,1.2791527843883872,1.20346131471786,0.6374830327709919,1.3549847294938926
control,us_rival,CN,12,9,0.6503599476439801,1.0416666666666683,7,5,0,-3.6458333333333344,5.729166666666669,0.18865024591464474,1.0409229731873724,0.48134412772283736,0.28844289315493615,1.0409229731873724
de,allies,all,24,16,-2.4538559941520472,-1.3020833333333341,3,18,3,-8.854166666666668,3.1250000000000027,-2.6964149504195274,-2.1755816170861944,-2.594515259502925,-2.866327751196173,-2.1755816170861944
de,allies,US,12,7,-2.173336988304093,-2.083333333333333,2,8,2,-8.854166666666668,3.1250000000000027,-2.6550039872408293,-1.5659888357256775,-2.2968880534670006,-3.0246710526315788,-1.5659888357256775
de,allies,CN,12,9,-2.7343750000000013,-1.3020833333333341,1,10,1,-8.854166666666668,1.041666666666663,-3.077651515151516,-2.178030303030304,-2.826003086419754,-3.240740740740742,-2.291666666666668
