factor,mode,comparison,bloc,n_models,n_labs,mean_pp,median_pp,positive,negative,zero,minimum_model_pp,maximum_model_pp,leave_one_min_pp,leave_one_max_pp,equal_lab_mean_pp,leave_lab_min_pp,leave_lab_max_pp
scale,control,group - individual,all,24,16,0.7719494047619048,0.78125,12,9,3,-9.375,9.375,0.39790372670807456,1.2131211180124224,0.44875372023809523,0.3979037267080745,1.2131211180124224
scale,control,group - individual,US,12,7,2.3251488095238098,2.34375,7,3,2,-4.6875,9.375,1.684253246753247,2.9626623376623376,2.4394132653061225,1.684253246753247,3.2589285714285716
scale,control,group - individual,CN,12,9,-0.78125,-0.78125,5,6,1,-9.375,9.375,-1.7045454545454546,0.0,-1.0995370370370372,-1.7045454545454546,0.0
scale,control,society - individual,all,24,16,-1.1160714285714286,-0.78125,9,12,3,-10.9375,6.25,-1.436335403726708,-0.6890527950310559,-1.9112723214285716,-2.0195578231292517,-0.689052795031056
scale,control,society - individual,US,12,7,0.1116071428571428,1.4508928571428568,6,4,2,-10.9375,6.25,-0.4464285714285715,1.1160714285714286,-1.3924319727891157,-1.5873015873015874,1.1160714285714286
scale,control,society - individual,CN,12,9,-2.34375,-3.125,3,8,1,-7.8125,3.125,-2.840909090909091,-1.8465909090909092,-2.314814814814815,-2.840909090909091,-1.8465909090909092
scale,de,group - individual,all,24,16,-2.143270502645503,-2.34375,6,16,2,-12.5,4.6875,-2.440260524499655,-1.6929779158040028,-2.046906001984127,-2.440260524499655,-1.8409541847041846
scale,de,group - individual,US,12,7,-1.8125826719576719,-1.5625,3,8,1,-7.8125,3.2490079365079367,-2.272727272727273,-1.2671356421356421,-1.5164399092970522,-2.2614538239538238,-1.2375992063492063
scale,de,group - individual,CN,12,9,-2.4739583333333335,-3.125,3,8,1,-12.5,4.6875,-3.125,-1.5625,-2.459490740740741,-3.125,-1.875
scale,de,society - individual,all,24,16,10.221354166666666,9.375,21,2,1,-1.5625,35.9375,9.103260869565217,10.733695652173912,11.751302083333334,9.103260869565217,11.292613636363637
