block,contrast,sample,bloc,comparison,metric,estimate,lo,hi
language,es,full,all,pg shift minus he shift,pp,0.5871873182082608,-1.2324471660923138,2.34375
language,es,full,all,pg shift minus he shift,logit,-0.1364289465543618,-0.49769413421000147,0.1653787367919844
language,es,full,all,pg shift minus de shift,pp,1.2604984729493895,-0.9549283542162984,3.493949175574461
language,es,full,all,pg shift minus de shift,logit,-0.02348843174616612,-0.233296648486027,0.18083830099367043
language,es,full,all,pg shift minus control shift,pp,2.5605366492146593,0.41070522887488864,4.753952799487228
language,es,full,all,pg shift minus control shift,logit,0.1166905874390552,-0.035228946765743945,0.26649211076165225
language,es,full,US,pg shift minus he shift,pp,3.604930191972077,1.472589906448302,5.731933039176986
language,es,full,US,pg shift minus he shift,logit,-0.12980562052840552,-0.6940876791866885,0.27654769018171665
language,es,full,US,pg shift minus de shift,pp,2.694608057009889,0.13111729203025035,5.254054733187132
language,es,full,US,pg shift minus de shift,logit,-0.053502418911129807,-0.3628472369032207,0.23767012735381993
language,es,full,US,pg shift minus control shift,pp,4.12280940954043,1.6428176246058597,6.683141543048283
language,es,full,US,pg shift minus control shift,logit,0.18084141655668862,-0.018391324946273564,0.3702805001873056
language,es,full,CN,pg shift minus he shift,pp,-2.430555555555555,-4.861111111111112,2.7755575615225017e-18
language,es,full,CN,pg shift minus he shift,logit,-0.14305227258031805,-0.46987374759597395,0.25161808476669417
language,es,full,CN,pg shift minus de shift,pp,-0.17361111111111072,-3.4722222222222214,3.0815972222222223
language,es,full,CN,pg shift minus de shift,logit,0.006525555418797568,-0.22342658584530914,0.24359603534082053
language,es,full,CN,pg shift minus control shift,pp,0.9982638888888888,-2.170138888888889,4.080946180555541
language,es,full,CN,pg shift minus control shift,logit,0.0525397583214218,-0.15019164263087287,0.25151949671630075
language,es,drop_truncated,all,pg shift minus he shift,pp,0.6652593344688917,-1.1405103520968765,2.420424263728075
language,es,drop_truncated,all,pg shift minus he shift,logit,-0.1263144824319235,-0.4826122496512877,0.1754245939366158
language,es,drop_truncated,all,pg shift minus de shift,pp,1.3341202295352954,-0.8851178828480183,3.5653776447666994
language,es,drop_truncated,all,pg shift minus de shift,logit,-0.008626665138211542,-0.2224411988627941,0.20784895534448733
language,es,drop_truncated,all,pg shift minus control shift,pp,2.6200244018091055,0.43827259159182574,4.814780027927583
language,es,drop_truncated,all,pg shift minus control shift,logit,0.1212079554690276,-0.0324905187616552,0.2723956176344111
language,es,drop_truncated,US,pg shift minus he shift,pp,3.7396394912399225,1.5697465684684626,5.872156344474919
language,es,drop_truncated,US,pg shift minus he shift,logit,-0.1098808167768312,-0.6512602637471715,0.27329149803020664
language,es,drop_truncated,US,pg shift minus de shift,pp,2.8359433386517425,0.24863448283334216,5.436180358326322
language,es,drop_truncated,US,pg shift minus de shift,logit,-0.023742747262877506,-0.33469571045595725,0.2892173067370836
language,es,drop_truncated,US,pg shift minus control shift,pp,4.173454381322896,1.6537674266760676,6.726372555274695
language,es,drop_truncated,US,pg shift minus control shift,logit,0.1883494078062252,-0.009281584205646608,0.37952855438215444
language,es,drop_truncated,CN,pg shift minus he shift,pp,-2.409120822302139,-4.850175900877567,0.02763514689673482
language,es,drop_truncated,CN,pg shift minus he shift,logit,-0.1427481480870158,-0.4696297419155018,0.25176495161895696
language,es,drop_truncated,CN,pg shift minus de shift,pp,-0.16770287958115215,-3.462731321825204,3.0905777134268146
language,es,drop_truncated,CN,pg shift minus de shift,logit,0.0064894169864543605,-0.22339597009361897,0.24387229689611625
language,es,drop_truncated,CN,pg shift minus control shift,pp,1.0665944222953145,-2.1034746642732487,4.167428466738923
language,es,drop_truncated,CN,pg shift minus control shift,logit,0.05406650313182998,-0.14972497582052732,0.25505245313703745
language,pt,full,all,pg shift minus he shift,pp,-0.214741492146597,-1.8420161612856312,1.435041745124154
language,pt,full,all,pg shift minus he shift,logit,-0.04337907522514617,-0.4520528547616929,0.34936950744975354
language,pt,full,all,pg shift minus de shift,pp,0.10805246509598598,-1.9133755484848136,2.1490207034099518
language,pt,full,all,pg shift minus de shift,logit,-0.08197496741408093,-0.2735202370960118,0.10588637574832586
