block,contrast,mode,sample,target,model,origin,lab,n_pairs,n_more,n_less,n_both,negative_rate,positive_rate,pp,pp_lo,pp_hi,boundary,logit_raw,matched_log_or_a05,n_discordant,logit_a025,logit_a025_lo,logit_a025_hi,logit_a05,logit_a05_lo,logit_a05_hi,logit_a1,logit_a1_lo,logit_a1_hi,rank_abs_pp,rank_abs_logit,label
language,es,he,full,amazon/nova-2-lite-v1,nova-2-lite,US,Amazon,192,10,4,6,5.208333333333333,8.333333333333334,3.125,-0.5208333333333334,6.770833333333333,False,0.503526321284379,0.8472978603872037,14,0.4942911323877186,-0.09859250021999522,1.1972838161751391,0.4854144203922517,-0.09646629752336722,1.1708659283650662,0.46865449152543714,-0.09249084275425501,1.1218754421387351,3.0,10.0,es
language,es,he,full,anthropic/claude-haiku-4.5,haiku-4.5,US,Anthropic,192,8,10,10,10.416666666666666,9.375,-1.0416666666666667,-5.208333333333333,3.125,False,-0.11692133805890226,-0.2113090936672069,18,-0.1155338532709127,-0.6387170487431351,0.3956986321677234,-0.11418165923115087,-0.6289362680086494,0.3909779436726206,-0.11157783798271792,-0.6103308805144394,0.38353974747919883,11.0,19.0,es
language,es,he,full,anthropic/claude-sonnet-5,sonnet-5,US,Anthropic,192,6,2,1,1.5625,3.6458333333333335,2.0833333333333335,-0.5208333333333334,5.208333333333333,False,0.8686890503685212,0.9555114450274363,8,0.8237091006662993,-0.3335117504841838,3.2505825759942857,0.7834741945218875,-0.32087889166681505,2.596614272105506,0.7144245790072303,-0.2929314283379245,1.9774917211056122,5.0,6.0,es
language,es,he,full,bytedance-seed/seed-2-1-turbo,seed-2-1-turbo,CN,ByteDance,192,2,0,1,0.5208333333333334,1.5625,1.0416666666666667,0.0,2.6041666666666665,False,1.1091387016550973,1.6094379124341003,2,0.9660240254165231,0.0,2.854239085761967,0.8577966444854237,0.0,2.2182227241759933,0.7036184804272407,0.0,1.6303810862793435,11.0,5.0,es
language,es,he,full,deepseek/deepseek-v4-pro-0813,deepseek-v4-pro,CN,DeepSeek,192,4,3,4,3.6458333333333335,4.166666666666667,0.5208333333333334,-2.0833333333333335,3.125,False,0.13895146009386172,0.25131442828090617,7,0.13462446458675625,-0.6699055024645535,0.9660240254165231,0.13056856152091445,-0.6349969938448341,0.9140427560428019,0.12317388429125975,-0.575531243241322,0.8375984632984901,15.0,18.0,es
language,es,he,full,google/gemini-3.1-flash-lite,gemini-3.1-flash-lite,US,Google,192,0,0,0,0.0,0.0,0.0,0.0,0.0,True,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,es
language,es,he,full,google/gemma-4-31b-it,gemma-4-31b,US,Google,192,1,1,1,1.0416666666666667,1.0416666666666667,0.0,-1.5625,1.5625,False,0.0,0.0,2,0.0,-2.2076821889801783,2.2076821889801783,0.0,-1.619881871595184,1.619881871595184,0.0,-1.1090290495263657,1.1090290495263657,20.0,20.0,es
language,es,he,full,inclusionai/ling-3.0-flash,ling-3.0-flash,CN,InclusionAI,192,0,13,2,7.8125,1.0416666666666667,-6.770833333333333,-10.416666666666666,-3.6458333333333335,False,-2.0857773601289216,-3.295836866004329,13,-1.98442711816665,-4.261280436589013,-1.102033044569355,-1.895230877702331,-3.583282838820968,-1.0650184766471114,-1.744466311326216,-2.9197538003872725,-0.9987614288212532,1.0,1.0,es
language,es,he,full,minimax/minimax-m3,minimax-m3,CN,MiniMax,192,9,5,7,6.25,8.333333333333334,2.0833333333333335,-1.5625,5.742187499999811,False,0.3101549283038394,0.5465437063680699,14,0.3050083062576907,-0.23626822270773373,0.9417711091943518,0.3000416379978632,-0.23225548457797726,0.9212093979501259,0.2906112852866758,-0.2245928862936459,0.8907829723269427,5.0,13.0,es
language,es,he,full,moonshotai/kimi-k2.6,kimi-k2.6,CN,Moonshot,192,2,5,3,4.166666666666667,2.6041666666666665,-1.5625,-4.166666666666667,1.0416666666666667,False,-0.48617648849133666,-0.7884573603642702,7,-0.46813621507094005,-1.6359295278810766,0.3814438621949283,-0.4514474531877295,-1.4927936383302578,0.37343734640418,-0.421551245859789,-1.3420702593354696,0.3471106348262687,8.0,12.0,es
language,es,he,full,moonshotai/kimi-k3,kimi-k3,CN,Moonshot,192,3,2,2,2.0833333333333335,2.6041666666666665,0.5208333333333334,-1.5625,3.125,False,0.2284768972895721,0.3364722366212129,5,0.21663533794988066,-0.9660240254165231,1.6359295278810766,0.20598985693975091,-0.8577966444854237,1.4927936383302578,0.1876266090236478,-0.7089786457766256,1.130807386189295,15.0,15.0,es
language,es,he,full,nvidia/nemotron-3-ultra-550b-a55b,nemotron-3-ultra,US,NVIDIA,192,2,2,1,1.5625,1.5625,0.0,-2.0833333333333335,2.0833333333333335,False,0.0,0.0,4,0.0,-2.2076821889801783,2.2076821889801783,0.0,-1.619881871595184,1.619881871595184,0.0,-1.1196656978659418,1.1196656978659418,20.0,20.0,es
language,es,he,full,nvidia/nemotron-3.5-lightning,nemotron-3.5-lightning,US,NVIDIA,192,4,1,0,0.5208333333333334,2.0833333333333335,1.5625,-0.5208333333333334,4.166666666666667,False,1.4021258263365715,1.0986122886681098,5,1.239586037648758,-0.5930291408669692,3.4043861741960315,1.1144020904007452,-0.5160612378199358,2.7450914727825593,0.932039088842294,-0.4106870520893162,2.1163850568715206,8.0,3.0,es
language,es,he,full,openai/gpt-5.6-luna,gpt-5.6-luna,US,OpenAI,192,2,2,1,1.5625,1.5625,0.0,-2.0833333333333335,2.0833333333333335,False,0.0,0.0,4,0.0,-2.2076821889801783,2.2076821889801783,0.0,-1.619881871595184,1.619881871595184,0.0,-1.1196656978659418,1.1196656978659418,20.0,20.0,es
language,es,he,full,openai/gpt-5.6-sol,gpt-5.6-sol,US,OpenAI,192,2,1,2,1.5625,2.0833333333333335,0.5208333333333334,-1.0416666666666667,2.6041666666666665,False,0.29298712468147414,0.5108256237659907,3,0.27356201223223486,-0.8631922347316694,2.2076821889801783,0.25660544591532153,-0.8043307095205603,1.619881871595184,0.2284206084150533,-0.6983419974370495,1.1199373027101998,15.0,14.0,es
language,es,he,full,openai/gpt-5.6-terra,gpt-5.6-terra,US,OpenAI,192,1,0,1,0.5208333333333334,1.0416666666666667,0.5208333333333334,0.0,1.5625,False,0.6983965364460891,1.0986122886681098,1,0.5930291408669692,0.0,2.2076821889801783,0.5160612378199358,0.0,1.619881871595184,0.4106870520893162,0.0,1.2791497236685627,15.0,9.0,es
language,es,he,full,qwen/qwen3.7-plus,qwen3.7-plus,CN,Alibaba,192,2,1,3,2.0833333333333335,2.6041666666666665,0.5208333333333334,-1.0416666666666667,2.0833333333333335,False,0.2284768972895721,0.5108256237659907,3,0.21663533794988066,-0.6465568967817887,1.4511809912830391,0.20598985693975091,-0.5983408525808094,1.1144020904007452,0.1876266090236478,-0.5213520367529778,0.9483790464256554,15.0,15.0,es
language,es,he,full,qwen/qwen3.8-27b,qwen3.8-27b,CN,Alibaba,192,2,5,2,3.6458333333333335,2.0833333333333335,-1.5625,-4.166666666666667,1.0416666666666667,False,-0.575701925687047,-0.7884573603642702,7,-0.5501470884340645,-2.0442101321500084,0.39634349023231863,-0.526868748606566,-1.8229215108994357,0.3783915479295126,-0.48600397059217704,-1.5412169437257308,0.3471106348262687,8.0,8.0,es
language,es,he,full,qwen/qwen3.8-flash,qwen3.8-flash,CN,Alibaba,192,6,1,1,1.0416666666666667,3.6458333333333335,2.6041666666666665,0.0,5.729166666666667,False,1.2794312155775294,1.466337068793427,7,1.1967039852158532,0.0,3.5390106387827878,1.1252096011873753,0.0,2.8756600343034737,1.0073560073451548,0.0,2.2395589411627803,4.0,2.0,es
language,es,he,full,tencent/hy3,hy3,CN,Tencent,192,1,5,4,4.6875,2.6041666666666665,-2.0833333333333335,-4.6875,0.5208333333333334,False,-0.6094091289152845,-1.2992829841302609,6,-0.5879887565513697,-1.657899615441111,0.09112622086072743,-0.5681078842839105,-1.5744528443568995,0.08932252157496622,-0.5323318289869543,-1.3819082655911064,0.0859325490116854,5.0,7.0,es
language,es,he,full,thinkingmachines/inkling,inkling,US,Thinking Machines,192,10,2,3,2.6041666666666665,6.770833333333333,4.166666666666667,1.0416666666666667,7.8125,False,0.9992342560412681,1.4350845252893227,12,0.969432618746298,0.1892828261300279,2.152336256088085,0.9415452306880905,0.18537278239438848,2.027923300716149,0.8907829723269427,0.17804320623876135,1.8452481541790409,2.0,4.0,es
