bloc,mode,n_models,spearman,lo,hi
all,he,24,-0.14797146042353657,-0.276107924748232,0.0044101141201140625
all,de,24,-0.2240592167351381,-0.3031143277623692,-0.11838962395236045
all,pg,24,-0.08532876237078448,-0.21941681752487438,0.04915234485550663
all,control,24,-0.3296324315975898,-0.4399540343479992,-0.20239072238887396
US,he,12,0.02496023538122342,-0.19002701565883626,0.20457629128753657
US,de,12,-0.07005264683383462,-0.23117373455165424,0.09090909090909091
US,pg,12,0.18181818181818182,0.027972027972027972,0.3502632341691731
US,control,12,-0.16783216783216784,-0.3017562435036767,-0.024560476495989015
CN,he,12,-0.4561431587846275,-0.6959721115609735,-0.09841530996766608
CN,de,12,-0.5569185423289853,-0.6643356643356644,-0.34965034965034963
CN,pg,12,-0.7635738504887973,-0.8350928599287797,-0.4408566219014697
CN,control,12,-0.5964948999491283,-0.7622377622377622,-0.36773714257834356
