factor,bloc,mode,level,dev,lo,hi,p
context,all,he,Fiction,1.0850694444444446,-1.8268998618304226,4.905164677063431,0.5368
context,all,he,Work,0.39062500000000067,-1.9447496316403805,2.8955066031610626,0.7752
context,all,he,Government,5.425347222222221,-0.17724505415737307,13.243253016200073,0.064
context,all,he,Interpersonal,-1.3454861111111105,-3.137702057265871,0.5099755561282606,0.1436
context,all,he,Diplomacy,-1.1718749999999996,-2.9657582404996043,0.6993625327454858,0.2172
context,all,he,Academia,0.2170138888888895,-2.0855133419360095,3.015046901773564,0.8972
context,all,he,Markets,-2.5607638888888884,-3.9631508619450204,-1.3563004081707732,0.0
context,all,he,Media,-2.0399305555555554,-3.590734942957599,-0.6257159657649879,0.006
context,all,de,Fiction,-3.77604166666667,-8.374853539111353,1.3474379254563473,0.1352
context,all,de,Work,4.557291666666669,-3.828875397648374,14.420438476328282,0.3164
context,all,de,Government,1.953125,-3.977495014750873,8.513344365409685,0.5744
context,all,de,Interpersonal,-1.866319444444442,-9.470508355731042,6.874501058830196,0.6292
context,all,de,Diplomacy,-6.901041666666664,-11.289342259791455,-2.1336254803191457,0.0064
context,all,de,Academia,-3.0815972222222223,-9.506462667282777,4.910907778036585,0.3752
context,all,de,Markets,7.335069444444445,-0.9255102286555634,16.735012214966595,0.088
context,all,de,Media,1.7795138888888895,-5.498875073781359,10.100448918453338,0.6924
context,all,pg,Fiction,-9.223090277777777,-14.840605895380213,-3.236829065416306,0.004
context,all,pg,Work,1.5407986111111105,-8.780279721109538,12.427380571593822,0.7968
context,all,pg,Government,11.610243055555557,-1.8828134689801899,25.569099704644998,0.0912
context,all,pg,Interpersonal,-2.2786458333333344,-12.910786868338963,9.15200386709247,0.6372
context,all,pg,Diplomacy,5.360243055555558,-3.199832224749102,14.292820771008047,0.2228
context,all,pg,Academia,2.7560763888888893,-6.418215347170143,12.802784058137473,0.586
context,all,pg,Markets,-7.660590277777776,-15.9375845005332,1.5607176795065456,0.0976
context,all,pg,Media,-2.105034722222221,-12.472733465533734,9.398448754098522,0.6752
context,all,control,Fiction,-9.857148248792267,-15.91099497463285,-3.7050282152113976,0.0052
context,all,control,Work,8.719240640096618,-1.7685312993311446,19.581516690706874,0.1056
context,all,control,Government,10.108129528985502,-2.3913082188600856,23.066791496147907,0.1088
context,all,control,Interpersonal,-3.259926026570048,-11.60472294774109,5.66890239602849,0.4496
context,all,control,Diplomacy,7.194482185990339,-3.895765157754342,19.88328588051801,0.2052
context,all,control,Academia,-3.95437047101449,-13.049520490965211,7.033184416270867,0.4396
context,all,control,Markets,-2.044648248792269,-11.376824754728965,8.102870093010974,0.648
context,all,control,Media,-6.90575935990338,-13.918606278665116,0.5765802000515126,0.0656
context,US,he,Fiction,1.128472222222222,-1.548628957036712,4.340634492570632,0.4596
context,US,he,Work,0.7812500000000003,-1.5049557934919526,3.296744765076832,0.5312
context,US,he,Government,3.9062499999999987,-0.8878159429357952,11.591385466115184,0.2088
context,US,he,Interpersonal,-0.6076388888888888,-2.663305319485886,1.8293366109069575,0.5664
context,US,he,Diplomacy,-1.3020833333333333,-2.9977212815867706,0.6042989589536999,0.1556
context,US,he,Academia,0.43402777777777796,-1.8465145545451218,2.8791419413200416,0.7252
context,US,he,Markets,-2.34375,-3.755260734687485,-1.0997087871594802,0.0004
context,US,he,Media,-1.9965277777777777,-3.6177072572829307,-0.2821449683671604,0.0252
context,US,de,Fiction,-2.256944444444442,-6.280769101451666,2.2281925372244786,0.2852
context,US,de,Work,4.340277777777778,-2.967374551516547,13.260533653798106,0.2716
context,US,de,Government,-1.5625,-6.077341863653337,3.166111947070295,0.4976
context,US,de,Interpersonal,-0.1736111111111091,-7.021397647192365,7.785352912454643,0.924
context,US,de,Diplomacy,-6.423611111111112,-10.316387309561957,-2.222184034497046,0.0056
context,US,de,Academia,-2.2569444444444446,-8.307838614895601,4.980912623092597,0.4764
context,US,de,Markets,7.118055555555554,0.46541471330391176,14.682699030993799,0.034
context,US,de,Media,1.2152777777777777,-6.093170719582416,9.990005194610323,0.8196
context,US,pg,Fiction,-7.769097222222218,-12.68206451280075,-2.5662355589214476,0.0056
context,US,pg,Work,-0.47743055555555525,-9.106890224255267,8.566353885151317,0.9264
context,US,pg,Government,10.286458333333337,-2.038900526029193,23.224254117432096,0.1
context,US,pg,Interpersonal,-2.2135416666666656,-11.16863541059601,8.031068072960135,0.6012
context,US,pg,Diplomacy,2.9947916666666687,-4.317127073678777,10.576531471501902,0.4128
context,US,pg,Academia,4.730902777777779,-3.9235825999139973,13.680119422233952,0.2836
context,US,pg,Markets,-6.032986111111111,-13.331808519352101,2.2944862564330655,0.1424
context,US,pg,Media,-1.5190972222222183,-10.680552260171204,8.625686106239776,0.7204
context,US,control,Fiction,-7.952143719806763,-14.721453183784607,-0.7558093377927275,0.034
context,US,control,Work,7.672856280193238,-2.987625383855314,18.729685695151787,0.1632
context,US,control,Government,9.061745169082128,-2.9352700205297952,21.511726149018937,0.1368
context,US,control,Interpersonal,-3.091032608695654,-11.160057422419309,5.474368729920909,0.4628
context,US,control,Diplomacy,6.706672705314013,-4.34231154911745,19.40179371465169,0.2376
context,US,control,Academia,-3.785477053140096,-12.754509383050816,6.560262965688116,0.4328
context,US,control,Markets,-1.7021437198067617,-10.878081594422689,8.322856796963379,0.7024
context,US,control,Media,-6.910477053140096,-13.808735410577405,0.5498427369441661,0.07
context,CN,he,Fiction,1.0416666666666665,-2.474519735270962,5.861394865212184,0.6656
context,CN,he,Work,-6.938893903907228e-16,-2.6642179501272802,2.9773725930818427,0.9664
context,CN,he,Government,6.944444444444445,0.3106320837384936,15.260437928562547,0.0352
context,CN,he,Interpersonal,-2.0833333333333335,-4.218117485982834,0.4789429369534077,0.106
context,CN,he,Diplomacy,-1.0416666666666672,-3.4149603041188294,1.6438771721161811,0.4212
context,CN,he,Academia,-6.938893903907228e-16,-2.899370292346422,3.807567261116303,0.9352
context,CN,he,Markets,-2.777777777777778,-4.473757227533269,-1.194420121596677,0.0
context,CN,he,Media,-2.0833333333333335,-4.031656269235228,-0.06475688342156781,0.0428
context,CN,de,Fiction,-5.295138888888887,-11.184855131425923,1.1155617131030704,0.1048
context,CN,de,Work,4.774305555555555,-5.2222157689664,16.040325877320576,0.3788
context,CN,de,Government,5.46875,-3.027430166158653,14.795304921455518,0.2388
context,CN,de,Interpersonal,-3.559027777777779,-12.226332868383347,6.502334261645839,0.4432
context,CN,de,Diplomacy,-7.378472222222224,-13.165546636349909,-0.8337572616657234,0.028
context,CN,de,Academia,-3.90625,-11.157369848378845,5.092168602139817,0.3436
context,CN,de,Markets,7.552083333333334,-3.255042887815525,19.43770127134023,0.1704
context,CN,de,Media,2.34375,-5.632284173978925,11.14394372924359,0.612
context,CN,pg,Fiction,-10.677083333333329,-17.851197327385393,-2.473516784336166,0.0092
context,CN,pg,Work,3.559027777777785,-8.664950574667095,16.631804917729447,0.6056
context,CN,pg,Government,12.934027777777784,-2.0461241664372216,28.044841612268772,0.0888
context,CN,pg,Interpersonal,-2.3437499999999973,-15.19816686324264,11.480905730346132,0.6948
context,CN,pg,Diplomacy,7.725694444444447,-2.782028791901542,18.633205589848245,0.154
context,CN,pg,Academia,0.7812500000000056,-9.846169402394196,12.39611277213563,0.9088
context,CN,pg,Markets,-9.28819444444444,-19.14069242286628,2.06473397202265,0.0908
context,CN,pg,Media,-2.6909722222222183,-14.657896424145452,10.76523339973238,0.6484
context,CN,control,Fiction,-11.762152777777777,-17.800336838652477,-5.680623414956752,0.0004
context,CN,control,Work,9.765625,-0.9686624807889845,21.185356366901033,0.0776
context,CN,control,Government,11.15451388888889,-1.9124540329834592,24.957336465115638,0.0972
context,CN,control,Interpersonal,-3.4288194444444446,-12.977608141280012,7.088616746896436,0.4828
context,CN,control,Diplomacy,7.6822916666666625,-3.785839132484272,20.509980680223897,0.192
context,CN,control,Academia,-4.123263888888887,-13.827661170510137,7.653399988610178,0.4512
context,CN,control,Markets,-2.3871527777777763,-12.052206845830876,8.69323590622844,0.5992
