bloc,mode,harm,lo,hi
all,he,0.6395786605848077,0.3524650130213324,0.9762069041155431
all,de,2.8423717815525538,1.8787479936870715,3.940230361948533
all,pg,6.486960309590252,5.01927258911607,8.150617157307325
all,control,5.800752001664511,3.9579306843691104,7.911204950917212
US,he,0.7900883286031621,0.4373044860946367,1.1938981016618238
US,de,2.9842938510809454,1.9473590743259765,4.107498636952879
US,pg,7.045652584117912,5.439102691156882,8.829192272346603
US,control,5.453150571704957,3.6802780644825512,7.48262114585653
CN,he,0.4890689925664535,0.17923470904453856,0.854546155479903
CN,de,2.700449712024162,1.6313312939109506,4.034565449446042
CN,pg,5.928268035062592,4.311858354334356,7.748798745092291
CN,control,6.148353431624065,4.094506981393752,8.423279195889055
