model,origin,contrast,est,lo,hi,p
gemini-3.1-flash-lite,US,pg - he,2.604166666666667,0.5208333333333333,5.208333333333334,0.0156
gemini-3.1-flash-lite,US,pg - de,2.0833333333333335,0.0,4.6875,0.132
gemini-3.1-flash-lite,US,de - he,0.5208333333333333,0.0,1.5625,0.722
gemma-4-31b,US,pg - he,5.208333333333334,1.5625,8.854166666666668,0.0056
gemma-4-31b,US,pg - de,4.166666666666667,0.0,8.333333333333332,0.0536
gemma-4-31b,US,de - he,1.0416666666666665,-1.5625,3.6458333333333335,0.5304
gpt-5.6-luna,US,pg - he,16.666666666666664,10.9375,22.395833333333336,0.0
gpt-5.6-luna,US,pg - de,15.104166666666666,9.361979166666723,21.354166666666664,0.0
gpt-5.6-luna,US,de - he,1.5625,-1.5625,4.6875,0.3824
gpt-5.6-sol,US,pg - he,19.791666666666664,14.0625,25.520833333333336,0.0
gpt-5.6-sol,US,pg - de,14.583333333333332,7.812499999999998,21.354166666666668,0.0
gpt-5.6-sol,US,de - he,5.208333333333333,1.5625,9.375,0.0112
gpt-5.6-terra,US,pg - he,15.625,10.416666666666668,20.833333333333336,0.0
gpt-5.6-terra,US,pg - de,12.5,6.770833333333333,18.229166666666668,0.0
gpt-5.6-terra,US,de - he,3.125,0.5208333333333333,6.249999999999999,0.0352
grok-4.3,US,pg - he,47.39583333333333,39.0625,55.20833333333333,0.0
grok-4.3,US,pg - de,6.770833333333331,-3.1250000000000053,16.666666666666668,0.2248
grok-4.3,US,de - he,40.625,32.8125,48.4375,0.0
haiku-4.5,US,pg - he,26.041666666666664,17.708333333333336,33.85416666666667,0.0
haiku-4.5,US,pg - de,18.229166666666664,9.375000000000004,27.083333333333332,0.0
haiku-4.5,US,de - he,7.812499999999998,1.0416666666666656,14.583333333333334,0.032
inkling,US,pg - he,21.875,15.104166666666668,28.645833333333332,0.0
inkling,US,pg - de,10.416666666666666,2.6041666666666656,18.229166666666668,0.0104
inkling,US,de - he,11.458333333333332,6.25,16.666666666666668,0.0
nemotron-3-ultra,US,pg - he,20.833333333333336,14.583333333333334,27.083333333333332,0.0
nemotron-3-ultra,US,pg - de,6.770833333333334,-1.0416666666666685,14.583333333333332,0.1056
nemotron-3-ultra,US,de - he,14.0625,8.854166666666666,19.791666666666664,0.0
nemotron-3.5-lightning,US,pg - he,7.8125,4.166666666666666,11.979166666666668,0.0
nemotron-3.5-lightning,US,pg - de,2.050610820244328,-3.1659031413612566,7.291666666666666,0.5088
nemotron-3.5-lightning,US,de - he,5.761889179755672,2.604166666666667,9.430641189032775,0.0
nova-2-lite,US,pg - he,16.666666666666664,9.895833333333334,23.4375,0.0
nova-2-lite,US,pg - de,6.25,-1.575520833333277,14.583333333333332,0.1472
nova-2-lite,US,de - he,10.416666666666666,4.674479166666721,16.666666666666664,0.0012
sonnet-5,US,pg - he,27.083333333333332,20.3125,33.85416666666667,0.0
sonnet-5,US,pg - de,17.1875,9.375,25.0,0.0
sonnet-5,US,de - he,9.895833333333332,5.208333333333333,14.583333333333334,0.0
deepseek-v4-pro,CN,pg - he,16.145833333333332,9.895833333333334,22.395833333333336,0.0
deepseek-v4-pro,CN,pg - de,7.812499999999998,0.5208333333333343,15.104166666666668,0.0372
deepseek-v4-pro,CN,de - he,8.333333333333334,3.125,13.541666666666668,0.0036
glm-5.2,CN,pg - he,31.770833333333332,24.479166666666668,39.0625,0.0
glm-5.2,CN,pg - de,10.416666666666666,1.5625,19.270833333333336,0.0284
glm-5.2,CN,de - he,21.354166666666664,14.583333333333334,27.604166666666668,0.0
hy3,CN,pg - he,23.958333333333332,16.666666666666668,31.25,0.0
hy3,CN,pg - de,2.604166666666663,-6.26302083333328,11.458333333333334,0.6316
hy3,CN,de - he,21.354166666666668,14.583333333333332,28.125,0.0
kimi-k2.6,CN,pg - he,21.875000000000004,15.104166666666666,28.645833333333336,0.0
kimi-k2.6,CN,pg - de,3.1250000000000027,-5.729166666666666,11.979166666666666,0.5328
kimi-k2.6,CN,de - he,18.75,11.979166666666668,25.520833333333332,0.0
kimi-k3,CN,pg - he,16.145833333333332,10.416666666666666,21.875,0.0
kimi-k3,CN,pg - de,10.416666666666666,4.153645833333389,17.1875,0.0032
kimi-k3,CN,de - he,5.729166666666667,1.5625,9.895833333333334,0.0128
ling-3.0-flash,CN,pg - he,20.3125,13.020833333333332,27.604166666666668,0.0
ling-3.0-flash,CN,pg - de,5.729166666666666,-2.6041666666666687,14.583333333333332,0.2408
ling-3.0-flash,CN,de - he,14.583333333333334,7.291666666666667,21.875,0.0
mimo-v2.5-pro,CN,pg - he,15.104166666666668,8.854166666666668,20.833333333333336,0.0
mimo-v2.5-pro,CN,pg - de,9.895833333333334,3.125,16.666666666666664,0.0032
