factor,bloc,mode,contrast,pp_est,pp_lo,pp_hi,p,logit_est,logit_lo,logit_hi
scale,all,he,group - individual,1.1718749999999996,-1.9363925151578827,4.984010393590312,0.5432,0.4084959564230455,-0.8979906003558763,1.520234201534826
scale,all,he,society - individual,0.8463541666666667,-1.3225850470823568,2.7901689501231504,0.4288,0.3098153656088152,-0.4360740479493166,1.2305808845887636
scale,all,de,group - individual,-2.143270502645503,-7.562614291774568,3.453365137325838,0.45,-0.22355061592863246,-0.801046757873091,0.3569380242055858
scale,all,de,society - individual,10.221354166666668,3.0237823638967263,16.89400261687998,0.0036,0.7452381682179019,0.2307409557640995,1.2497609348918386
scale,all,pg,group - individual,1.953125,-4.905778050445154,8.445745502836557,0.5796,0.15527071292078154,-0.38761553684307454,0.6963344279282816
scale,all,pg,society - individual,27.5390625,18.1311683564973,36.470160575671926,0.0,1.4819462031092945,0.9694318787131446,2.02155710963671
scale,all,control,group - individual,0.7719494047619069,-8.630391295862607,10.170968615230109,0.8648,0.046909259844527096,-0.5283028679486679,0.6200878901144524
scale,all,control,society - individual,-1.1160714285714246,-10.608504862147573,8.537473033404122,0.8144,-0.07022138320714011,-0.6893333113644866,0.5416979720776589
scale,US,he,group - individual,1.0416666666666667,-1.732654600301659,4.753447455931297,0.5804,0.39637208785836053,-0.9214428774637471,1.4550265949403018
scale,US,he,society - individual,0.390625,-1.5042810142834218,2.26165116561204,0.7048,0.16652160328743237,-0.6662562238428476,1.0908944392082724
scale,US,de,group - individual,-1.8125826719576716,-6.7025354675018525,3.1422095024169807,0.4648,-0.2222365523522889,-0.8136062822573328,0.39048077500797046
scale,US,de,society - individual,8.072916666666668,1.6168223055843791,14.324357458431866,0.0132,0.690386481102965,0.14050629980115809,1.2367879468370473
scale,US,pg,group - individual,3.9062500000000013,-2.3860848674073467,9.799312363834417,0.2188,0.33025601749126543,-0.20549075488301416,0.8457375330858804
scale,US,pg,society - individual,25.520833333333336,17.46492586336337,33.34641704118667,0.0,1.490426712049285,1.0100756164964813,1.998967510250904
scale,US,control,group - individual,2.325148809523811,-6.878230785717658,11.416047724556773,0.638,0.14304232061654565,-0.4260720993248641,0.7105271875234501
scale,US,control,society - individual,0.11160714285714246,-8.860403222563004,9.23505431056046,0.9892,0.007153010829686446,-0.5863234929236887,0.6021153257172867
scale,CN,he,group - individual,1.3020833333333333,-2.401138640728063,5.610325723882054,0.5436,0.4189242614821693,-0.9970669202238147,1.79038355460716
scale,CN,he,society - individual,1.3020833333333333,-1.5873325892857133,3.933013456450955,0.3548,0.4189242614821693,-0.4545750763063557,1.6766292120952755
scale,CN,de,group - individual,-2.4739583333333344,-9.164434523809526,4.516039614770618,0.472,-0.22582772566998788,-0.8894098932723843,0.4030840145179782
scale,CN,de,society - individual,12.369791666666666,3.8740300789095863,20.584835681219577,0.0024,0.7947720661562645,0.2567124551214039,1.3386315978838854
scale,CN,pg,group - individual,0.0,-8.0777678096757,7.57071338772578,1.0,0.0,-0.6056234418189107,0.6039016573653182
scale,CN,pg,society - individual,29.557291666666664,18.209809535659833,40.469646990740735,0.0,1.4885035174012198,0.9204157807701998,2.1006099989017466
scale,CN,control,group - individual,-0.78125,-10.773460343567251,9.106798877107124,0.8832,-0.04694234266306041,-0.6506410941056348,0.5643588293535771
scale,CN,control,society - individual,-2.34375,-12.743317264409685,7.975154305153236,0.6472,-0.14492677232813755,-0.821617181397186,0.5026097026840826
standing,all,he,med - low,-1.1067708333333335,-2.5343161171088937,0.2917451920684674,0.1252,-0.7044018508316383,-1.7042555055215631,0.21403589219439897
standing,all,he,high - low,3.7109375,0.5491766709928648,7.580172601626828,0.0184,1.023187213678236,0.18747545926239442,1.882701110587201
standing,all,de,med - low,-6.966145833333333,-13.419194612238966,-0.44609882305195403,0.0368,-0.5930263939453237,-1.1701736986094895,-0.0376102074649444
standing,all,de,high - low,-1.5593998015873023,-8.784576052627239,5.699890187312552,0.6764,-0.11269035313524367,-0.6597188096579151,0.4102843416865506
standing,all,pg,med - low,1.3671875,-8.05925531762413,10.34910948681603,0.7744,0.0828233484692722,-0.49605804782210694,0.6435948617313126
standing,all,pg,high - low,8.984375000000004,-0.28127633565615046,18.550647193662186,0.0592,0.4876366240160622,-0.01605116686004804,1.043163432977624
standing,all,control,med - low,-8.3984375,-17.466355692918196,1.0428651433691694,0.0872,-0.5614419870689107,-1.2261810467282193,0.07087269580306683
standing,all,control,high - low,0.6644758597883604,-8.773641116600608,10.364815551400826,0.874,0.03731343477229698,-0.49331311194632915,0.5955730354094445
standing,US,he,med - low,-0.9114583333333333,-2.5080405855112136,0.6612110204133043,0.2588,-0.5846295983493519,-1.9582231472431735,0.49017873876265255
standing,US,he,high - low,2.7343750000000004,-0.132932129346063,6.481481481481481,0.066,0.8666520546045047,-0.05414472053538493,1.8924094926391093
standing,US,de,med - low,-5.598958333333334,-11.03851845587576,0.11582341269841064,0.0556,-0.5478823199875564,-1.1327683622958207,0.010597480898599793
standing,US,de,high - low,-2.20734126984127,-8.479498238689413,4.309858382432285,0.4952,-0.1896346339586319,-0.7857622671826644,0.3528800217004862
standing,US,pg,med - low,1.8229166666666685,-6.396330370642543,9.826504374540832,0.6592,0.11973574962262501,-0.42817795683673526,0.6581832137655153
standing,US,pg,high - low,9.635416666666666,1.3063772075710791,18.097722209564317,0.0244,0.5566178302618706,0.07596709307642281,1.0830991143732338
standing,US,control,med - low,-6.901041666666669,-15.959461248713072,2.576000388500377,0.1508,-0.46109148762791263,-1.0958706711578896,0.17360944511508103
standing,US,control,high - low,1.1987433862433865,-8.078400080285936,10.68993173959666,0.776,0.06853229595224142,-0.46574809439322673,0.6318397255220457
standing,CN,he,med - low,-1.3020833333333335,-2.978091480207674,0.4032258064516127,0.1364,-0.8241754429663493,-2.377048314329062,0.27521319999675187
standing,CN,he,high - low,4.6875,0.8199106267210886,9.049060520458818,0.0108,1.1478025328588815,0.25473794088250845,2.0565541629277075
standing,CN,de,med - low,-8.333333333333332,-16.298025478173823,-0.2649510917519398,0.0444,-0.63187194737846,-1.2602441933625959,-0.022157072204206638
standing,CN,de,high - low,-0.9114583333333315,-10.00587565923843,7.799695879844315,0.8436,-0.05756738525805716,-0.6345320204570685,0.5103905741081152
standing,CN,pg,med - low,0.9114583333333343,-10.280369344707573,11.533109198481432,0.8792,0.05149971403943421,-0.5932015042768486,0.6616253489734925
standing,CN,pg,high - low,8.333333333333334,-2.6041666666666687,19.560127566041395,0.1268,0.4285679309410432,-0.13058215766196127,1.0378690933819927
standing,CN,control,med - low,-9.895833333333332,-19.50323410545597,0.22286416053946675,0.054,-0.6625133593247234,-1.379432550305251,0.013941658208015538
standing,CN,control,high - low,0.13020833333333426,-9.753703059648574,10.56468353105032,0.966,0.007187408109782023,-0.5507306562524722,0.6003445357886661
