model,origin,lang,mode,n_pairs,r_lang,r_en,delta_pp,delta_lo,delta_hi,delta_p,n_more,n_less,n_discordant,direction,direction_lo,direction_hi
gemini-3.1-flash-lite,US,de,he,192,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,,,
gemini-3.1-flash-lite,US,de,de,192,0.5208333333333333,0.5208333333333333,0.0,-1.5625,1.5625,1.0,1,1,2,0.0,-1.0,1.0
gemini-3.1-flash-lite,US,de,pg,192,2.083333333333333,2.604166666666667,-0.5208333333333336,-2.604166666666667,1.5625000000000004,0.8216,2,3,5,-0.20000000000000004,-1.0,1.0
gemini-3.1-flash-lite,US,de,control,192,2.083333333333333,2.083333333333333,0.0,-2.604166666666667,2.604166666666667,1.0,3,3,6,0.0,-1.0,1.0
gemini-3.1-flash-lite,US,fr,he,192,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,,,
gemini-3.1-flash-lite,US,fr,de,192,1.5625,0.5208333333333333,1.0416666666666667,-1.0416666666666665,3.125,0.4592,3,1,4,0.5000000000000001,-1.0,1.0
gemini-3.1-flash-lite,US,fr,pg,192,1.5625,2.604166666666667,-1.0416666666666667,-3.125,1.0416666666666665,0.4516,1,3,4,-0.5000000000000001,-1.0,1.0
gemini-3.1-flash-lite,US,fr,control,192,1.0416666666666665,2.083333333333333,-1.0416666666666665,-2.604166666666667,0.0,0.2644,0,2,2,-1.0,-1.0,-1.0
gemini-3.1-flash-lite,US,es,he,192,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,,,
gemini-3.1-flash-lite,US,es,de,192,1.0416666666666665,0.5208333333333333,0.5208333333333333,-1.0416666666666667,2.604166666666667,0.7816,2,1,3,0.3333333333333333,-1.0,1.0
gemini-3.1-flash-lite,US,es,pg,192,2.083333333333333,2.604166666666667,-0.5208333333333336,-2.604166666666667,1.5625000000000004,0.8332,2,3,5,-0.20000000000000004,-1.0,1.0
gemini-3.1-flash-lite,US,es,control,192,2.604166666666667,2.083333333333333,0.5208333333333336,0.0,1.5625000000000004,0.7344,1,0,1,1.0,1.0,1.0
gemini-3.1-flash-lite,US,zh,he,192,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,,,
gemini-3.1-flash-lite,US,zh,de,192,0.5208333333333333,0.5208333333333333,0.0,-1.5625,1.5625,1.0,1,1,2,0.0,-1.0,1.0
gemini-3.1-flash-lite,US,zh,pg,192,1.0416666666666665,2.604166666666667,-1.5625,-3.645833333333333,0.0,0.098,0,3,3,-1.0,-1.0,-1.0
gemini-3.1-flash-lite,US,zh,control,192,3.6458333333333335,2.083333333333333,1.5625000000000004,0.0,3.645833333333333,0.0972,3,0,3,1.0,1.0,1.0
gemini-3.1-flash-lite,US,pt,he,192,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,,,
gemini-3.1-flash-lite,US,pt,de,192,0.5208333333333333,0.5208333333333333,0.0,-1.5625,1.5625,1.0,1,1,2,0.0,-1.0,1.0
gemini-3.1-flash-lite,US,pt,pg,192,2.604166666666667,2.604166666666667,0.0,-1.5625,1.5625,1.0,1,1,2,0.0,-1.0,1.0
gemini-3.1-flash-lite,US,pt,control,192,3.6458333333333335,2.083333333333333,1.5625000000000004,0.0,3.645833333333333,0.1076,3,0,3,1.0,1.0,1.0
gemini-3.1-flash-lite,US,hi,he,192,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,,,
gemini-3.1-flash-lite,US,hi,de,192,0.0,0.5208333333333333,-0.5208333333333333,-1.5625,0.0,0.7248,0,1,1,-1.0,-1.0,-1.0
gemini-3.1-flash-lite,US,hi,pg,192,1.5625,2.604166666666667,-1.0416666666666667,-3.125,1.0416666666666665,0.414,1,3,4,-0.5000000000000001,-1.0,1.0
gemini-3.1-flash-lite,US,hi,control,192,1.5625,2.083333333333333,-0.5208333333333333,-2.6041666666666665,1.0416666666666667,0.7888,1,2,3,-0.3333333333333333,-1.0,1.0
gemini-3.1-flash-lite,US,sw,he,192,0.5208333333333333,0.0,0.5208333333333333,0.0,1.5625,0.744,1,0,1,1.0,1.0,1.0
gemini-3.1-flash-lite,US,sw,de,192,1.0416666666666665,0.5208333333333333,0.5208333333333333,-1.0416666666666667,2.604166666666667,0.8008,2,1,3,0.3333333333333333,-1.0,1.0
gemini-3.1-flash-lite,US,sw,pg,192,2.604166666666667,2.604166666666667,0.0,-2.604166666666667,2.6041666666666665,1.0,3,3,6,0.0,-1.0,1.0
