bloc,lang,mode,n_models,r_en,r_lang,delta_pp,delta_lo,delta_hi,delta_p,delta_logit,delta_logit_lo,delta_logit_hi,direction,direction_lo,direction_hi,direction_p,n_models_direction_defined
all,de,he,24,3.0815972222222223,2.7560763888888884,-0.32552083333333337,-0.9114583333333333,0.23871527777777776,0.2424,-0.11499305352870959,-0.35119604360487133,0.08616663306320643,-0.07998819362455728,-0.2428438995215311,0.10304514457298063,0.4352,22
all,de,de,24,14.541293993600931,13.131499054682955,-1.4097949389179756,-2.9956300799742395,0.13020833333333265,0.0764,-0.11834081481901104,-0.25207273027966576,0.010595073301222585,0.003565462217247954,-0.12825804078457412,0.1383456398326963,0.944,24
all,de,pg,24,23.617246582315296,22.707606166375797,-0.9096404159394996,-2.4913683009744036,0.6352564897486714,0.2184,-0.05111591340764332,-0.14065638135362754,0.035042561124299376,-0.052805672486967194,-0.15586149367816957,0.050182196103456984,0.2772,24
all,de,control,24,20.283413321698664,18.766361256544503,-1.517052065154159,-3.0820733485034766,-0.03781105865121527,0.0456,-0.0965892556094543,-0.19136164217911175,-0.002286293623706629,-0.0846766615414727,-0.1953613409281301,0.02559808848143681,0.1368,24
all,fr,he,24,3.0815972222222223,3.7543402777777777,0.6727430555555555,-0.021701388888888867,1.4111328124999925,0.0568,0.2044300745529415,-0.006829545414006546,0.4202320305675609,0.23663378394836201,0.02012216728796784,0.37134226853491314,0.0312,23
all,fr,de,24,14.541293993600931,14.474940008726003,-0.06635398487492705,-1.4342288848894709,1.280850237573093,0.922,-0.005349728324515857,-0.11472165204303021,0.10434545413629588,0.033477738070617075,-0.08364309870126926,0.14417589773062395,0.5636,24
all,fr,pg,24,23.632812499999996,25.868055555555554,2.2352430555555567,0.7378472222222223,3.7760416666666665,0.0028,0.12007930710545933,0.039773862623138485,0.2031574374560561,0.0829537412986379,-0.00716385913636464,0.17474723436559303,0.072,24
all,fr,control,24,20.263529850203607,18.789085223967415,-1.4744446262361834,-2.9966419956140355,0.04263868437318129,0.0564,-0.09386916573209358,-0.18804949913356067,0.0029483483308742698,-0.13383229353190423,-0.22755374562373054,-0.024933615102161015,0.0172,24
all,es,he,24,3.0815972222222223,3.255208333333333,0.17361111111111108,-0.5642361111111112,0.9765624999999998,0.7072,0.05660115494928375,-0.22045865184936989,0.29429198254328937,0.12622498274672186,-0.18804709510066642,0.3292801875157593,0.4316,23
all,es,de,24,14.541293993600931,14.041593949970915,-0.4997000436300175,-2.085880391081869,0.9977042812911419,0.5196,-0.04079878231131295,-0.1735325621183689,0.08078876784101303,0.032205379896502295,-0.10100300153898133,0.15574589166618033,0.6144,24
all,es,pg,24,23.6390615910413,24.399860020360677,0.760798429319371,-0.9337330838002499,2.367864863595599,0.3856,0.041690052762352714,-0.05137979524707663,0.13129154020914977,-0.0060307589617152255,-0.10131224272238462,0.08784292948833762,0.8792,24
all,es,control,24,20.276482511634672,18.476744291739386,-1.7997382198952878,-3.4068964968731823,-0.2586754426628863,0.0232,-0.11527254975466139,-0.2173839399606031,-0.017151895654949477,-0.09986622048996552,-0.2518182123019106,0.005864659540747023,0.0596,24
all,zh,he,24,3.0815972222222223,3.8194444444444446,0.7378472222222223,-0.02170138888888873,1.5842013888888888,0.0552,0.2222991414098745,-0.005177292186855613,0.4675586835010589,0.085871777176125,-0.15662765907435902,0.27033150092373237,0.5232,23
all,zh,de,24,14.54379363001745,14.371545956951714,-0.1722476730657357,-1.799758103366782,1.5020937444984075,0.8276,-0.013927667859899184,-0.147372432957987,0.12054300362942078,-0.004897644282430873,-0.14016509058223967,0.13467123140322282,0.9464,24
all,zh,pg,24,23.6390615910413,24.57608438772542,0.9370227966841187,-1.1225819605665008,2.93437793617579,0.3704,0.05122017491250119,-0.06035439756940625,0.16183851138203134,-0.054091688022473196,-0.15767778558216158,0.05503253143605592,0.3192,24
all,zh,control,24,20.272278577661428,17.668566390343223,-2.6037121873182083,-4.600694444444444,-0.7156912941849605,0.0052,-0.16960284153908267,-0.29285008672344565,-0.048150053722448696,-0.16961392041581236,-0.28122348714341466,-0.06592104047054906,0.0012,24
all,pt,he,24,3.0815972222222223,2.734375,-0.34722222222222215,-1.0416666666666665,0.36892361111111116,0.32,-0.123121372610552,-0.4228853603422156,0.12006375874782861,0.06133697220653745,-0.2563592305609112,0.24461296747077868,0.802,23
all,pt,de,24,14.54379363001745,13.873777450552643,-0.6700161794648051,-2.1461681829532933,0.765517277573478,0.37,-0.05497368967135663,-0.17870752507590057,0.0627843588224004,0.015622791151034378,-0.11259708506135647,0.1434662047237673,0.8144,24
all,pt,pg,24,23.6390615910413,23.077097876672482,-0.5619637143688186,-2.0837294697971758,0.8950338084795322,0.446,-0.03139216518307153,-0.11567238287532998,0.05099450029303444,-0.04446418565721592,-0.14243979934652642,0.05221805878774277,0.3696,24
