mode,lang,n_models_min,n_models_max,n_models_delta_neg,n_models_delta_neg_ci,n_models_delta_pos,n_models_delta_pos_ci,delta_pp_all,delta_pp_US,delta_pp_CN
he,en,8,2,,,,,,,
he,de,7,0,11.0,3.0,10.0,0.0,-0.32552083333333337,0.2170138888888888,-0.8680555555555555
he,fr,2,7,5.0,3.0,18.0,0.0,0.6727430555555555,0.6076388888888887,0.7378472222222224
he,es,1,1,7.0,1.0,12.0,1.0,0.17361111111111108,0.8246527777777777,-0.4774305555555555
he,zh,2,4,8.0,1.0,11.0,4.0,0.7378472222222223,0.17361111111111113,1.3020833333333335
he,pt,3,0,9.0,4.0,12.0,1.0,-0.34722222222222215,0.3472222222222222,-1.0416666666666665
he,hi,0,1,5.0,3.0,16.0,6.0,2.1267361111111107,3.645833333333333,0.607638888888889
he,sw,1,9,4.0,0.0,19.0,6.0,6.57620255235602,11.720113438045376,1.4322916666666665
de,en,6,3,,,,,,,
de,de,4,0,10.0,5.0,12.0,3.0,-1.4097949389179756,1.0432573443862716,-3.862847222222222
de,fr,2,6,8.0,6.0,16.0,2.0,-0.06635398487492705,-1.0441663030831878,0.9114583333333337
de,es,2,1,8.0,4.0,14.0,5.0,-0.4997000436300175,1.7349749127399647,-2.7343749999999996
de,zh,4,3,9.0,5.0,13.0,5.0,-0.1722476730657357,-1.1691481239092494,0.8246527777777781
de,pt,0,1,10.0,7.0,12.0,5.0,-0.6700161794648051,0.8301065299592789,-2.1701388888888884
de,hi,2,4,10.0,5.0,14.0,12.0,3.2875899869109944,5.620318862710879,0.9548611111111112
de,sw,4,6,12.0,4.0,11.0,7.0,4.865315045084351,12.291393979057592,-2.5607638888888884
pg,en,4,5,,,,,,,
pg,de,4,0,14.0,5.0,9.0,5.0,-0.9096404159394996,1.6095386125654447,-3.428819444444444
pg,fr,2,6,10.0,2.0,14.0,6.0,2.2352430555555567,1.8229166666666672,2.6475694444444446
pg,es,0,2,12.0,5.0,10.0,6.0,0.760798429319371,4.429582969749854,-2.9079861111111107
pg,zh,4,5,12.0,6.0,11.0,6.0,0.9370227966841187,0.13793448225712562,1.7361111111111118
pg,pt,1,0,12.0,6.0,11.0,4.0,-0.5619637143688186,1.4802392379290292,-2.604166666666667
pg,hi,1,3,11.0,6.0,13.0,10.0,3.305692616959064,6.871801900584796,-0.2604166666666655
pg,sw,8,3,12.0,9.0,10.0,6.0,3.002558479532164,10.779422514619881,-4.7743055555555545
control,en,1,5,,,,,,,
control,de,1,1,14.0,5.0,8.0,1.0,-1.517052065154159,1.0891597585805703,-4.123263888888888
control,fr,3,2,13.0,5.0,8.0,3.0,-1.4744446262361834,-1.3863892524723682,-1.5624999999999998
control,es,1,0,15.0,6.0,9.0,2.0,-1.7997382198952878,0.3067735602094245,-3.906249999999999
control,zh,7,5,15.0,10.0,8.0,4.0,-2.6037121873182083,-4.295966041303082,-0.9114583333333333
control,pt,1,3,16.0,8.0,8.0,3.0,-2.776982438917975,-0.8230621000581735,-4.730902777777777
control,hi,1,4,11.0,7.0,13.0,4.0,-0.1430185190956348,2.8389629618087304,-3.125000000000001
control,sw,9,4,13.0,9.0,10.0,6.0,0.89592470760234,8.302266081871345,-6.510416666666667
