model,origin,mode,spearman,lo,hi
gemini-3.1-flash-lite,US,he,-0.6123724356957945,-0.6123724356957945,-0.6123724356957945
gemma-4-31b,US,he,0.2834733547569204,-0.6549644498617002,0.8046172777075037
gpt-5.6-luna,US,he,-0.8794653965640157,-0.9549937104572925,0.018772452069533808
gpt-5.6-sol,US,he,-0.21821789023599236,-0.8078131663950782,0.43037668342494384
gpt-5.6-terra,US,he,-0.18898223650461363,-0.6123724356957945,0.40824829046386296
grok-4.3,US,he,-0.5455447255899809,-0.8214285714285714,0.0
haiku-4.5,US,he,-0.32732683535398854,-0.7567874686642695,0.2547087816642242
inkling,US,he,-0.34551165954032126,-0.75,0.41443123283995714
nemotron-3-ultra,US,he,-0.7412493166611012,-0.9274260335029676,0.14969623771302396
nemotron-3.5-lightning,US,he,-0.7207499701564472,-0.8894991799933214,-0.38188130791298663
nova-2-lite,US,he,-0.09851380077988758,-0.28829998806257884,0.10811249552346708
sonnet-5,US,he,-0.7092081432669752,-0.8894991799933214,0.28836641803554647
deepseek-v4-pro,CN,he,0.27028123880866767,-0.43042851589166675,0.6737565286801765
glm-5.2,CN,he,0.37839373433213475,-0.27277236279499045,0.7684076460831232
hy3,CN,he,-0.4629100498862757,-0.8607533668498877,0.09356014857063996
kimi-k2.6,CN,he,0.07142857142857142,-0.3091420111676559,0.5714285714285714
kimi-k3,CN,he,-0.07715167498104596,-0.5946187253790689,0.41825095628565206
ling-3.0-flash,CN,he,-0.7387687194103584,-0.8728715609439694,-0.30631873731649006
mimo-v2.5-pro,CN,he,-0.4364357804719847,-0.8730364068344699,0.03706246583305506
minimax-m3,CN,he,-0.21622499104693416,-0.5714285714285714,0.14285714285714285
qwen3.7-plus,CN,he,0.5378528742004771,-0.0909241209316635,0.8964653562327283
qwen3.8-27b,CN,he,-0.4504687313477795,-0.7783117824941562,-0.036037498507822355
qwen3.8-flash,CN,he,-0.3181045051401759,-0.7637626158259733,0.5765999761251577
seed-2-1-turbo,CN,he,-0.49099025303098287,-0.702731220902536,0.21821789023599236
gemini-3.1-flash-lite,US,de,0.2619684159977919,-0.31622776601683794,0.7968190728895957
gemma-4-31b,US,de,0.5577733510227171,-0.7455777916396407,0.900937462695559
gpt-5.6-luna,US,de,-0.7142857142857143,-0.8108437164260031,-0.21428571428571427
gpt-5.6-sol,US,de,-0.75,-0.9642857142857143,-0.39285714285714285
gpt-5.6-terra,US,de,-0.6126374746329801,-0.8829187134416477,-0.32142857142857145
grok-4.3,US,de,0.018018749253911177,-0.3423562358243124,0.2522624895547565
haiku-4.5,US,de,0.03571428571428571,-0.3964124835860459,0.25
inkling,US,de,0.018018749253911177,-0.4642857142857143,0.21428571428571427
nemotron-3-ultra,US,de,-0.16216874328520062,-0.8108437164260031,0.3603749850782236
nemotron-3.5-lightning,US,de,-0.75,-0.7857142857142857,-0.5765999761251577
nova-2-lite,US,de,-0.21428571428571427,-0.30631873731649006,0.07142857142857142
sonnet-5,US,de,-0.8928571428571429,-0.9642857142857143,-0.4504687313477795
deepseek-v4-pro,CN,de,-0.14285714285714285,-0.4642857142857143,0.30631873731649006
glm-5.2,CN,de,0.018018749253911177,-0.10714285714285714,0.5585812268712466
hy3,CN,de,-0.5714285714285714,-0.5714285714285714,-0.036037498507822355
kimi-k2.6,CN,de,0.3423562358243124,-0.03571428571428571,0.5765999761251577
kimi-k3,CN,de,-0.14285714285714285,-0.7142857142857143,0.30631873731649006
ling-3.0-flash,CN,de,-0.6428571428571429,-0.8571428571428571,-0.3423562358243124
mimo-v2.5-pro,CN,de,-0.2857142857142857,-0.6071428571428571,-0.07142857142857142
minimax-m3,CN,de,-0.14285714285714285,-0.42857142857142855,0.2522624895547565
qwen3.7-plus,CN,de,0.5,0.35714285714285715,0.8928571428571429
qwen3.8-27b,CN,de,-0.21428571428571427,-0.5946187253790689,0.14285714285714285
qwen3.8-flash,CN,de,0.5426488617097118,-0.12654939222937056,0.6428571428571429
seed-2-1-turbo,CN,de,0.32142857142857145,0.0,0.32142857142857145
gemini-3.1-flash-lite,US,pg,-0.2936892392857409,-0.781947440012306,0.6546536707079771
gemma-4-31b,US,pg,0.1272937693043289,-0.5455447255899809,0.727392967453308
gpt-5.6-luna,US,pg,0.036037498507822355,-0.4865062298556018,0.48181205582971576
gpt-5.6-sol,US,pg,-0.8571428571428571,-0.9642857142857143,-0.5585812268712466
gpt-5.6-terra,US,pg,-0.32142857142857145,-0.6666937223947136,0.10714285714285714
grok-4.3,US,pg,0.4324499820938683,0.0,0.7142857142857143
haiku-4.5,US,pg,0.2857142857142857,-0.07142857142857142,0.35714285714285715
inkling,US,pg,-0.07142857142857142,-0.39285714285714285,0.23424374030084533
nemotron-3-ultra,US,pg,-0.7092081432669752,-0.7387687194103584,0.21821789023599236
nemotron-3.5-lightning,US,pg,-0.6071428571428571,-0.75,-0.4642857142857143
nova-2-lite,US,pg,-0.17857142857142858,-0.21428571428571427,0.07142857142857142
sonnet-5,US,pg,-0.6785714285714286,-0.8214285714285714,-0.16362605081719997
deepseek-v4-pro,CN,pg,-0.2857142857142857,-0.5358354905118614,0.03571428571428571
glm-5.2,CN,pg,0.5585812268712466,0.19775577306167713,0.8571428571428571
hy3,CN,pg,0.28829998806257884,-0.14285714285714285,0.41443123283995714
kimi-k2.6,CN,pg,0.21428571428571427,-0.10811249552346708,0.4642857142857143
kimi-k3,CN,pg,0.4504687313477795,-0.17857142857142858,0.702731220902536
ling-3.0-flash,CN,pg,-0.6071428571428571,-0.7857142857142857,-0.14285714285714285
mimo-v2.5-pro,CN,pg,-0.3964124835860459,-0.6847124716486248,-0.1801874925391118
minimax-m3,CN,pg,0.17857142857142858,-0.35714285714285715,0.2857142857142857
qwen3.7-plus,CN,pg,0.5357142857142857,0.32142857142857145,0.7142857142857143
qwen3.8-27b,CN,pg,0.6785714285714286,-0.03571428571428571,0.8111083378010634
qwen3.8-flash,CN,pg,0.8728715609439694,0.39285714285714285,0.9642857142857143
seed-2-1-turbo,CN,pg,0.14414999403128942,-0.21428571428571427,0.30631873731649006
gemini-3.1-flash-lite,US,control,-0.3091420111676559,-0.6923450994227358,0.11227217828476796
gemma-4-31b,US,control,-0.2857142857142857,-0.6174969805662238,0.14418320901777323
gpt-5.6-luna,US,control,-0.21428571428571427,-0.6666937223947136,0.42857142857142855
gpt-5.6-sol,US,control,-0.32142857142857145,-0.5946187253790689,0.0900937462695559
gpt-5.6-terra,US,control,-0.35714285714285715,-0.7412493166611012,0.2522624895547565
grok-4.3,US,control,-0.1801874925391118,-0.5357142857142857,0.10811249552346708
haiku-4.5,US,control,0.25,-0.05405624776173354,0.5
inkling,US,control,0.28829998806257884,-0.10714285714285714,0.5357142857142857
nemotron-3-ultra,US,control,-0.5,-0.7209754498738098,0.0900937462695559
nemotron-3.5-lightning,US,control,-0.6847124716486248,-0.8214285714285714,-0.5765999761251577
nova-2-lite,US,control,0.17857142857142858,0.07142857142857142,0.42857142857142855
sonnet-5,US,control,-0.3964124835860459,-0.7142857142857143,0.2522624895547565
deepseek-v4-pro,CN,control,-0.036037498507822355,-0.6126374746329801,0.5405624776173353
glm-5.2,CN,control,0.504524979109513,0.05405624776173354,0.6785714285714286
hy3,CN,control,0.10910894511799618,-0.4504687313477795,0.6666937223947136
kimi-k2.6,CN,control,0.504524979109513,0.17857142857142858,0.75
kimi-k3,CN,control,0.41443123283995714,0.036029418187983976,0.7041868508280461
ling-3.0-flash,CN,control,-0.5585812268712466,-0.7748062179181807,-0.018018749253911177
mimo-v2.5-pro,CN,control,0.37839373433213475,0.17857142857142858,0.7387687194103584
minimax-m3,CN,control,-0.07142857142857142,-0.6071428571428571,0.21428571428571427
qwen3.7-plus,CN,control,0.900937462695559,0.4504687313477795,0.9642857142857143
qwen3.8-27b,CN,control,0.9285714285714286,0.5,0.9642857142857143
qwen3.8-flash,CN,control,0.8648999641877366,0.41443123283995714,0.9642857142857143
seed-2-1-turbo,CN,control,-0.6428571428571429,-0.8571428571428571,-0.05405624776173354
