mode,bloc,n_languages,spearman,lo,hi,p
he,all,7,-0.6071428571428571,-0.7857142857142857,-0.5,0.0
he,US,7,-0.6071428571428571,-0.8928571428571429,-0.35714285714285715,0.0
he,CN,7,-0.39285714285714285,-0.6785714285714286,-0.07142857142857142,0.0084
de,all,7,-0.6785714285714286,-0.9642857142857143,-0.42857142857142855,0.0
de,US,7,-0.5357142857142857,-0.8214285714285714,-0.4642857142857143,0.0
de,CN,7,-0.35714285714285715,-0.5,0.21428571428571427,0.3716
pg,all,7,-0.6428571428571429,-0.75,-0.17857142857142858,0.0024
pg,US,7,-0.4642857142857143,-0.8214285714285714,-0.39285714285714285,0.0
pg,CN,7,0.21428571428571427,-0.14285714285714285,0.5,0.2372
control,all,7,-0.32142857142857145,-0.6071428571428571,-0.07142857142857142,0.0348
control,US,7,-0.4642857142857143,-0.5357142857142857,-0.2857142857142857,0.0
control,CN,7,0.35714285714285715,0.07142857142857142,0.7142857142857143,0.0404
