pairing,label,mode,bias_US_minus_CN,lo,hi,p,delta_US_minus_CN_pp,delta_lo,delta_hi,delta_p
us_ally,USA / aliado de USA,he,0.34921181630546955,-0.000315399233237975,0.6312962527080173,0.0508,1.1718750000000002,-0.09297385026823964,2.5182701894078567,0.074
us_ally,USA / aliado de USA,de,0.057984127793375737,-0.16356617471747079,0.27116764506411284,0.5852,0.04296504240531469,-1.9131535413030836,1.996984828522549,0.964
us_ally,USA / aliado de USA,pg,-0.004502261529327908,-0.1918948065278338,0.20730137274035562,0.9796,0.6971856725146195,-1.0857513438160806,2.5639570847111224,0.4412
us_ally,USA / aliado de USA,control,0.10416681928638796,-0.12241758398526847,0.3438009385422773,0.38,0.7796593222803964,-0.9653953978474517,2.517366792102967,0.4016
us_rival,USA / rival de USA,he,-0.13876460197454107,-0.33397406652669887,0.10524982941747651,0.2764,-0.565145069808028,-2.0833333333333335,0.9548611111111112,0.4508
us_rival,USA / rival de USA,de,0.18085326591292578,0.028234623213736047,0.33475069408580643,0.02,0.3983918128654975,-1.6761534007945518,2.517361111111111,0.7136
us_rival,USA / rival de USA,pg,-0.01850043513314592,-0.18563213733528988,0.15495135779786634,0.822,0.3437775573192246,-2.132247574955908,2.819821363304095,0.7852
us_rival,USA / rival de USA,control,-0.05944541527518709,-0.25615002761105926,0.1435697814033454,0.5564,-0.30518288248981945,-2.129945213710542,1.5190972222222225,0.7296
us_neutral,USA / neutral,he,0.1276795086005612,-0.16526606164069224,0.3953382014468553,0.3752,0.5212878126817919,-0.6944444444444444,1.7395724554441656,0.402
us_neutral,USA / neutral,de,0.08874108146896736,-0.1326947387315003,0.3080784959913562,0.4456,1.175056355439209,-0.8680555555555552,3.215674311009308,0.2556
us_neutral,USA / neutral,pg,-0.08731220539210495,-0.24841906199676536,0.07938626546618256,0.2896,0.2645285087719284,-1.9097222222222205,2.4778270887870857,0.814
us_neutral,USA / neutral,control,0.12496869447530148,-0.06358265920522115,0.29543800537838016,0.2008,-0.216332169866202,-1.8192517264064396,1.4332006253635834,0.796
cn_ally,China / aliado de China,he,0.05725593403377982,-0.20601892282777115,0.32030944078044055,0.67,0.9541793920884236,-0.5653779904741133,2.516685013280364,0.2336
cn_ally,China / aliado de China,de,0.2089360381660976,0.04021158628215068,0.3728837459857994,0.0176,3.0834441489361715,1.0855148940058479,4.992234691725929,0.0052
cn_ally,China / aliado de China,pg,0.046478556848213254,-0.14330481979762108,0.24475971505113614,0.6424,0.7378472222222228,-1.5652663725103204,3.0804894288103535,0.542
cn_ally,China / aliado de China,control,0.1688717890959162,-0.0265685729061909,0.3658913147614552,0.0936,2.2583078824898193,0.5208333333333334,3.9532169181634615,0.014
cn_rival,China / rival de China,he,0.05527068247656481,-0.16782013707198132,0.39372070649899216,0.5152,2.0397033158813267,0.5208219713496216,3.689236111111111,0.01
cn_rival,China / rival de China,de,0.13189056184781273,-0.0632999361974661,0.32878997001990296,0.1844,2.734375,0.5194585333042455,4.949524686361409,0.0176
cn_rival,China / rival de China,pg,0.006773263187594886,-0.14353467099088346,0.19570698566155967,0.8472,2.0751096491228074,-0.22968745139666488,4.427675189393932,0.0836
cn_rival,China / rival de China,control,0.11147018997395278,-0.11032344500752723,0.3418245758156203,0.3392,2.1724112856311812,0.36155947432791247,3.9930555555555545,0.0212
cn_neutral,China / neutral,he,0.065052174920596,-0.16258603300214608,0.3828101026914095,0.44,1.4329733856893545,-0.13147773283267064,3.0822846222367657,0.0784
cn_neutral,China / neutral,de,-0.04971869488153,-0.21819417427035018,0.11887808533810698,0.57,0.2558479532163741,-1.962913890014263,2.4719300398410953,0.8264
cn_neutral,China / neutral,pg,-0.021076653064438622,-0.17807807812911222,0.14099151881454475,0.8052,0.04751461988304201,-2.036766243091915,2.1350205302028225,0.9384
cn_neutral,China / neutral,control,-0.06162050949093285,-0.24134030865997622,0.1884168610497939,0.766,1.126881544502618,-0.8260275778068651,3.0381944444444446,0.2428
us_cn,USA / China,he,-0.20694160118824717,-0.44031911392859613,0.07337234291118544,0.1492,-0.8680555555555556,-2.256944444444444,0.47743055555555575,0.2024
us_cn,USA / China,de,0.1530444550227794,-0.0017553418773128915,0.3144588337755703,0.0528,0.5674174665503202,-1.560000363583479,2.7343750000000004,0.594
us_cn,USA / China,pg,0.13279310821750823,-0.04550550559750304,0.31216165890182695,0.1328,1.3048245614035086,-0.957156889619879,3.6550910534869976,0.2524
us_cn,USA / China,control,0.08163920922379528,-0.14898796152458044,0.32320428319876005,0.5152,0.5244691681210004,-1.510428566849606,2.6041666666666687,0.6132
allies,aliado de USA / aliado de China,he,0.20132920410380367,-0.07951421111186333,0.4709235416461183,0.1712,0.17406559045956932,-1.345029239766082,1.6934074560294827,0.8216
allies,aliado de USA / aliado de China,de,0.0987148901556642,-0.09502288852977113,0.2820325072085806,0.304,-0.561038011695908,-2.6511952320504033,1.562517223324516,0.6108
allies,aliado de USA / aliado de China,pg,0.08109669317477441,-0.09507124403925145,0.24649014062921126,0.378,-0.2636147660818723,-2.478182761591476,1.8959412600267371,0.7976
allies,aliado de USA / aliado de China,control,-0.09602913182634545,-0.32693348978955156,0.12259364196786986,0.3924,-0.7821589586969173,-2.6475694444444446,1.0403089096131473,0.3864
neutrals,neutral A / neutral B  (referencia),he,0.07636921314552897,-0.30750917670115235,0.3907208861837599,0.8116,-0.0009089586969167167,-1.3911612856311804,1.3888888888888886,0.9976
neutrals,neutral A / neutral B  (referencia),de,0.15556895687688727,-0.02014304882854111,0.3289062968393955,0.082,0.9566885964912288,-0.9997897311617552,2.867357209613644,0.3332
neutrals,neutral A / neutral B  (referencia),pg,0.09814024482201364,-0.08582577896590089,0.2787350157724405,0.2872,0.9105445906432758,-1.0472002488861047,2.935393025581441,0.39
neutrals,neutral A / neutral B  (referencia),control,-0.08852149392052139,-0.3205192465679165,0.14457201199811537,0.436,-1.258680555555556,-3.1243353239528795,0.5208333333333329,0.178
