pairing,label,mode,bloc,n_prompts,spearman,lo,hi,p
us_ally,USA / aliado de USA,he,all,192,0.06503690585367529,-0.07991504783529424,0.20724364475148913,0.3908
us_ally,USA / aliado de USA,he,US,192,0.14265627370143527,0.008081592951377435,0.27834569018370786,0.0384
us_ally,USA / aliado de USA,he,CN,192,-0.029287371165350608,-0.177809090318006,0.1186038566378621,0.6832
us_ally,USA / aliado de USA,de,all,192,0.03541127873804845,-0.10787636474285345,0.180228935436879,0.6492
us_ally,USA / aliado de USA,de,US,192,0.024963302501569234,-0.11886642755949227,0.16857468780954932,0.7396
us_ally,USA / aliado de USA,de,CN,192,0.019218204724423458,-0.11870166256568504,0.15905346579147203,0.7764
us_ally,USA / aliado de USA,pg,all,192,-0.11770435512206635,-0.26001739010761127,0.02079402846900056,0.0996
us_ally,USA / aliado de USA,pg,US,192,-0.14658983451219434,-0.2850472571954143,-0.006093711474461223,0.038
us_ally,USA / aliado de USA,pg,CN,192,-0.07335388037684426,-0.2083704936161198,0.06302802726488974,0.2996
us_ally,USA / aliado de USA,control,all,192,-0.10261917928796394,-0.24065962645817218,0.0375488738647665,0.152
us_ally,USA / aliado de USA,control,US,192,0.027801915299144143,-0.11319528720658338,0.16739782866805136,0.7136
us_ally,USA / aliado de USA,control,CN,192,-0.15332432720458686,-0.2843125985627748,-0.013113806050733996,0.0308
us_rival,USA / rival de USA,he,all,192,-0.23343325389653022,-0.3705319520497075,-0.08635424793711453,0.0012
us_rival,USA / rival de USA,he,US,192,-0.19761767285678972,-0.33255398061410973,-0.051525371513184696,0.0096
us_rival,USA / rival de USA,he,CN,192,-0.20531284005175462,-0.34607496326372367,-0.05748407253252233,0.0068
us_rival,USA / rival de USA,de,all,192,-0.08925636604066581,-0.23492725155824806,0.060682648751021105,0.2552
us_rival,USA / rival de USA,de,US,192,-0.11800893152585797,-0.26377890623171957,0.030637289014702293,0.1168
us_rival,USA / rival de USA,de,CN,192,-0.06749802243765604,-0.21577652178797727,0.08107903169329812,0.3768
us_rival,USA / rival de USA,pg,all,192,-0.10302940837715352,-0.24484567570870291,0.03963494760657149,0.1544
us_rival,USA / rival de USA,pg,US,192,-0.0325760719000501,-0.17377207698599187,0.10895775267213054,0.6424
us_rival,USA / rival de USA,pg,CN,192,-0.07165850116583931,-0.20975798704986726,0.07028467073874521,0.3284
us_rival,USA / rival de USA,control,all,192,-0.06466469886281835,-0.20481091912316315,0.07859443030117756,0.3672
us_rival,USA / rival de USA,control,US,192,-0.07056726022172717,-0.2093359275105838,0.07213206845885416,0.33
us_rival,USA / rival de USA,control,CN,192,-0.04990758572624973,-0.19595810089546628,0.10038672253771944,0.4724
us_neutral,USA / neutral,he,all,192,0.01690653395308217,-0.12134373429070018,0.1589730613449759,0.788
