fit,term,estimate,se,z,p
A_he,(Intercept),-4.84654844371402,0.320990840926353,-15.0987125667738,1.6512604364056e-51
A_he,dom1,-0.384730405800351,0.584425726844707,-0.658305047379581,0.510342135325166
A_he,dom2,0.565493367274918,0.509514219502662,1.1098676850018,0.267056047365117
A_he,dom3,0.302681838643996,0.517486977601165,0.584907160460523,0.558610143642141
A_he,dom4,1.42382208788544,0.464479558945876,3.06541388197313,0.0021736896622277
A_he,dom5,0.200736131114702,0.527896850480944,0.380256352982254,0.703755131614364
A_he,dom6,-0.496190385654882,0.600612430827394,-0.826140719350976,0.408724271335308
A_he,dom7,-0.0521421545438236,0.5493097617227,-0.0949230437491219,0.92437595289625
A_de,(Intercept),-2.97855244501358,0.34238572441219,-8.69940605767713,3.3362570892138297e-18
A_de,dom1,-0.744665706183616,0.470220445600896,-1.58365233402815,0.113272857492799
A_de,dom2,-0.0384497997965704,0.450443293372433,-0.0853599118075438,0.931975262542269
A_de,dom3,0.671221359147509,0.44121081538853,1.5213166489503,0.128180394216892
A_de,dom4,0.808162611147851,0.442087081957493,1.82806203603469,0.06754024177404
A_de,dom5,-0.479176717650465,0.462941425787952,-1.03506986188345,0.300636286153869
A_de,dom6,-0.332329164925828,0.460546499719661,-0.721597417694239,0.470542027259634
A_de,dom7,-0.301241953932284,0.456300909236447,-0.660182672956686,0.509136610130227
A_pg,(Intercept),-2.08105669554575,0.305274954405004,-6.81699125826367,9.29669190943096e-12
A_pg,dom1,-0.129315086313513,0.48735031943367,-0.265343185706299,0.790745099022232
A_pg,dom2,0.326038352465235,0.479315602715966,0.680216439059756,0.496367424850302
A_pg,dom3,1.19767963894105,0.470623239028912,2.54487993710713,0.0109315317409838
A_pg,dom4,0.363840052797173,0.477535926893715,0.761911371075025,0.446112902855961
A_pg,dom5,0.382365350720965,0.477020882902754,0.801569416404175,0.422802074774746
A_pg,dom6,-0.507431390705664,0.488272453402109,-1.03923821049101,0.298693963706757
A_pg,dom7,-0.547710839097736,0.487582385459194,-1.12331957722778,0.261301792132651
