bloc,lang,mode,n_models,delta_pp,lo,hi,p
all,de,he,24,-0.32552083333333337,-0.9114583333333334,0.23871527777777776,0.265
US,de,he,12,0.2170138888888888,-0.5208333333333333,0.9548611111111112,0.572
CN,de,he,12,-0.8680555555555555,-1.6493055555555554,-0.1302083333333332,0.024
all,de,de,24,-1.4119537158231532,-3.059935600276323,0.08680555555555503,0.068
US,de,de,12,1.0389397905759166,-0.6971770015270511,2.690972222222222,0.24
CN,de,de,12,-3.862847222222222,-6.034071180555555,-1.7795138888888895,0.002
all,de,pg,24,-0.9252063336241999,-2.422247104966549,0.5716412839950548,0.231
US,de,pg,12,1.5784067771960442,-0.3472222222222224,3.446299856384523,0.11
CN,de,pg,12,-3.428819444444444,-5.295138888888889,-1.6048177083333381,0.0
all,fr,he,24,0.6727430555555555,-0.02224392361111026,1.410590277777778,0.069
US,fr,he,12,0.6076388888888887,-0.2170138888888889,1.4756944444444442,0.161
CN,fr,he,12,0.7378472222222224,-0.30381944444444453,1.8229166666666665,0.186
all,fr,de,24,-0.06646760471204176,-1.4126985237553955,1.2577828519659053,0.923
US,fr,de,12,-1.0443935427574171,-2.521002626890634,0.3885798429319373,0.157
CN,fr,de,12,0.9114583333333337,-0.8680555555555555,2.821180555555555,0.307
all,fr,pg,24,2.2352430555555567,0.6944444444444445,3.710937500000001,0.005
US,fr,pg,12,1.8229166666666672,0.21701388888888964,3.3854166666666665,0.027
CN,fr,pg,12,2.6475694444444446,0.6076388888888888,4.774305555555556,0.01
all,es,he,24,0.17361111111111108,-0.5642361111111109,0.9982638888888886,0.722
US,es,he,12,0.8246527777777777,-0.21701388888888867,1.909722222222222,0.125
CN,es,he,12,-0.4774305555555555,-1.3465711805555538,0.390625,0.295
all,es,de,24,-0.5004953824898195,-2.150087828134089,1.0174581962719293,0.555
US,es,de,12,1.7333842350203608,1.0697461435191838e-16,3.553111293859648,0.05
CN,es,de,12,-2.7343749999999996,-4.992404513888888,-0.4340277777777779,0.021
all,es,pg,24,0.7670475203606746,-0.7958528993906798,2.4174835932955183,0.336
US,es,pg,12,4.442081151832461,2.530989810573008,6.310702969316647,0.0
CN,es,pg,12,-2.9079861111111107,-5.208333333333332,-0.6510416666666662,0.016
all,zh,he,24,0.7378472222222223,-0.0217013888888889,1.519097222222222,0.061
US,zh,he,12,0.17361111111111113,-0.5642361111111112,0.9114583333333334,0.688
CN,zh,he,12,1.3020833333333335,0.2604166666666668,2.3448350694444384,0.019
all,zh,de,24,-0.17020251599767292,-1.8137849506578936,1.5008935303190343,0.838
US,zh,de,12,-1.165057809773124,-2.8160847058609653,0.48561686481966226,0.164
CN,zh,de,12,0.8246527777777781,-1.3888888888888893,3.168402777777778,0.475
all,zh,pg,24,0.943271887725422,-1.1070435209424079,2.8873909129014654,0.367
US,zh,pg,12,0.15043266433973218,-1.8497025432664325,2.1440283289241613,0.903
CN,zh,pg,12,1.7361111111111118,-0.8257378472222207,4.253472222222223,0.207
all,pt,he,24,-0.34722222222222215,-1.0850694444444442,0.36892361111111116,0.33
US,pt,he,12,0.3472222222222222,-0.4774305555555555,1.2152777777777777,0.412
CN,pt,he,12,-1.0416666666666665,-1.9542100694444429,-0.13020833333333345,0.02
all,pt,de,24,-0.6700161794648051,-2.1148154682596463,0.8945296055023573,0.386
US,pt,de,12,0.8301065299592789,-0.729675743336854,2.4335485412648103,0.317
CN,pt,de,12,-2.1701388888888884,-4.166666666666666,-0.08680555555555594,0.038
all,pt,pg,24,-0.5557146233275154,-1.98129464216281,0.8897569444444441,0.483
US,pt,pg,12,1.492737420011636,-0.07471478174603183,3.081597222222222,0.06
CN,pt,pg,12,-2.604166666666667,-4.645182291666665,-0.4774305555555555,0.013
all,hi,he,24,2.1267361111111107,1.2803819444444446,3.1032986111111107,0.0
US,hi,he,12,3.645833333333333,2.603081597222224,4.775390624999995,0.0
CN,hi,he,12,0.607638888888889,-0.390625,1.6927083333333333,0.257
all,hi,de,24,3.3021333260616634,1.2623784626542363,5.338190569218123,0.003
US,hi,de,12,5.649405541012217,3.5117799354910084,7.767035022178585,0.0
CN,hi,de,12,0.9548611111111112,-1.5635850694444429,3.428819444444444,0.464
all,hi,pg,24,3.296326754385965,1.634952996640908,4.968058982090643,0.0
US,hi,pg,12,6.853070175438597,4.774305555555556,9.021849872076023,0.0
CN,hi,pg,12,-0.2604166666666655,-2.388237847222221,1.7805989583333282,0.836
all,sw,he,22,1.8240322068856094,0.9721265641048126,2.722571964739013,0.0
US,sw,he,10,2.2941208551483414,0.9917214912280705,3.6491124018324603,0.001
CN,sw,he,12,1.4322916666666665,0.30381944444444464,2.5607638888888893,0.009
all,sw,de,22,0.13163374583531642,-1.5629214263049334,1.9072004520711978,0.872
US,sw,de,10,3.362510907504363,1.4054277170073974,5.417082515270505,0.0
CN,sw,de,12,-2.5607638888888884,-4.861111111111112,-0.2593315972222277,0.03
all,sw,pg,22,-1.6115929027113234,-3.927494517543859,0.4978824705387172,0.148
US,sw,pg,10,2.1836622807017543,-0.23702688699825475,4.634923245614036,0.09
CN,sw,pg,12,-4.7743055555555545,-7.638888888888888,-2.083333333333333,0.0
