bloc,lang,mode,n_models,delta_pp,lo,hi,p,mean_langs,q_bh
all,en,he,24,-0.6100918600151667,-1.1033130170172445,-0.12568745862795175,0.013,3.691689082237389,0.028363636363636365
US,en,he,12,-1.0085951783636666,-1.573512163111772,-0.4193276703042331,0.0,3.699567400585888,0.0
CN,en,he,12,-0.21158854166666674,-0.87890625,0.44501410590277707,0.535,3.683810763888889,0.535
all,en,de,24,-0.09391288215220712,-1.1806802950324828,1.0161441006308167,0.849,14.63520687575314,0.849
US,en,de,12,-1.2674698615266358,-2.418932579542233,-0.13437858714057335,0.028,13.249363404284054,0.048
CN,en,de,12,1.0796440972222219,-0.3961859809027781,2.5770399305555562,0.153,16.02105034722222,0.18057142857142858
all,en,pg,24,-0.5707241028099267,-1.6675810527397306,0.5686326706341954,0.304,24.203536602809926,0.456
US,en,pg,12,-2.3404499417309643,-3.5418618493154246,-1.0738845909796857,0.0,23.998436052842077,0.0
CN,en,pg,12,1.1990017361111116,-0.22284613715277674,2.7126736111111107,0.111,24.40863715277778,0.14021052631578948
all,de,he,24,-0.9356126933484998,-1.374230763268849,-0.5249598947603524,0.0,3.691689082237389,0.0
US,de,he,12,-0.7915812894747777,-1.30068276594833,-0.2720064987300553,0.003,3.699567400585888,0.006
CN,de,he,12,-1.0796440972222223,-1.6547309027777772,-0.5261230468750006,0.001,3.683810763888889,0.0024
all,de,de,24,-1.5058665979753596,-2.5429449700759266,-0.46522707793591,0.008,14.63520687575314,0.021333333333333333
US,de,de,12,-0.22853007095071917,-1.362361381022295,0.9321270652568256,0.707,13.249363404284054,0.7377391304347826
CN,de,de,12,-2.783203125000001,-4.047309027777777,-1.5516493055555554,0.0,16.02105034722222,0.0
all,de,pg,24,-1.4959304364341264,-2.440381333752058,-0.5282530324351433,0.003,24.203536602809926,0.009000000000000001
US,de,pg,12,-0.7620431645349202,-1.9458089483460408,0.43803936959818746,0.209,23.998436052842077,0.2786666666666667
CN,de,pg,12,-2.2298177083333326,-3.445231119791667,-1.0525173611111112,0.0,24.40863715277778,0.0
all,fr,he,24,0.06265119554038882,-0.3915691397339811,0.5002639835179814,0.803,3.691689082237389,0.8379130434782609
US,fr,he,12,-0.4009562894747778,-0.9091625548245613,0.11459334234398436,0.119,3.699567400585888,0.1764705882352941
CN,fr,he,12,0.5262586805555555,-0.17903645833333331,1.2371148003472214,0.158,3.683810763888889,0.18057142857142858
all,fr,de,24,-0.16038048686424858,-1.0032391189528276,0.7051656218852789,0.737,14.63520687575314,0.8116363636363637
US,fr,de,12,-2.3118634042840527,-3.342683556093139,-1.2958768486630932,0.0,13.249363404284054,0.0
CN,fr,de,12,1.991102430555555,0.8409288194444445,3.1469726562499987,0.0,16.02105034722222,0.0
all,fr,pg,24,1.6645189527456294,0.4994052912763846,2.7679109197691365,0.002,24.203536602809926,0.006857142857142857
US,fr,pg,12,-0.5175332750642975,-1.6510068449630142,0.5568069969043479,0.353,23.998436052842077,0.44589473684210523
CN,fr,pg,12,3.846571180555556,2.2459581163194446,5.452609592013888,0.0,24.40863715277778,0.0
all,es,he,24,-0.4364807489040555,-0.9014020647321427,0.06356202191677099,0.088,3.691689082237389,0.16246153846153846
US,es,he,12,-0.1839424005858889,-0.845888174766855,0.514733488995927,0.565,3.699567400585888,0.6163636363636363
CN,es,he,12,-0.6890190972222221,-1.1393229166666665,-0.18975151909722282,0.008,3.683810763888889,0.017454545454545455
all,es,de,24,-0.5944082646420267,-1.5661993062962565,0.42976749146210996,0.25,14.63520687575314,0.4
US,es,de,12,0.4659143734937251,-0.6744230914327708,1.6467370883698527,0.443,13.249363404284054,0.5062857142857143
CN,es,de,12,-1.6547309027777783,-2.9842122395833317,-0.24943033854166757,0.03,16.02105034722222,0.048
all,es,pg,24,0.1963234175507481,-0.7863297879596791,1.2041538671357288,0.669,24.203536602809926,0.8028
US,es,pg,12,2.101631210101496,0.9648130801189684,3.331740622377008,0.0,23.998436052842077,0.0
CN,es,pg,12,-1.7089843749999996,-3.0817328559027772,-0.2979871961805581,0.026,24.40863715277778,0.048
all,zh,he,24,0.12775536220705566,-0.3664158589919389,0.650945816117337,0.656,3.691689082237389,0.8028
US,zh,he,12,-0.8349840672525554,-1.3625119807219728,-0.27687500730413234,0.006,3.699567400585888,0.011076923076923078
CN,zh,he,12,1.0904947916666665,0.3797743055555555,1.8664550781249998,0.001,3.683810763888889,0.0024
all,zh,de,24,-0.2641153981498798,-1.324190003326926,0.8240102170203812,0.638,14.63520687575314,0.8028
US,zh,de,12,-2.4325276712997597,-3.5501317930310616,-1.3269072388172125,0.0,13.249363404284054,0.0
CN,zh,de,12,1.9042968749999996,0.35793728298611194,3.461371527777777,0.013,16.02105034722222,0.026
all,zh,pg,24,0.37254778491549595,-1.0473102392599694,1.7885749225122867,0.639,24.203536602809926,0.8028
US,zh,pg,12,-2.190017277391232,-3.574053988565947,-0.7434743731539479,0.002,23.998436052842077,0.004363636363636364
CN,zh,pg,12,2.9351128472222237,1.0681152343750002,4.828559027777777,0.001,24.40863715277778,0.0024
all,pt,he,24,-0.9573140822373889,-1.4457915800721188,-0.47691076242037417,0.0,3.691689082237389,0.0
US,pt,he,12,-0.6613729561414444,-1.2922640432495534,-0.01727488177044384,0.044,3.699567400585888,0.07039999999999999
CN,pt,he,12,-1.2532552083333335,-1.8174913194444444,-0.6781684027777779,0.0,3.683810763888889,0.0
all,pt,de,24,-0.7639290616170119,-1.7011477736768137,0.2427759695992264,0.147,14.63520687575314,0.25199999999999995
US,pt,de,12,-0.4373633315673568,-1.5070636399625104,0.7114915793092429,0.41,13.249363404284054,0.49199999999999994
CN,pt,de,12,-1.0904947916666672,-2.2732204861111107,0.20087348090277682,0.094,16.02105034722222,0.12533333333333332
all,pt,pg,24,-1.1264387261374418,-2.033105351072311,-0.2029862302054893,0.019,24.203536602809926,0.038
US,pt,pg,12,-0.8477125217193284,-1.8853872410242347,0.20343859054232138,0.125,23.998436052842077,0.1764705882352941
CN,pt,pg,12,-1.4051649305555554,-2.6260036892361107,-0.05425347222222213,0.036,24.40863715277778,0.054
all,hi,he,24,1.5166442510959444,0.8675970183557717,2.238392312959093,0.0,3.691689082237389,0.0
US,hi,he,12,2.637238154969667,1.8057890902386173,3.5309625621013563,0.0,3.699567400585888,0.0
CN,hi,he,12,0.3960503472222221,-0.33637152777777785,1.1612955729166654,0.295,3.683810763888889,0.3078260869565217
all,hi,de,24,3.208220443909456,1.7435562427961036,4.649476665001323,0.0,14.63520687575314,0.0
US,hi,de,12,4.381935679485582,2.865809379295912,5.890798922118125,0.0,13.249363404284054,0.0
CN,hi,de,12,2.0345052083333326,0.24956597222222204,3.7331814236111085,0.029,16.02105034722222,0.048
all,hi,pg,24,2.72560265157604,1.5271724807670553,3.8648340984006206,0.0,24.203536602809926,0.0
US,hi,pg,12,4.512620233707632,3.1232178781941364,5.979934101747424,0.0,23.998436052842077,0.0
CN,hi,pg,12,0.938585069444446,-0.49384223090277796,2.398003472222222,0.201,24.40863715277778,0.21927272727272729
all,sw,he,22,1.3444893552673332,0.74568905679835,1.982750339620022,0.0,3.691689082237389,0.0
US,sw,he,10,1.4930328315881327,0.637930030153509,2.3699115953947367,0.0,3.699567400585888,0.0
CN,sw,he,12,1.220703125,0.45532226562500056,2.0456271701388875,0.001,3.683810763888889,0.0024
all,sw,de,22,0.19024608817229843,-1.0062185378801258,1.4105558384635133,0.744,14.63520687575314,0.8116363636363637
US,sw,de,10,2.195885143979057,0.8629768641649379,3.6010938843789497,0.001,13.249363404284054,0.0024
CN,sw,de,12,-1.4811197916666672,-2.9786512586805554,-0.0161404079861123,0.047,16.02105034722222,0.06635294117647059
all,sw,pg,22,-1.9264358633524552,-3.451702379260898,-0.42607764775733487,0.01,24.203536602809926,0.024
US,sw,pg,10,0.05220568395793074,-1.6510291607142298,1.8219861202006975,0.978,23.998436052842077,0.978
CN,sw,pg,12,-3.575303819444444,-5.42019314236111,-1.816677517361115,0.0,24.40863715277778,0.0
