bloc,lang,mode,n_models,rate,lo,hi,share_pct,log10_share
all,en,he,24,3.0815972222222223,1.9314236111111112,4.513888888888889,40.45256064604376,1.6069460176478962
US,en,he,12,2.690972222222222,1.605902777777778,4.079861111111112,40.45256064604376,1.6069460176478962
CN,en,he,12,3.4722222222222223,2.1701388888888884,5.079210069444438,40.45256064604376,1.6069460176478962
all,en,de,24,14.541293993600931,11.69746084182014,17.470214559700405,40.45256064604376,1.6069460176478962
US,en,de,12,11.981893542757415,9.593343240983131,14.587481294586816,40.45256064604376,1.6069460176478962
CN,en,de,12,17.100694444444446,13.671875,20.65972222222222,40.45256064604376,1.6069460176478962
all,en,pg,24,23.632812499999996,19.81282552083334,27.56076388888889,40.45256064604376,1.6069460176478962
US,en,pg,12,21.657986111111114,18.272569444444443,25.130208333333336,40.45256064604376,1.6069460176478962
CN,en,pg,12,25.60763888888889,21.005859375,30.339626736111107,40.45256064604376,1.6069460176478962
all,de,he,24,2.7560763888888884,1.6493055555555556,4.1455078124999964,5.908280629879502,0.771461115129022
US,de,he,12,2.9079861111111116,1.7795138888888888,4.296875,5.908280629879502,0.771461115129022
CN,de,he,12,2.604166666666667,1.4322916666666665,4.036458333333333,5.908280629879502,0.771461115129022
all,de,de,24,13.129340277777777,10.697699652777779,15.820855034722218,5.908280629879502,0.771461115129022
US,de,de,12,13.020833333333332,10.590277777777777,15.756293402777773,5.908280629879502,0.771461115129022
CN,de,de,12,13.237847222222223,10.545789930555557,16.189236111111107,5.908280629879502,0.771461115129022
all,de,pg,24,22.707606166375797,18.9453125,26.485061622615657,5.908280629879502,0.771461115129022
US,de,pg,12,23.236392888307154,19.444444444444446,26.971270087987204,5.908280629879502,0.771461115129022
CN,de,pg,12,22.178819444444443,18.054470486111114,26.346571180555557,5.908280629879502,0.771461115129022
all,fr,he,24,3.7543402777777777,2.408854166666666,5.447048611111111,4.847632543002901,0.6855296923062528
US,fr,he,12,3.298611111111111,2.039930555555556,4.730902777777779,4.847632543002901,0.6855296923062528
CN,fr,he,12,4.210069444444445,2.5607638888888893,6.206597222222223,4.847632543002901,0.6855296923062528
all,fr,de,24,14.47482638888889,11.935221354166666,17.20974392361111,4.847632543002901,0.6855296923062528
US,fr,de,12,10.9375,8.766276041666666,13.324652777777777,4.847632543002901,0.6855296923062528
CN,fr,de,12,18.01215277777778,14.799262152777779,21.398654513888886,4.847632543002901,0.6855296923062528
all,fr,pg,24,25.868055555555554,21.98350694444445,29.731987847222214,4.847632543002901,0.6855296923062528
US,fr,pg,12,23.48090277777777,20.008680555555557,27.039930555555554,4.847632543002901,0.6855296923062528
CN,fr,pg,12,28.255208333333332,23.697916666666664,32.72786458333333,4.847632543002901,0.6855296923062528
all,es,he,24,3.255208333333333,1.9097222222222223,4.970160590277775,4.625701024948672,0.665177559387684
US,es,he,12,3.515624999999999,2.1267361111111116,5.164930555555555,4.625701024948672,0.665177559387684
CN,es,he,12,2.994791666666666,1.5625,4.861111111111112,4.625701024948672,0.665177559387684
all,es,de,24,14.04079861111111,11.30588107638889,16.97102864583333,4.625701024948672,0.665177559387684
US,es,de,12,13.715277777777777,11.024305555555557,16.536458333333336,4.625701024948672,0.665177559387684
CN,es,de,12,14.366319444444445,11.371527777777777,17.664930555555554,4.625701024948672,0.665177559387684
all,es,pg,24,24.399860020360677,20.687777317013076,28.164810626827492,4.625701024948672,0.665177559387684
US,es,pg,12,26.100067262943572,22.365347507894953,29.834711541957525,4.625701024948672,0.665177559387684
CN,es,pg,12,22.69965277777778,18.750000000000004,26.866319444444443,4.625701024948672,0.665177559387684
all,zh,he,24,3.8194444444444446,2.4956597222222223,5.404188368055553,4.382882177164062,0.6417597958888964
US,zh,he,12,2.864583333333333,1.8229166666666665,4.1677517361111045,4.382882177164062,0.6417597958888964
CN,zh,he,12,4.774305555555555,3.038194444444444,6.728515624999995,4.382882177164062,0.6417597958888964
