fit,term,estimate,se,z,p
A_he,(Intercept),-5.35875313260681,0.286167099020966,-18.7259581934477,3.04149255653051e-78
A_he,lang1,-0.197629511774407,0.173894054513564,-1.13649378253465,0.255749966203196
A_he,lang2,-0.407143990909169,0.17810216197223,-2.28601374851727,0.0222534542520615
A_he,lang3,0.0937003833091608,0.169020883545713,0.554371633513669,0.579324535256835
A_he,lang4,-0.0798828136660454,0.171628735922525,-0.465439620216659,0.641616666793953
A_he,lang5,-0.345311520276124,0.176509792288355,-1.95633067038007,0.0504262134302583
A_he,lang6,0.0452296649343691,0.170141732320667,0.265835220539101,0.790366116784464
A_he,lang7,0.377886224182422,0.166006143938727,2.27633878612288,0.0228257403814271
A_de,(Intercept),-3.07816394742071,0.292989164979169,-10.5060675115394,8.10010962641938e-26
A_de,lang1,-0.0193431433577768,0.141752410738623,-0.136457244409364,0.891459822339964
A_de,lang2,-0.18255092617328,0.142436863686495,-1.28162697105629,0.199973534195781
A_de,lang3,-0.0638288267414714,0.142082244991706,-0.449238585336241,0.653259555622668
A_de,lang4,-0.0529172327677348,0.141608655633709,-0.373686428494969,0.708637623532953
A_de,lang5,-0.0498243295347406,0.141615074859877,-0.351829277949681,0.724966300013201
A_de,lang6,-0.0684471949579754,0.142119953925942,-0.481615656824957,0.630079001774846
A_de,lang7,0.416405933673241,0.140038350561036,2.97351355542958,0.0029441140216776
A_pg,(Intercept),-2.24826044564488,0.31635350972127,-7.10679785922322,1.18766182095518e-12
A_pg,lang1,0.0122236911584167,0.132370895194556,0.0923442509053863,0.92642453140477
A_pg,lang2,-0.143904553954649,0.133017041228535,-1.08185051047263,0.279318958284803
A_pg,lang3,0.142639667520365,0.132582620228918,1.07585494444205,0.281992134850515
A_pg,lang4,0.0037042349862765,0.132790574130685,0.0278953156918429,0.977745644527579
A_pg,lang5,-0.113543775375207,0.132973950910428,-0.853879835846127,0.393171573145544
A_pg,lang6,-0.0027369102380247,0.133008853933323,-0.020576902642863,0.983583165585985
A_pg,lang7,0.28186505775431,0.132197461136094,2.13215182297742,0.0329943675230931
A_control,(Intercept),-2.81805449575471,0.271341468762525,-10.3856388358428,2.88233144606629e-25
A_control,lang1,0.239042802118353,0.118788952403136,2.01233193224155,0.0441849584899537
A_control,lang2,0.0188442866873258,0.119628136148565,0.157523867662062,0.874831999032001
A_control,lang3,0.0010268498230327,0.119888907337797,0.0085650111076541,0.993166193428209
A_control,lang4,0.0028065890970588,0.119574501464775,0.0234714681029682,0.98127419736846
A_control,lang5,-0.0834495909602514,0.119668686241762,-0.697338573531773,0.485590933437243
A_control,lang6,-0.119432495875147,0.120047594555837,-0.994876209865219,0.319796474769442
A_control,lang7,0.163998898709995,0.119319475903073,1.37445205377215,0.169301385477291
