dyad,mode,bloc,n_models,n_discordant_median,mean_abs_bias,shuffle,shuffle_lo,shuffle_hi,p_perm,n_models_p05,n_models_q05,n_sig_toward_B,n_sig_toward_A
us_cn,he,all,24,11.0,0.3301827777962969,0.2711974531698474,0.1775132282291725,0.36738933771957505,0.12114394280285985,2,1,0,2
us_cn,he,US,12,6.0,0.46018801459977926,0.314525507172566,0.15426330885889708,0.47879497000820515,0.0439978001099945,2,1,0,2
us_cn,he,CN,12,15.0,0.20017754099281448,0.22495734208840507,0.1362577922497943,0.3309300604127745,0.6945152742362882,0,0,0,0
us_cn,de,all,24,24.5,0.3360596577143144,0.17090417068152192,0.1210521028186828,0.22716491683246237,4.999750012499375e-05,6,0,4,2
us_cn,de,US,12,21.5,0.4761864293114293,0.19175373237873236,0.11514011451511452,0.2830793512043511,4.999750012499375e-05,6,0,4,2
us_cn,de,CN,12,35.5,0.19593288611719942,0.14848538780003412,0.08886145449250597,0.21931460150989784,0.09064546772661367,0,0,0,0
us_cn,pg,all,24,28.0,0.2884616916071617,0.16493400788197193,0.11653314835556433,0.21989185532201866,9.99950002499875e-05,5,3,2,3
us_cn,pg,US,12,25.0,0.2863593469538592,0.18475181914968497,0.11116669691250484,0.2755000148479568,0.014799260036998151,2,1,1,1
us_cn,pg,CN,12,31.5,0.2905640362604643,0.14318918294165056,0.08688389909838694,0.2113398135175683,9.99950002499875e-05,3,2,1,2
us_cn,control,all,24,19.0,0.22078758510299115,0.19762345646623486,0.13263705183477523,0.26611156966264604,0.2565871706414679,3,1,2,1
us_cn,control,US,12,16.0,0.30085970486579006,0.22275939296223274,0.11723873792142048,0.3342681457459599,0.09184540772961351,3,1,2,1
us_cn,control,CN,12,20.0,0.14071546534019233,0.1715527523559148,0.10459119156139116,0.2512781328688393,0.8017099145042748,0,0,0,0
allies,he,all,24,13.0,0.25032188920918896,0.2503359642518681,0.16681026873425328,0.3393592209553308,0.5001249937503125,2,0,0,2
allies,he,US,12,9.0,0.28936387686387693,0.29534030784030785,0.1518623737373737,0.44459520803270797,0.5297735113244337,1,0,0,1
allies,he,CN,12,15.0,0.21127990155450108,0.2028804306550302,0.1231305144448737,0.2986831002076997,0.4280785960701965,1,0,0,1
allies,de,all,24,26.5,0.2567006131732086,0.17316838882521912,0.11992957051775438,0.23176581106924926,0.0034498275086245686,5,1,5,0
allies,de,US,12,19.5,0.33721130902503454,0.19488880047445578,0.10995109038517192,0.2924366676495159,0.0028998550072496373,2,1,2,0
allies,de,CN,12,32.0,0.1761899173213827,0.1497165296175417,0.09056417231873883,0.2198864957849345,0.21868906554672266,3,0,3,0
allies,pg,all,24,31.0,0.2436109887009803,0.16490455657261083,0.11261525626769577,0.2226518606109396,0.003799810009499525,4,1,3,1
allies,pg,US,12,28.0,0.3096322087261366,0.1796159778275528,0.09859129307848473,0.2732176018276586,0.0035498225088745564,4,1,3,1
allies,pg,CN,12,35.0,0.17758976867582402,0.14825235692907518,0.09098248327231845,0.2192639351962951,0.1976901154942253,0,0,0,0
allies,control,all,24,18.5,0.16307370997689344,0.19983388624377485,0.13824745429108398,0.2677062769782284,0.871506424678766,0,0,0,0
allies,control,US,12,14.5,0.22200097430276458,0.22584601034089524,0.12681212125825297,0.3387977359916299,0.5285735713214339,0,0,0,0
allies,control,CN,12,20.5,0.10414644565102231,0.17174232023345296,0.1032387570259424,0.25406884077007075,0.9734013299335034,0,0,0,0
neutrals,he,all,24,11.5,0.2288195272076851,0.2941921595704491,0.22026797979676271,0.3768791139111862,0.9564021798910054,0,0,0,0
neutrals,he,US,12,7.5,0.2782290394790395,0.3551218457468458,0.253545088013838,0.4839501806064305,0.9183540822958852,0,0,0,0
neutrals,he,CN,12,13.0,0.17941001493633071,0.22983025746183638,0.13346002316397054,0.3412965810992127,0.8356082195890205,0,0,0,0
neutrals,de,all,23,22.0,0.24256664891438598,0.18034731950051275,0.1274052019858379,0.24098646774001087,0.02184890755462227,2,0,1,1
neutrals,de,US,11,18.0,0.23042470508746166,0.19717602642822585,0.11730225379052359,0.29532441877933074,0.2471876406179691,0,0,0,0
neutrals,de,CN,12,28.0,0.2536967640890666,0.1629300678824735,0.09875151495998145,0.24106066671166573,0.012099395030248488,2,0,1,1
neutrals,pg,all,24,23.0,0.16745566170588985,0.17811302505744508,0.12585101613673103,0.2366981272446164,0.6489175541222939,1,0,1,0
neutrals,pg,US,12,21.5,0.19001877923189325,0.19161612269580347,0.11544098505029804,0.28248289637171486,0.5155742212889356,1,0,1,0
neutrals,pg,CN,12,25.5,0.14489254417988637,0.1624984216723624,0.09875243320432407,0.23974777223386076,0.6944152792360382,0,0,0,0
neutrals,control,all,24,15.0,0.2170990197985335,0.2253053991362058,0.1608396017459054,0.2974009694499181,0.5900704964751763,1,0,1,0
neutrals,control,US,12,12.5,0.21864075252233142,0.25859801747959643,0.15835783368678105,0.37742834650729384,0.7629618519074046,0,0,0,0
neutrals,control,CN,12,21.0,0.21555728707473562,0.1893265050802236,0.11213158885355681,0.2802554341634719,0.27698615069246535,1,0,1,0
