dyad,mode,estimator,est,lo,hi,p,n_models_defined,n_discordant_total
us_cn,he,igual,-0.1758794243443366,-0.31592735269687494,-0.024117819031922633,0.0224,24,294
us_cn,he,uso,-0.27515533923644275,-0.42282608640266606,0.22195223676386197,0.2332,24,294
us_cn,he,US,-0.27935022493846023,-0.48223254433738305,-0.041870668585381576,0.0264,24,294
us_cn,he,CN,-0.07240862375021302,-0.2419425682569065,0.09051115368549577,0.3864,24,294
us_cn,he,US_menos_CN,-0.20694160118824723,-0.44638172148641253,0.06755915557781124,0.1424,24,294
us_cn,he,uso_menos_igual,-0.09927591489210616,-0.21678445609313177,0.3041655601350841,0.3232,24,294
us_cn,de,igual,0.11399500988084765,0.026901240142011704,0.20023804378296572,0.008,24,621
us_cn,de,uso,0.2085884196102998,-0.028752301497315114,0.4327989969117213,0.08,24,621
us_cn,de,US,0.19051723739223736,0.07018749040448954,0.305234316928846,0.0024,24,621
us_cn,de,CN,0.03747278236945798,-0.0820736524694468,0.15370675263506253,0.5468,24,621
us_cn,de,US_menos_CN,0.15304445502277939,-0.01141831334679085,0.3176306700194394,0.066,24,621
us_cn,de,uso_menos_igual,0.09459340972945215,-0.10418988782722434,0.28198688688739165,0.326,24,621
us_cn,pg,igual,0.09066986355217575,-0.006667612711596729,0.1870491920388122,0.0668,24,672
us_cn,pg,uso,0.2025847440667279,0.03407339796934392,0.36163438097287853,0.02,24,672
us_cn,pg,US,0.15706641766092985,0.004184225157445036,0.3061852382582742,0.0452,24,672
us_cn,pg,CN,0.024273309443421622,-0.07992862098145881,0.13192513250370128,0.642,24,672
us_cn,pg,US_menos_CN,0.13279310821750823,-0.041256906387604826,0.30870283588331576,0.1368,24,672
us_cn,pg,uso_menos_igual,0.11191488051455216,-0.028302054623853046,0.24694366118886954,0.1088,24,672
us_cn,control,igual,-0.01102662882500706,-0.11962038426881647,0.10054963124498616,0.876,24,466
us_cn,control,uso,0.09009527055651378,-0.06840518093857624,0.2491507163263935,0.2672,24,466
us_cn,control,US,0.02979297578689058,-0.1585106383209607,0.22177750017047865,0.736,24,466
us_cn,control,CN,-0.0518462334369047,-0.18256858184099922,0.0781210487871243,0.4272,24,466
us_cn,control,US_menos_CN,0.08163920922379528,-0.15517098176826574,0.3279807455063316,0.4832,24,466
us_cn,control,uso_menos_igual,0.10112189938152084,-0.030311661868838338,0.2332050699822704,0.122,24,466
allies,he,igual,0.006796917909618135,-0.15886442445388219,0.15361073855598473,0.9936,24,348
allies,he,uso,-0.03774796521929274,-0.3883023622038102,0.36090728871900524,0.7824,24,348
allies,he,US,0.10746151996151997,-0.15264391214180464,0.3397120814009429,0.4292,24,348
allies,he,CN,-0.09386768414228369,-0.2501101507854604,0.058674806993869004,0.2256,24,348
allies,he,US_menos_CN,0.20132920410380367,-0.0769369317281595,0.45937344998516,0.1608,24,348
allies,he,uso_menos_igual,-0.044544883128910875,-0.30701186425062116,0.27015913972684474,0.7108,24,348
allies,de,igual,0.21677543257465337,0.11116005625060955,0.31802790308394335,0.0,24,607
allies,de,uso,0.3091779971985773,0.11257521905769448,0.4708778334036218,0.0032,24,607
allies,de,US,0.26613287765248544,0.10571329818088226,0.42473859660597474,0.0016,24,607
allies,de,CN,0.16741798749682127,0.0540773180487713,0.2879626988483199,0.0044,24,607
allies,de,US_menos_CN,0.09871489015566418,-0.08566995189142583,0.27866887738992807,0.3096,24,607
allies,de,uso_menos_igual,0.09240256462392393,-0.063521836895425,0.21932952386201376,0.2044,24,607
allies,pg,igual,0.09101341200947576,-0.0016839004469126988,0.18038488050469184,0.0552,24,684
allies,pg,uso,0.14273045064567885,-0.02874551168298848,0.3098151399647399,0.1008,24,684
allies,pg,US,0.13156175859686295,-0.005346861472315385,0.26031845045569546,0.058,24,684
allies,pg,CN,0.050465065422088534,-0.06652860987217488,0.16747390454832706,0.3928,24,684
allies,pg,US_menos_CN,0.08109669317477441,-0.09346137117938767,0.24916369353704362,0.3624,24,684
allies,pg,uso_menos_igual,0.0517170386362031,-0.08851921879428166,0.19524188232075965,0.4708,24,684
allies,control,igual,-0.07716101156419504,-0.2006501516727279,0.05085703515829216,0.2332,24,432
allies,control,uso,-0.15070433060619476,-0.3284148373795987,0.02528086152363023,0.1032,24,432
allies,control,US,-0.12517557747736777,-0.3198811697249197,0.07103275122208944,0.2104,24,432
allies,control,CN,-0.029146445651022312,-0.1717942495245764,0.10700969793472564,0.6712,24,432
allies,control,US_menos_CN,-0.09602913182634545,-0.31672175460163227,0.13667627883333877,0.4132,24,432
allies,control,uso_menos_igual,-0.07354331904199972,-0.22790495075848105,0.08251192126036054,0.3484,24,432
neutrals,he,igual,-0.04201905915721706,-0.21918261497507707,0.09649087852092951,0.4768,24,280
neutrals,he,uso,-0.12647409176504065,-0.4630639095771978,0.3696303884053946,0.532,24,280
neutrals,he,US,-0.0038344525844525856,-0.33253740847275326,0.2417126734133312,0.8288,24,280
neutrals,he,CN,-0.08020366572998151,-0.24577324410625495,0.0840620838390768,0.3288,24,280
neutrals,he,US_menos_CN,0.07636921314552893,-0.2969082810444024,0.3794064557387766,0.7976,24,280
neutrals,he,uso_menos_igual,-0.08445503260782358,-0.3298979682285562,0.35720584971938885,0.6564,24,280
neutrals,de,igual,0.02694576662037442,-0.05764399529953898,0.11156163462797486,0.5196,23,534
neutrals,de,uso,-0.10161399436732779,-0.2923642231766382,0.1113770363154427,0.3292,23,534
neutrals,de,US,0.10811217890396776,-0.032705771558866774,0.24127452151718048,0.1336,23,534
neutrals,de,CN,-0.047456777972919494,-0.15322723714303918,0.06132931203413255,0.4052,23,534
neutrals,de,US_menos_CN,0.15556895687688727,-0.021513443871931867,0.32833649491456723,0.0892,23,534
neutrals,de,uso_menos_igual,-0.12855976098770222,-0.2896644980044412,0.05663165037030577,0.158,23,534
neutrals,pg,igual,0.005030775213349663,-0.0943232440835768,0.10021190702844561,0.9268,24,571
neutrals,pg,uso,-0.018825200917705162,-0.17872783996661737,0.15138747312421588,0.8048,24,571
neutrals,pg,US,0.05410089762435647,-0.08693986665496964,0.19450039190914004,0.454,24,571
neutrals,pg,CN,-0.04403934719765715,-0.17097760902479767,0.07874447263453932,0.4708,24,571
neutrals,pg,US_menos_CN,0.09814024482201361,-0.07765755750919506,0.27706605355376057,0.274,24,571
neutrals,pg,uso_menos_igual,-0.023855976131054824,-0.1586550652536403,0.12401267696209527,0.724,24,571
neutrals,control,igual,0.09900216782010259,-0.03337831207800683,0.2225171119264055,0.1284,24,379
neutrals,control,uso,-0.0512588514507554,-0.2564839323467764,0.1750928591542449,0.634,24,379
neutrals,control,US,0.054741420859841905,-0.14524157159847947,0.2387950373428314,0.5504,24,379
neutrals,control,CN,0.1432629147803633,-0.007195827537770978,0.2935096169101041,0.064,24,379
neutrals,control,US_menos_CN,-0.08852149392052139,-0.317516869795235,0.13458510670136203,0.4444,24,379
neutrals,control,uso_menos_igual,-0.150261019270858,-0.33292229950187313,0.04106115220882071,0.1196,24,379
