dyad,mode,model,origin,weight,n_discordant,bias,sd_boot,variance_share
us_cn,he,gemini-3.1-flash-lite,US,0.013293906390171605,11,-0.8181818181818182,0.18629136187776488,0.0058846004757929045
us_cn,he,gemma-4-31b,US,0.010514902014837953,4,0.5,0.4945594875593103,0.009440383052773223
us_cn,he,gpt-5.6-luna,US,0.32216222099661074,2,-1.0,0.0,0.0
us_cn,he,gpt-5.6-sol,US,0.05012554113767163,4,0.0,0.5848783587295643,0.16211850607874256
us_cn,he,gpt-5.6-terra,US,0.017013239322821918,2,-1.0,0.0,0.0
us_cn,he,grok-4.3,US,0.0018280348217559659,14,-0.2857142857142857,0.2643346825628376,-0.00026652153759672644
us_cn,he,haiku-4.5,US,0.0069346019132027065,17,0.29411764705882354,0.2390304337408436,0.002730541390984711
us_cn,he,inkling,US,0.007421029342331267,6,-0.6666666666666666,0.3355007103291664,0.00039920290955069884
us_cn,he,nemotron-3-ultra,US,0.12381987964502225,11,0.09090909090909091,0.3145518817175982,0.2819974118368354
us_cn,he,nemotron-3.5-lightning,US,0.02751719262038432,6,0.0,0.4530483715265211,0.007274793490699828
us_cn,he,nova-2-lite,US,3.871364708436154e-05,36,-0.6666666666666666,0.1268635930480374,-2.0814424066259133e-06
us_cn,he,sonnet-5,US,0.03777814797175393,5,0.2,0.4991464478796866,0.08222100730432792
us_cn,he,deepseek-v4-pro,CN,0.030566959312356673,18,-0.1111111111111111,0.2393635122293905,0.006259387181425759
us_cn,he,glm-5.2,CN,0.07159647257735942,13,-0.23076923076923078,0.28318628856852,0.06383838979597484
us_cn,he,hy3,CN,0.15795948265869716,19,0.47368421052631576,0.20916634445017823,0.21926136356756087
us_cn,he,kimi-k2.6,CN,0.005098963860769263,27,-0.25925925925925924,0.18949611453642434,-0.0008828993509628085
us_cn,he,kimi-k3,CN,0.04580039859542548,6,0.0,0.4541840638094804,0.11222150535893974
us_cn,he,ling-3.0-flash,CN,0.0027308449843849877,11,0.09090909090909091,0.3141145556557903,-0.0008513319457740339
us_cn,he,mimo-v2.5-pro,CN,0.01012565258054702,7,-0.14285714285714285,0.408598509765303,0.006068665559838586
us_cn,he,minimax-m3,CN,0.044048493822302616,18,0.1111111111111111,0.23812678532872428,0.04197251135617275
us_cn,he,qwen3.7-plus,CN,0.0022970396533961712,17,-0.29411764705882354,0.24182527793388156,0.0007664973048776174
us_cn,he,qwen3.8-27b,CN,0.0061210506414150654,22,-0.45454545454545453,0.1911997329007287,0.0005374324754286834
us_cn,he,qwen3.8-flash,CN,0.00516239460318982,11,0.09090909090909091,0.31607590248167855,-0.0009738828793170118
us_cn,he,seed-2-1-turbo,CN,4.483688650768503e-05,7,-0.14285714285714285,0.4095743640830137,-1.548198386799922e-05
us_cn,de,gemini-3.1-flash-lite,US,0.013293906390171605,11,-0.8181818181818182,0.1826016604098068,0.0008840887526473378
us_cn,de,gemma-4-31b,US,0.010514902014837953,9,0.7777777777777778,0.2198530283899396,0.0006427937373078223
us_cn,de,gpt-5.6-luna,US,0.32216222099661074,9,0.3333333333333333,0.33670862816655883,0.8728653407552205
us_cn,de,gpt-5.6-sol,US,0.05012554113767163,21,0.6190476190476191,0.17542642134995345,-0.013636560707945609
us_cn,de,gpt-5.6-terra,US,0.017013239322821918,12,0.6666666666666666,0.22137720157965945,0.00783242150003353
us_cn,de,grok-4.3,US,0.0018280348217559659,30,-0.06666666666666667,0.1847479599916351,-5.0774746917196304e-05
us_cn,de,haiku-4.5,US,0.0069346019132027065,22,0.18181818181818182,0.21303480500673788,-0.0005528131372396381
us_cn,de,inkling,US,0.007421029342331267,22,0.45454545454545453,0.19491148125653185,0.0008662859487214079
us_cn,de,nemotron-3-ultra,US,0.12381987964502225,30,-0.26666666666666666,0.17920867783215003,0.04757415985639955
us_cn,de,nemotron-3.5-lightning,US,0.02751719262038432,14,0.42857142857142855,0.24933931674601376,-0.0016735340139705992
us_cn,de,nova-2-lite,US,3.871364708436154e-05,32,-0.5625,0.15210765698133916,-1.6530780253140372e-06
us_cn,de,sonnet-5,US,0.03777814797175393,26,0.5384615384615384,0.17075112891148617,0.0016424472885195741
us_cn,de,deepseek-v4-pro,CN,0.030566959312356673,23,0.21739130434782608,0.20960055823402673,0.0018917098773148801
us_cn,de,glm-5.2,CN,0.07159647257735942,43,-0.16279069767441862,0.15325445245237743,0.01673855491123993
us_cn,de,hy3,CN,0.15795948265869716,37,0.2972972972972973,0.1589107820991258,0.0422614057205112
us_cn,de,kimi-k2.6,CN,0.005098963860769263,42,0.047619047619047616,0.15488625034487016,0.0007316358197651478
us_cn,de,kimi-k3,CN,0.04580039859542548,20,0.3,0.225354223097084,0.0194559814321801
us_cn,de,ling-3.0-flash,CN,0.0027308449843849877,36,0.3333333333333333,0.1574558031556579,0.00027758762119220676
us_cn,de,mimo-v2.5-pro,CN,0.01012565258054702,12,0.0,0.30413909425408264,0.0012709306513788694
us_cn,de,minimax-m3,CN,0.044048493822302616,51,0.0196078431372549,0.13948013917420327,-6.375935565876649e-05
us_cn,de,qwen3.7-plus,CN,0.0022970396533961712,35,-0.3142857142857143,0.16286650075018727,0.000203065564963247
us_cn,de,qwen3.8-27b,CN,0.0061210506414150654,38,0.0,0.16456370396250594,0.00029132023301551576
us_cn,de,qwen3.8-flash,CN,0.00516239460318982,27,0.18518518518518517,0.18906275562335623,0.0005443119517071236
us_cn,de,seed-2-1-turbo,CN,4.483688650768503e-05,19,-0.47368421052631576,0.20718054413747447,5.05341764024955e-06
us_cn,pg,gemini-3.1-flash-lite,US,0.013293906390171605,5,-0.2,0.4985882000768503,0.013201725729057314
us_cn,pg,gemma-4-31b,US,0.010514902014837953,8,0.0,0.38546168916596996,0.004164656577836687
us_cn,pg,gpt-5.6-luna,US,0.32216222099661074,21,0.23809523809523808,0.21902144782979477,0.6819720735897352
us_cn,pg,gpt-5.6-sol,US,0.05012554113767163,25,0.52,0.17206029262176598,0.01605371900441243
us_cn,pg,gpt-5.6-terra,US,0.017013239322821918,28,0.2857142857142857,0.18295720066286114,0.004091817370079281
us_cn,pg,grok-4.3,US,0.0018280348217559659,21,0.3333333333333333,0.2094575992216025,9.730903908203672e-05
us_cn,pg,haiku-4.5,US,0.0069346019132027065,41,0.2682926829268293,0.1489881697919464,0.00012440639046459046
us_cn,pg,inkling,US,0.007421029342331267,32,0.1875,0.17409171106238316,0.0003394262352021818
us_cn,pg,nemotron-3-ultra,US,0.12381987964502225,25,0.28,0.19759583577800385,0.09930134648706489
us_cn,pg,nemotron-3.5-lightning,US,0.02751719262038432,15,0.3333333333333333,0.25315290943206187,0.018909162461246663
us_cn,pg,nova-2-lite,US,3.871364708436154e-05,33,-0.5757575757575758,0.14500131600579486,-6.292553728039525e-06
us_cn,pg,sonnet-5,US,0.03777814797175393,28,0.21428571428571427,0.18591262777024395,0.012945777138586445
us_cn,pg,deepseek-v4-pro,CN,0.030566959312356673,35,0.2571428571428571,0.16237030684950277,0.009866004048822763
us_cn,pg,glm-5.2,CN,0.07159647257735942,31,0.03225806451612903,0.1853237423435054,0.014644228403981571
us_cn,pg,hy3,CN,0.15795948265869716,27,0.1111111111111111,0.19601365845595775,0.1005757891277384
us_cn,pg,kimi-k2.6,CN,0.005098963860769263,37,0.13513513513513514,0.16543915466624798,-0.0007295157408532594
us_cn,pg,kimi-k3,CN,0.04580039859542548,27,0.25925925925925924,0.18857587160019923,0.021840942261675104
us_cn,pg,ling-3.0-flash,CN,0.0027308449843849877,25,0.6,0.16127213135551963,-4.3991116727065086e-05
us_cn,pg,mimo-v2.5-pro,CN,0.01012565258054702,16,-0.625,0.19990003711487653,0.0032968225515207375
us_cn,pg,minimax-m3,CN,0.044048493822302616,60,0.2,0.12712945514402077,-0.0022834324423162506
us_cn,pg,qwen3.7-plus,CN,0.0022970396533961712,32,-0.375,0.16392509309352377,3.774995214952782e-05
us_cn,pg,qwen3.8-27b,CN,0.0061210506414150654,38,-0.5263157894736842,0.1393755113591692,0.000824936992140988
us_cn,pg,qwen3.8-flash,CN,0.00516239460318982,34,0.29411764705882354,0.16978607912568958,0.000777458946217333
us_cn,pg,seed-2-1-turbo,CN,4.483688650768503e-05,28,-0.07142857142857142,0.19005450438063004,-2.1204533896558895e-06
us_cn,control,gemini-3.1-flash-lite,US,0.013293906390171605,2,0.0,0.7579461490863828,0.03364077089255096
us_cn,control,gemma-4-31b,US,0.010514902014837953,12,0.6666666666666666,0.2274738601411931,-0.0014609696332104555
us_cn,control,gpt-5.6-luna,US,0.32216222099661074,24,0.16666666666666666,0.20363946401543945,0.586663066440167
us_cn,control,gpt-5.6-sol,US,0.05012554113767163,13,-0.38461538461538464,0.26278554680434946,0.012339655568024643
us_cn,control,gpt-5.6-terra,US,0.017013239322821918,17,-0.058823529411764705,0.2467775150144124,0.00040631640812415187
us_cn,control,grok-4.3,US,0.0018280348217559659,25,-0.2,0.20007304652761926,0.00041035906460250613
us_cn,control,haiku-4.5,US,0.0069346019132027065,17,-0.058823529411764705,0.24601429592624333,0.002152370267935253
us_cn,control,inkling,US,0.007421029342331267,13,0.5384615384615384,0.24285163309186647,-0.0021540615743582316
us_cn,control,nemotron-3-ultra,US,0.12381987964502225,15,0.06666666666666667,0.263857952945883,0.14632765894730193
us_cn,control,nemotron-3.5-lightning,US,0.02751719262038432,10,-0.2,0.33050293160469574,0.009382707955072
us_cn,control,nova-2-lite,US,3.871364708436154e-05,29,-0.7241379310344828,0.13198855052142613,1.0436717467290858e-06
us_cn,control,sonnet-5,US,0.03777814797175393,22,0.5454545454545454,0.18218668757032364,0.02325004237318008
us_cn,control,deepseek-v4-pro,CN,0.030566959312356673,23,-0.21739130434782608,0.20783242295600265,-0.0023226280582285255
us_cn,control,glm-5.2,CN,0.07159647257735942,31,-0.03225806451612903,0.18103677429696466,0.009703024231423031
us_cn,control,hy3,CN,0.15795948265869716,17,0.29411764705882354,0.242756711480689,0.16374224022208403
us_cn,control,kimi-k2.6,CN,0.005098963860769263,23,-0.043478260869565216,0.2132723378011507,-0.0014815111214069826
us_cn,control,kimi-k3,CN,0.04580039859542548,20,-0.3,0.2236994731878641,0.007593294685073445
us_cn,control,ling-3.0-flash,CN,0.0027308449843849877,20,-0.1,0.22682973892574768,0.001323730770966258
us_cn,control,mimo-v2.5-pro,CN,0.01012565258054702,18,0.0,0.2417143212816974,0.005616758267120047
us_cn,control,minimax-m3,CN,0.044048493822302616,35,0.02857142857142857,0.17204069152589005,0.0018957978102929992
us_cn,control,qwen3.7-plus,CN,0.0022970396533961712,19,-0.15789473684210525,0.2327291629080937,0.0006381322205357032
us_cn,control,qwen3.8-27b,CN,0.0061210506414150654,23,-0.30434782608695654,0.20433231086994658,0.003068532643715582
us_cn,control,qwen3.8-flash,CN,0.00516239460318982,19,0.15789473684210525,0.23618971317077142,-0.0007527493540202966
us_cn,control,seed-2-1-turbo,CN,4.483688650768503e-05,19,0.05263157894736842,0.23632024505387186,1.6417301304552985e-05
allies,he,gemini-3.1-flash-lite,US,0.013293906390171605,9,0.3333333333333333,0.3343119617417905,0.002271660283033422
allies,he,gemma-4-31b,US,0.010514902014837953,5,0.6,0.39458925149523644,0.00128949280939306
allies,he,gpt-5.6-luna,US,0.32216222099661074,5,-0.2,0.4895125531375341,0.7840448122071132
allies,he,gpt-5.6-sol,US,0.05012554113767163,2,0.0,0.7619587578619832,0.06959217414330121
allies,he,gpt-5.6-terra,US,0.017013239322821918,5,0.2,0.49951837719215975,0.007787034769382508
allies,he,grok-4.3,US,0.0018280348217559659,24,-0.08333333333333333,0.20863077246037856,0.00028757922128387566
allies,he,haiku-4.5,US,0.0069346019132027065,21,0.047619047619047616,0.22087786641820406,0.0009097550624752964
allies,he,inkling,US,0.007421029342331267,10,0.2,0.32648088024549876,0.0007679080459485897
allies,he,nemotron-3-ultra,US,0.12381987964502225,18,-0.3333333333333333,0.2329670040720162,0.02441902696005277
allies,he,nemotron-3.5-lightning,US,0.02751719262038432,9,-0.1111111111111111,0.35581275308930904,0.011297774396985432
allies,he,nova-2-lite,US,3.871364708436154e-05,44,-0.36363636363636365,0.14168184898613123,2.8544367477388687e-06
allies,he,sonnet-5,US,0.03777814797175393,2,1.0,0.0,0.0
allies,he,deepseek-v4-pro,CN,0.030566959312356673,11,-0.2727272727272727,0.30325175020073486,0.006234502907391556
allies,he,glm-5.2,CN,0.07159647257735942,23,-0.21739130434782608,0.20861926771620665,0.015487319091800877
allies,he,hy3,CN,0.15795948265869716,14,0.14285714285714285,0.273355131483625,0.0532603843687115
allies,he,kimi-k2.6,CN,0.005098963860769263,23,-0.043478260869565216,0.21309247383542082,-0.0007176911350409884
allies,he,kimi-k3,CN,0.04580039859542548,11,0.2727272727272727,0.3060576996060816,0.013686829625094809
allies,he,ling-3.0-flash,CN,0.0027308449843849877,15,0.06666666666666667,0.26866997924229175,0.00013116792943619068
allies,he,mimo-v2.5-pro,CN,0.01012565258054702,11,-0.09090909090909091,0.31359181009359605,0.0034977535665431225
allies,he,minimax-m3,CN,0.044048493822302616,18,0.2222222222222222,0.23653451255930386,0.004886984958192938
allies,he,qwen3.7-plus,CN,0.0022970396533961712,19,-0.15789473684210525,0.22926214151117588,0.0003332073046504654
allies,he,qwen3.8-27b,CN,0.0061210506414150654,22,-0.18181818181818182,0.20942553839070702,-0.00025424616646695054
allies,he,qwen3.8-flash,CN,0.00516239460318982,15,-0.2,0.26394112363298233,0.0007961135580332472
allies,he,seed-2-1-turbo,CN,4.483688650768503e-05,12,-0.6666666666666666,0.22691784870400322,-1.2398344065733424e-05
allies,de,gemini-3.1-flash-lite,US,0.013293906390171605,8,0.25,0.3739310839966437,0.007247529431538057
allies,de,gemma-4-31b,US,0.010514902014837953,8,0.75,0.24875616280204407,0.0003732005132764386
allies,de,gpt-5.6-luna,US,0.32216222099661074,12,0.6666666666666666,0.22655363610612098,0.6828410530775912
allies,de,gpt-5.6-sol,US,0.05012554113767163,18,0.3333333333333333,0.23085605213008856,0.05074048137557212
allies,de,gpt-5.6-terra,US,0.017013239322821918,12,0.16666666666666666,0.2955215643230864,0.0010500828681802277
allies,de,grok-4.3,US,0.0018280348217559659,28,0.0,0.19433203125947454,-7.048001412215721e-05
allies,de,haiku-4.5,US,0.0069346019132027065,26,0.38461538461538464,0.1840027009965188,0.0012008591461397126
allies,de,inkling,US,0.007421029342331267,21,0.8095238095238095,0.1309597050002165,-0.00035497810860848444
allies,de,nemotron-3-ultra,US,0.12381987964502225,34,-0.17647058823529413,0.16922369084645256,0.07068219178430343
allies,de,nemotron-3.5-lightning,US,0.02751719262038432,8,-0.25,0.37415238753544616,0.0185224393210307
allies,de,nova-2-lite,US,3.871364708436154e-05,38,0.0,0.16627252376941987,-1.0071196943471701e-06
allies,de,sonnet-5,US,0.03777814797175393,27,0.25925925925925924,0.18877072635523892,0.025075021060321338
allies,de,deepseek-v4-pro,CN,0.030566959312356673,27,0.037037037037037035,0.19689237689843045,0.0019584061405719276
allies,de,glm-5.2,CN,0.07159647257735942,38,-0.05263157894736842,0.16383048849922158,0.020082567882402178
allies,de,hy3,CN,0.15795948265869716,40,0.35,0.14987948819504376,0.07601046353904915
allies,de,kimi-k2.6,CN,0.005098963860769263,47,0.3617021276595745,0.1369002952238196,0.0004373851878341009
allies,de,kimi-k3,CN,0.04580039859542548,18,0.1111111111111111,0.24041625340225908,0.02827714753711677
allies,de,ling-3.0-flash,CN,0.0027308449843849877,25,0.04,0.2064551754406117,0.00031562454144137337
allies,de,mimo-v2.5-pro,CN,0.01012565258054702,13,0.23076923076923078,0.2835261611999791,0.008690468739095904
allies,de,minimax-m3,CN,0.044048493822302616,37,0.24324324324324326,0.16163635645799077,0.0072148970367317145
allies,de,qwen3.7-plus,CN,0.0022970396533961712,34,0.0,0.17199537450114474,5.0962695518745486e-05
allies,de,qwen3.8-27b,CN,0.0061210506414150654,30,0.06666666666666667,0.18453276527382959,-0.0007072587265456327
allies,de,qwen3.8-flash,CN,0.00516239460318982,35,0.14285714285714285,0.17314289059719495,0.00035871137474846235
allies,de,seed-2-1-turbo,CN,4.483688650768503e-05,23,0.4782608695652174,0.18598964863108522,4.230716507511955e-06
allies,pg,gemini-3.1-flash-lite,US,0.013293906390171605,4,0.5,0.49734245758462414,0.008140409562628405
allies,pg,gemma-4-31b,US,0.010514902014837953,8,-0.25,0.370773268302649,0.003406313225238954
