fit,term,estimate,se,z,p,sd_prompt,sd_model,sd_model_slope,cor_model_int_slope,slope_name,singular,messages,optimizer,formula_used,variant,loglik,nobs,n_prompts,n_models,term_interest,error,set,mode,lme4_version,r_version
side__geo_he,(Intercept),-3.79277498810021,0.288859434753553,-13.1301752055843,2.21144282331059e-39,1.96316366713842,1.18215965482918,0.185892795237082,,side,False,,bobyqa,refuse ~ side + dyad + (1 + side || model) + (1 | prompt_id),1,-3465.89550824275,18431,192,24,side,,geo,he,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side__geo_he,side,-0.159211366266611,0.0785482286929009,-2.02692497228777,0.0426700862128759,1.96316366713842,1.18215965482918,0.185892795237082,,side,False,,bobyqa,refuse ~ side + dyad + (1 + side || model) + (1 | prompt_id),1,-3465.89550824275,18431,192,24,side,,geo,he,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side__geo_he,dyadus_cn,-0.128830394454385,0.0655648898405306,-1.96492962571479,0.0494223832697626,1.96316366713842,1.18215965482918,0.185892795237082,,side,False,,bobyqa,refuse ~ side + dyad + (1 + side || model) + (1 | prompt_id),1,-3465.89550824275,18431,192,24,side,,geo,he,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side_origin_US__geo_he,(Intercept),-4.07348904587221,0.371446480176961,-10.9665571307381,5.5339642534993395e-28,1.96264293287152,1.14988769073015,0.176972389042713,,side,False,,bobyqa,refuse ~ side * cn + dyad + (1 + side || model) + (1 | prompt_id),1,-3465.09622897159,18431,192,24,side:cn,,geo,he,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side_origin_US__geo_he,side,-0.199709585165976,0.11732630402082,-1.70217230341234,0.0887230731205168,1.96264293287152,1.14988769073015,0.176972389042713,,side,False,,bobyqa,refuse ~ side * cn + dyad + (1 + side || model) + (1 | prompt_id),1,-3465.09622897159,18431,192,24,side:cn,,geo,he,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side_origin_US__geo_he,cn,0.559503827134213,0.476361690329664,1.17453573302045,0.240180507962635,1.96264293287152,1.14988769073015,0.176972389042713,,side,False,,bobyqa,refuse ~ side * cn + dyad + (1 + side || model) + (1 | prompt_id),1,-3465.09622897159,18431,192,24,side:cn,,geo,he,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side_origin_US__geo_he,dyadus_cn,-0.128821959128413,0.0655631715241972,-1.96485246417449,0.049431315904449,1.96264293287152,1.14988769073015,0.176972389042713,,side,False,,bobyqa,refuse ~ side * cn + dyad + (1 + side || model) + (1 | prompt_id),1,-3465.09622897159,18431,192,24,side:cn,,geo,he,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side_origin_US__geo_he,side:cn,0.0698417532836062,0.156230429171129,0.447043214655092,0.65484385814464,1.96264293287152,1.14988769073015,0.176972389042713,,side,False,,bobyqa,refuse ~ side * cn + dyad + (1 + side || model) + (1 | prompt_id),1,-3465.09622897159,18431,192,24,side:cn,,geo,he,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side_origin_CN__geo_he,(Intercept),-3.51398537071486,0.368900019631135,-9.52557653487932,1.6412832523127001e-21,1.96264370269856,1.14988685109673,0.176972207982119,,side,False,,bobyqa,refuse ~ side * us + dyad + (1 + side || model) + (1 | prompt_id),1,-3465.09622897167,18431,192,24,side,,geo,he,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side_origin_CN__geo_he,side,-0.129867834071884,0.103193791620904,-1.2584849537167,0.208216425348543,1.96264370269856,1.14988685109673,0.176972207982119,,side,False,,bobyqa,refuse ~ side * us + dyad + (1 + side || model) + (1 | prompt_id),1,-3465.09622897167,18431,192,24,side,,geo,he,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side_origin_CN__geo_he,us,-0.559503802639837,0.476361352213688,-1.17453651527308,0.240180194832511,1.96264370269856,1.14988685109673,0.176972207982119,,side,False,,bobyqa,refuse ~ side * us + dyad + (1 + side || model) + (1 | prompt_id),1,-3465.09622897167,18431,192,24,side,,geo,he,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side_origin_CN__geo_he,dyadus_cn,-0.128821960585786,0.0655631718951815,-1.96485247528505,0.0494313146181332,1.96264370269856,1.14988685109673,0.176972207982119,,side,False,,bobyqa,refuse ~ side * us + dyad + (1 + side || model) + (1 | prompt_id),1,-3465.09622897167,18431,192,24,side,,geo,he,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side_origin_CN__geo_he,side:us,-0.0698418070569704,0.156230386422757,-0.44704368116955,0.654843521316194,1.96264370269856,1.14988685109673,0.176972207982119,,side,False,,bobyqa,refuse ~ side * us + dyad + (1 + side || model) + (1 | prompt_id),1,-3465.09622897167,18431,192,24,side,,geo,he,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side__geo_de,(Intercept),-2.10038360258275,0.353495868969294,-5.94174865100105,2.8199758055896704e-09,1.90841787639391,1.58170464574187,0.224768365553131,,side,False,,bobyqa,refuse ~ side + dyad + (1 + side || model) + (1 | prompt_id),1,-6258.15176305359,18427,192,24,side,,geo,de,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side__geo_de,side,0.184539397069907,0.0668676763498459,2.75976984910337,0.0057842094848268,1.90841787639391,1.58170464574187,0.224768365553131,,side,False,,bobyqa,refuse ~ side + dyad + (1 + side || model) + (1 | prompt_id),1,-6258.15176305359,18427,192,24,side,,geo,de,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side__geo_de,dyadus_cn,-0.0257905878541716,0.0463051989006077,-0.556969594483981,0.577548203490497,1.90841787639391,1.58170464574187,0.224768365553131,,side,False,,bobyqa,refuse ~ side + dyad + (1 + side || model) + (1 | prompt_id),1,-6258.15176305359,18427,192,24,side,,geo,de,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side_origin_US__geo_de,(Intercept),-2.52929721377722,0.463776988973244,-5.45369277457433,4.93344084325589e-08,1.90805314432516,1.52241347136016,0.223895765519599,,side,False,,bobyqa,refuse ~ side * cn + dyad + (1 + side || model) + (1 | prompt_id),1,-6256.91292988725,18427,192,24,side:cn,,geo,de,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side_origin_US__geo_de,side,0.243520062832902,0.100632825812602,2.41988695901656,0.0155253325118837,1.90805314432516,1.52241347136016,0.223895765519599,,side,False,,bobyqa,refuse ~ side * cn + dyad + (1 + side || model) + (1 | prompt_id),1,-6256.91292988725,18427,192,24,side:cn,,geo,de,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side_origin_US__geo_de,cn,0.856453910773796,0.623904498740439,1.37273238532954,0.169835557404985,1.90805314432516,1.52241347136016,0.223895765519599,,side,False,,bobyqa,refuse ~ side * cn + dyad + (1 + side || model) + (1 | prompt_id),1,-6256.91292988725,18427,192,24,side:cn,,geo,de,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side_origin_US__geo_de,dyadus_cn,-0.0257923315095586,0.0463058641632188,-0.556999247841394,0.577527943091783,1.90805314432516,1.52241347136016,0.223895765519599,,side,False,,bobyqa,refuse ~ side * cn + dyad + (1 + side || model) + (1 | prompt_id),1,-6256.91292988725,18427,192,24,side:cn,,geo,de,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side_origin_US__geo_de,side:cn,-0.105311327021323,0.134437706798546,-0.783346648266852,0.43342357683123,1.90805314432516,1.52241347136016,0.223895765519599,,side,False,,bobyqa,refuse ~ side * cn + dyad + (1 + side || model) + (1 | prompt_id),1,-6256.91292988725,18427,192,24,side:cn,,geo,de,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side_origin_CN__geo_de,(Intercept),-1.67284337338976,0.462719350703391,-3.61524403690235,0.0003000648245418,1.90805403572933,1.52241376703822,0.223895154309672,,side,False,,bobyqa,refuse ~ side * us + dyad + (1 + side || model) + (1 | prompt_id),1,-6256.91292988715,18427,192,24,side,,geo,de,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side_origin_CN__geo_de,side,0.138208747217727,0.0891740752257278,1.54987586771017,0.121171312854596,1.90805403572933,1.52241376703822,0.223895154309672,,side,False,,bobyqa,refuse ~ side * us + dyad + (1 + side || model) + (1 | prompt_id),1,-6256.91292988715,18427,192,24,side,,geo,de,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side_origin_CN__geo_de,us,-0.856453907827523,0.62390461902081,-1.37273211596299,0.169835641175812,1.90805403572933,1.52241376703822,0.223895154309672,,side,False,,bobyqa,refuse ~ side * us + dyad + (1 + side || model) + (1 | prompt_id),1,-6256.91292988715,18427,192,24,side,,geo,de,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side_origin_CN__geo_de,dyadus_cn,-0.0257923320341714,0.0463058646543306,-0.556999253263252,0.577527939387377,1.90805403572933,1.52241376703822,0.223895154309672,,side,False,,bobyqa,refuse ~ side * us + dyad + (1 + side || model) + (1 | prompt_id),1,-6256.91292988715,18427,192,24,side,,geo,de,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side_origin_CN__geo_de,side:us,0.105311209671541,0.134437526746227,0.783346824509301,0.433423473364181,1.90805403572933,1.52241376703822,0.223895154309672,,side,False,,bobyqa,refuse ~ side * us + dyad + (1 + side || model) + (1 | prompt_id),1,-6256.91292988715,18427,192,24,side,,geo,de,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
