iso3,name,axis_us,axis_cn,net_lean_us,cuadrante,d2_pool,index_1d,index_1d_extremes,lambda,s_us,s_cn,dist_to_curve,index_1d_df4,index_1d_df6
JPN,Japan,0.677,-0.2498,0.9268,rival de China,ally_of_us,0.5673848894840806,1.0,-0.0,0.757684790407348,-0.218197028818003,0.0866532353152941,0.5291071749278894,0.4823893290722783
LTU,Lithuania,0.5891,-0.2001,0.7892,rival de China,ally_of_us,0.508209497338026,0.9244915622919743,-0.0783344698607537,0.729115724468162,-0.145258029375128,0.150373018990654,0.46602566688246194,0.4823893290722783
CAN,Canada,0.8568,-0.0676,0.9244,rival de China,ally_of_us,0.48894749052830394,0.8999130341474773,-0.103832891369641,0.719816292344252,-0.121515871477883,0.147212286716616,0.5291071749278894,0.4079614389072928
PHL,Philippines,0.4142,-0.24,0.6542,rival de China,ally_of_us,0.4865379075607893,0.8968383803292848,-0.107022619354542,0.718634400530893,-0.118553187498926,0.327764599206923,0.38499887062088234,0.4823893290722783
NLD,Netherlands,0.6142,-0.0474,0.6616,rival de China,ally_of_us,0.40566506774247313,0.7936437657060238,-0.214079468554042,0.676433423793138,-0.0201649436742489,0.0679319315939356,0.39438675323049405,0.3856518955371449
GBR,United Kingdom,0.689,0.0269,0.662,pro-EEUU,ally_of_us,0.3785524915917013,0.7590478265302976,-0.249970219798884,0.660872973922469,0.0121772644250992,0.0317472603349415,0.3952497790889661,0.34432802248955086
CZE,Czechia,0.5684,-0.0311,0.5995,rival de China,ally_of_us,0.3751214153356959,0.7546697362743238,-0.254512167554847,0.65876665372033,0.0162012804071692,0.101997760920364,0.35806792545870886,0.3674856316013276
FSM,Micronesia,0.7433,0.0957,0.6476,pro-EEUU,ally_of_us,0.35614712319073333,0.7304583351407985,-0.279629721697795,0.646497057368706,0.0381181353706932,0.112634279135019,0.3885579023583797,0.3157445728882428
ISR,Israel,0.6678,0.077,0.5908,pro-EEUU,ally_of_us,0.34038134434067885,0.7103410315278436,-0.300499949733001,0.635514044262683,0.0558646798612251,0.0385886601897565,0.35661315276648076,0.309747366855446
PLW,Palau,0.709,0.1551,0.554,pro-EEUU,ally_of_us,0.3134580573490978,0.6759866273579234,-0.336140126112213,0.614736892151745,0.0848220989882863,0.117577705675115,0.3391659487146795,0.2811453135103464
MKD,North Macedonia,0.625,0.1008,0.5241,pro-EEUU,ally_of_us,0.30841546626971267,0.6695522268310112,-0.342815345060543,0.610747016913165,0.0901736822669719,0.0177782495042927,0.31986701420255387,0.2847102195821132
KOR,South Korea,0.6758,0.1462,0.5296,pro-EEUU,ally_of_us,0.3070666234494937,0.6678310888651309,-0.344600899552291,0.609649226714156,0.0915818944391824,0.0857849768978677,0.3256014056957687,0.2789817179990721
ISL,Iceland,0.6687,0.1501,0.5186,pro-EEUU,ally_of_us,0.3020312608853993,0.6614059120015825,-0.351266549625914,0.605394890935313,0.0967133189962471,0.0828110774129183,0.32001291176307495,0.27541963847501016
