variant,mode,models,n_points,n_countries,intercept,slope_pp_per_unit
A_usa_user,pg,all,1512,63,30.50024137223307,-3.2047014619149365
A_usa_user,pg,US,756,63,28.74470417321515,-2.841864131009896
A_usa_user,pg,CN,756,63,32.255778571251106,-3.5675387928199567
A_usa_user,control,all,1512,63,23.298481065745296,-1.9601964247894943
A_usa_user,control,US,756,63,24.14739890622971,-0.37641109022717817
A_usa_user,control,CN,756,63,22.449563225260945,-3.5439817593517757
B_china_user,pg,all,1512,63,34.05878088514302,-4.019600111526037
B_china_user,pg,US,756,63,31.579944313898103,-2.4159602901593518
B_china_user,pg,CN,756,63,36.53761745638802,-5.6232399328926945
B_china_user,control,all,1512,63,26.019252327192387,-2.725946260982057
B_china_user,control,US,756,63,26.531295145503663,-0.6949301149778531
B_china_user,control,CN,756,63,25.507209508881193,-4.756962406986239
C_usa_target,pg,all,1512,63,28.52321637513176,-4.306320489864713
C_usa_target,pg,US,756,63,26.549032351295324,-3.944643945812666
C_usa_target,pg,CN,756,63,30.497400398968278,-4.667997033916727
C_usa_target,control,all,1512,63,23.121130860445323,-3.783215374914373
C_usa_target,control,US,756,63,23.927618666875208,-2.257765614824032
C_usa_target,control,CN,756,63,22.314643054015537,-5.308665135004688
D_china_target,pg,all,1512,63,32.51468677311162,-1.2250350524999734
D_china_target,pg,US,756,63,29.536449775846236,-0.5300536697497046
D_china_target,pg,CN,756,63,35.492923770377104,-1.9200164352502058
D_china_target,control,all,1512,63,26.03206988977309,-3.214355446931455
D_china_target,control,US,756,63,25.612212212649695,-1.5232024134360007
D_china_target,control,CN,756,63,26.45192756689654,-4.905508480426877
E_allies,pg,all,1008,42,32.66258818342153,0.4693688494088512
E_allies,pg,US,504,42,30.64484126984125,0.47714768723052253
E_allies,pg,CN,504,42,34.68033509700174,0.46159001158718027
E_allies,control,all,1008,42,25.531029541446213,-0.640107495792413
E_allies,control,US,504,42,25.740189594356245,-0.9335906801817022
E_allies,control,CN,504,42,25.32186948853614,-0.3466243114031134
