fit,quantity,estimate,se,z,p,sd_model_slope,sd_model,sd_prompt,sd_country1,sd_country2,singular,messages,optimizer,variant_formula,formula_used,nobs,n_countries,seconds,variant,mode,lme4_version,r_version
A_usa_user__pg,pendiente (24 modelos),-0.449503773005917,0.0763197905562431,-5.88974065219243,3.868021604294951e-09,0.0,1.59081121170005,2.34923533042457,0.0,,True,,bobyqa,1,refuse ~ x * origin_c + ((1 | model) + (0 + x | model)) + (1 |     prompt_id) + (1 | country1),13818,63,4.87,A_usa_user,pg,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
A_usa_user__pg,"pendiente, modelos US",-0.440036977245986,0.110679228105296,-3.97578646670135,7.01470468570968e-05,0.0,1.59081121170005,2.34923533042457,0.0,,True,,bobyqa,1,refuse ~ x * origin_c + ((1 | model) + (0 + x | model)) + (1 |     prompt_id) + (1 | country1),13818,63,4.87,A_usa_user,pg,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
A_usa_user__pg,"pendiente, modelos CN",-0.458970568765847,0.101286461509505,-4.53141083147399,5.85910675802533e-06,0.0,1.59081121170005,2.34923533042457,0.0,,True,,bobyqa,1,refuse ~ x * origin_c + ((1 | model) + (0 + x | model)) + (1 |     prompt_id) + (1 | country1),13818,63,4.87,A_usa_user,pg,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
A_usa_user__pg,pendiente x origen (CN - US),-0.0189335915198609,0.147373118023627,-0.128473847698774,0.897773993209338,0.0,1.59081121170005,2.34923533042457,0.0,,True,,bobyqa,1,refuse ~ x * origin_c + ((1 | model) + (0 + x | model)) + (1 |     prompt_id) + (1 | country1),13818,63,4.87,A_usa_user,pg,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
A_usa_user__control,pendiente (24 modelos),-0.365573085238567,0.122104200467101,-2.99394356492318,0.0027539687880285,0.0,1.40973467131405,2.92953833166353,0.23347330544322,,True,,bobyqa,1,refuse ~ x * origin_c + ((1 | model) + (0 + x | model)) + (1 |     prompt_id) + (1 | country1),13820,63,17.05,A_usa_user,control,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
A_usa_user__control,"pendiente, modelos US",-0.185698966044015,0.149252277390406,-1.24419519280281,0.213427732582757,0.0,1.40973467131405,2.92953833166353,0.23347330544322,,True,,bobyqa,1,refuse ~ x * origin_c + ((1 | model) + (0 + x | model)) + (1 |     prompt_id) + (1 | country1),13820,63,17.05,A_usa_user,control,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
A_usa_user__control,"pendiente, modelos CN",-0.54544720443312,0.14624317964197,-3.72972747015261,0.0001916869883276,0.0,1.40973467131405,2.92953833166353,0.23347330544322,,True,,bobyqa,1,refuse ~ x * origin_c + ((1 | model) + (0 + x | model)) + (1 |     prompt_id) + (1 | country1),13820,63,17.05,A_usa_user,control,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
A_usa_user__control,pendiente x origen (CN - US),-0.359748238389105,0.166399749726953,-2.1619517996837,0.030621891659172,0.0,1.40973467131405,2.92953833166353,0.23347330544322,,True,,bobyqa,1,refuse ~ x * origin_c + ((1 | model) + (0 + x | model)) + (1 |     prompt_id) + (1 | country1),13820,63,17.05,A_usa_user,control,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
B_china_user__pg,pendiente (24 modelos),-0.507841698079654,0.0728847460450626,-6.96773640077814,3.22080964324424e-12,0.0,1.51966021432967,2.13015582838004,3.65787712781096e-07,,True,,bobyqa,1,refuse ~ x * origin_c + ((1 | model) + (0 + x | model)) + (1 |     prompt_id) + (1 | country1),13818,63,8.49,B_china_user,pg,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
B_china_user__pg,"pendiente, modelos US",-0.404234095324057,0.106721109328751,-3.78776137042228,0.0001520107401054,0.0,1.51966021432967,2.13015582838004,3.65787712781096e-07,,True,,bobyqa,1,refuse ~ x * origin_c + ((1 | model) + (0 + x | model)) + (1 |     prompt_id) + (1 | country1),13818,63,8.49,B_china_user,pg,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
B_china_user__pg,"pendiente, modelos CN",-0.61144930083525,0.0955793666716763,-6.3972939152823,1.5815472056871002e-10,0.0,1.51966021432967,2.13015582838004,3.65787712781096e-07,,True,,bobyqa,1,refuse ~ x * origin_c + ((1 | model) + (0 + x | model)) + (1 |     prompt_id) + (1 | country1),13818,63,8.49,B_china_user,pg,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
B_china_user__pg,pendiente x origen (CN - US),-0.207215205511193,0.140715586184413,-1.47258175963272,0.140863846172492,0.0,1.51966021432967,2.13015582838004,3.65787712781096e-07,,True,,bobyqa,1,refuse ~ x * origin_c + ((1 | model) + (0 + x | model)) + (1 |     prompt_id) + (1 | country1),13818,63,8.49,B_china_user,pg,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
B_china_user__control,pendiente (24 modelos),-0.400099457173641,0.091004764829892,-4.39646712918291,1.10027013976144e-05,0.0,1.51462601757557,2.74278144061333,0.0993475656854644,,True,,bobyqa,1,refuse ~ x * origin_c + ((1 | model) + (0 + x | model)) + (1 |     prompt_id) + (1 | country1),13820,63,13.02,B_china_user,control,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
B_china_user__control,"pendiente, modelos US",-0.183230964303355,0.125313464920684,-1.46218097488031,0.143691623671269,0.0,1.51462601757557,2.74278144061333,0.0993475656854644,,True,,bobyqa,1,refuse ~ x * origin_c + ((1 | model) + (0 + x | model)) + (1 |     prompt_id) + (1 | country1),13820,63,13.02,B_china_user,control,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
B_china_user__control,"pendiente, modelos CN",-0.616967950043926,0.117689294685761,-5.2423455480065,1.58548093757093e-07,0.0,1.51462601757557,2.74278144061333,0.0993475656854644,,True,,bobyqa,1,refuse ~ x * origin_c + ((1 | model) + (0 + x | model)) + (1 |     prompt_id) + (1 | country1),13820,63,13.02,B_china_user,control,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
B_china_user__control,pendiente x origen (CN - US),-0.433736985740571,0.161186228509582,-2.69090597721123,0.007125827470617,0.0,1.51462601757557,2.74278144061333,0.0993475656854644,,True,,bobyqa,1,refuse ~ x * origin_c + ((1 | model) + (0 + x | model)) + (1 |     prompt_id) + (1 | country1),13820,63,13.02,B_china_user,control,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
C_usa_target__pg,pendiente (24 modelos),-0.533073295311213,0.0864335791336886,-6.16743285022014,6.940757168925021e-10,0.0,1.43275980230292,2.27588422279283,0.114085811888785,,True,,bobyqa,1,refuse ~ x * origin_c + ((1 | model) + (0 + x | model)) + (1 |     prompt_id) + (1 | country1),13817,63,7.89,C_usa_target,pg,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
C_usa_target__pg,"pendiente, modelos US",-0.535019892707472,0.117121813260421,-4.56806360671562,4.92250667248899e-06,0.0,1.43275980230292,2.27588422279283,0.114085811888785,,True,,bobyqa,1,refuse ~ x * origin_c + ((1 | model) + (0 + x | model)) + (1 |     prompt_id) + (1 | country1),13817,63,7.89,C_usa_target,pg,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
C_usa_target__pg,"pendiente, modelos CN",-0.531126697914954,0.10876557440499,-4.88322431817716,1.04365027556673e-06,0.0,1.43275980230292,2.27588422279283,0.114085811888785,,True,,bobyqa,1,refuse ~ x * origin_c + ((1 | model) + (0 + x | model)) + (1 |     prompt_id) + (1 | country1),13817,63,7.89,C_usa_target,pg,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
C_usa_target__pg,pendiente x origen (CN - US),0.0038931947925178,0.145643002669796,0.0267310802520639,0.978674223528115,0.0,1.43275980230292,2.27588422279283,0.114085811888785,,True,,bobyqa,1,refuse ~ x * origin_c + ((1 | model) + (0 + x | model)) + (1 |     prompt_id) + (1 | country1),13817,63,7.89,C_usa_target,pg,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
C_usa_target__control,pendiente (24 modelos),-0.533489000769467,0.119002683341757,-4.48299975923544,7.36010124551712e-06,0.095441356895255,1.41051577077059,2.65034567744683,0.220713609558238,,False,,bobyqa,1,refuse ~ x * origin_c + ((1 | model) + (0 + x | model)) + (1 |     prompt_id) + (1 | country1),13819,63,14.02,C_usa_target,control,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
C_usa_target__control,"pendiente, modelos US",-0.369778149827497,0.1467191792592,-2.5203122842872,0.0117250759053908,0.095441356895255,1.41051577077059,2.65034567744683,0.220713609558238,,False,,bobyqa,1,refuse ~ x * origin_c + ((1 | model) + (0 + x | model)) + (1 |     prompt_id) + (1 | country1),13819,63,14.02,C_usa_target,control,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
C_usa_target__control,"pendiente, modelos CN",-0.697199851711436,0.143688921926524,-4.85214755851502,1.2213169686996e-06,0.095441356895255,1.41051577077059,2.65034567744683,0.220713609558238,,False,,bobyqa,1,refuse ~ x * origin_c + ((1 | model) + (0 + x | model)) + (1 |     prompt_id) + (1 | country1),13819,63,14.02,C_usa_target,control,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
C_usa_target__control,pendiente x origen (CN - US),-0.327421701883939,0.166431647001543,-1.96730434255033,0.0491481347216092,0.095441356895255,1.41051577077059,2.65034567744683,0.220713609558238,,False,,bobyqa,1,refuse ~ x * origin_c + ((1 | model) + (0 + x | model)) + (1 |     prompt_id) + (1 | country1),13819,63,14.02,C_usa_target,control,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
D_china_target__pg,pendiente (24 modelos),-0.239774655525681,0.0929056150716361,-2.58084137692647,0.0098559856493574,0.149344517089647,1.45618406556923,2.27086065459734,0.12943524549287,,False,,bobyqa,1,refuse ~ x * origin_c + ((1 | model) + (0 + x | model)) + (1 |     prompt_id) + (1 | country1),13819,63,11.53,D_china_target,pg,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
