mode,country,dyad,quantity,OR,OR_lo,OR_hi,p,q_bh
pg,usa,us_ally,"direccion, modelos US",1.2118211927074796,1.0022397180120663,1.4652289035279469,0.0473571158431308,0.1894284633725232
pg,usa,us_ally,"direccion, modelos CN",1.1021473876149142,0.9271255704011944,1.3102096445260714,0.270297686109634,0.5001178879905674
pg,usa,us_rival,"direccion, modelos US",1.1747126421201295,0.983052729189098,1.4037393423393991,0.076409017850011,0.2580078180505277
pg,usa,us_rival,"direccion, modelos CN",1.1104697407807602,0.9451512198928196,1.3047044951489646,0.202631670025428,0.4228834852704584
pg,usa,us_neutral,"direccion, modelos US",1.363496982127991,1.1333782926261349,1.6403384751303016,0.0010106318280391,0.0242551638729384
pg,usa,us_neutral,"direccion, modelos CN",1.2694277427216607,1.0715477293663394,1.503849758465114,0.0057932737796508,0.0517385138891835
pg,usa,us_cn,"direccion, modelos US",1.231959991118797,0.9632455717148026,1.575637059006168,0.0965714862976715,0.2585890544351251
pg,usa,us_cn,"direccion, modelos CN",1.0593176743705763,0.8443534705707656,1.3290096794122646,0.618502438253127,0.7422029259037524
pg,china,cn_ally,"direccion, modelos US",1.351937920430107,1.1129617385354034,1.6422272908519593,0.0023782134589109,0.0285385615069308
pg,china,cn_ally,"direccion, modelos CN",1.2007250121906694,1.008421090055138,1.4297009147452997,0.039959339431677,0.1894284633725232
pg,china,cn_rival,"direccion, modelos US",1.0282260539821328,0.7858475172808258,1.3453612753603137,0.839179556153628,0.8951248598972033
pg,china,cn_rival,"direccion, modelos CN",0.8898250521360042,0.691827924039845,1.1444878067154172,0.363334278703279,0.5813348459252464
pg,china,cn_neutral,"direccion, modelos US",1.2825210191227363,1.0320320453139666,1.593807258176,0.0248070595043425,0.148842357026055
pg,china,cn_neutral,"direccion, modelos CN",1.2263588724680885,1.0026987835303514,1.499908156650992,0.0470072588298804,0.1894284633725232
pg,china,cn_us,"direccion, modelos US",0.8117146811672935,0.6346639769200155,1.0381568004222137,0.0965714088039934,0.2585890544351251
pg,china,cn_us,"direccion, modelos CN",0.9440038847092064,0.7524400201156942,1.1843380342914926,0.618502328131047,0.7422029259037524
control,usa,us_ally,"direccion, modelos US",1.0710012091066416,0.8758787905875692,1.3095916949175266,0.503832340611748,0.6364197986674711
control,usa,us_ally,"direccion, modelos CN",0.9758010933192092,0.80371084001368,1.1847392449089735,0.804547590164559,0.8776882801795189
