set,mode,model,origin,n_discordant,bias,abs_bias,null_expected,excess
geo,he,gemini-3.1-flash-lite,US,20,-0.3,0.3,0.1761970520019531,0.12380294799804689
geo,he,gemma-4-31b,US,9,0.5555555555555556,0.5555555555555556,0.27343750000000006,0.2821180555555555
geo,he,gpt-5.6-luna,US,7,-0.4285714285714285,0.4285714285714285,0.31249999999999994,0.11607142857142855
geo,he,gpt-5.6-sol,US,6,0.0,0.0,0.31250000000000017,-0.31250000000000017
geo,he,gpt-5.6-terra,US,7,-0.1428571428571428,0.1428571428571428,0.31249999999999994,-0.16964285714285715
geo,he,grok-4.3,US,38,-0.1578947368421052,0.1578947368421052,0.12858532063546588,0.02930941620663932
geo,he,haiku-4.5,US,38,0.1578947368421052,0.1578947368421052,0.12858532063546588,0.02930941620663932
geo,he,inkling,US,16,-0.125,0.125,0.19638061523437494,-0.07138061523437494
geo,he,nemotron-3-ultra,US,29,-0.1724137931034483,0.1724137931034483,0.14944598078727722,0.022967812316171066
geo,he,nemotron-3.5-lightning,US,15,-0.0666666666666666,0.0666666666666666,0.20947265625,-0.1428059895833334
geo,he,nova-2-lite,US,80,-0.5,0.5,0.0889278787739072,0.4110721212260928
geo,he,sonnet-5,US,7,0.4285714285714285,0.4285714285714285,0.31249999999999994,0.11607142857142855
geo,he,deepseek-v4-pro,CN,29,-0.1724137931034483,0.1724137931034483,0.14944598078727722,0.022967812316171066
geo,he,glm-5.2,CN,36,-0.2222222222222222,0.2222222222222222,0.13206059957155952,0.09016162265066269
geo,he,hy3,CN,33,0.3333333333333333,0.3333333333333333,0.13994993409141898,0.19338339924191433
geo,he,kimi-k2.6,CN,50,-0.16,0.16,0.11227517265921694,0.047724827340783066
geo,he,kimi-k3,CN,17,0.1764705882352941,0.1764705882352941,0.19638061523437503,-0.019910026999080926
geo,he,ling-3.0-flash,CN,26,0.0769230769230769,0.0769230769230769,0.15498101711273193,-0.07805794018965503
geo,he,mimo-v2.5-pro,CN,18,-0.1111111111111111,0.1111111111111111,0.18547058105468756,-0.07435946994357645
geo,he,minimax-m3,CN,36,0.1666666666666666,0.1666666666666666,0.13206059957155952,0.03460606709510708
geo,he,qwen3.7-plus,CN,36,-0.2222222222222222,0.2222222222222222,0.13206059957155952,0.09016162265066269
geo,he,qwen3.8-27b,CN,44,-0.3181818181818182,0.3181818181818182,0.11960417871932792,0.19857763946249024
geo,he,qwen3.8-flash,CN,26,-0.0769230769230769,0.0769230769230769,0.15498101711273193,-0.07805794018965503
geo,he,seed-2-1-turbo,CN,19,-0.4736842105263157,0.4736842105263157,0.18547058105468756,0.28821362947162815
geo,de,gemini-3.1-flash-lite,US,19,-0.3684210526315789,0.3684210526315789,0.18547058105468756,0.18295047157689137
geo,de,gemma-4-31b,US,17,0.7647058823529411,0.7647058823529411,0.19638061523437503,0.5683252671185661
geo,de,gpt-5.6-luna,US,21,0.5238095238095238,0.5238095238095238,0.17619705200195318,0.34761247180757066
geo,de,gpt-5.6-sol,US,39,0.4871794871794871,0.4871794871794871,0.12858532063546596,0.35859416654402115
geo,de,gpt-5.6-terra,US,24,0.4166666666666667,0.4166666666666667,0.16118025779724135,0.2554864088694253
geo,de,grok-4.3,US,58,-0.0344827586206896,0.0344827586206896,0.10431678611040969,-0.06983402748972009
geo,de,haiku-4.5,US,48,0.2916666666666667,0.2916666666666667,0.11456650271348677,0.1771001639531799
geo,de,inkling,US,43,0.627906976744186,0.627906976744186,0.12238567124768457,0.5055213054965015
geo,de,nemotron-3-ultra,US,64,-0.21875,0.21875,0.09934675374796686,0.11940324625203314
geo,de,nemotron-3.5-lightning,US,22,0.1818181818181818,0.1818181818181818,0.1681880950927734,0.013630086725408386
geo,de,nova-2-lite,US,70,-0.2571428571428571,0.2571428571428571,0.09502547354053766,0.16211738360231948
geo,de,sonnet-5,US,53,0.3962264150943396,0.3962264150943396,0.1101160347234629,0.28611038037087666
geo,de,deepseek-v4-pro,CN,50,0.12,0.12,0.11227517265921694,0.007724827340783058
geo,de,glm-5.2,CN,81,-0.1111111111111111,0.1111111111111111,0.08892787877390718,0.02218323233720393
geo,de,hy3,CN,77,0.3246753246753247,0.3246753246753247,0.09122307472450786,0.23345224995081681
geo,de,kimi-k2.6,CN,89,0.2134831460674157,0.2134831460674157,0.08481349515712315,0.12866965091029253
geo,de,kimi-k3,CN,38,0.2105263157894736,0.2105263157894736,0.12858532063546588,0.08194099515400771
geo,de,ling-3.0-flash,CN,61,0.2131147540983606,0.2131147540983606,0.10257817300856951,0.11053658108979107
geo,de,mimo-v2.5-pro,CN,25,0.12,0.12,0.1611802577972413,-0.0411802577972413
geo,de,minimax-m3,CN,88,0.1136363636363636,0.1136363636363636,0.08481349515712316,0.02882286847924044
geo,de,qwen3.7-plus,CN,69,-0.1594202898550724,0.1594202898550724,0.09640265431648748,0.06301763553858492
geo,de,qwen3.8-27b,CN,68,0.0294117647058823,0.0294117647058823,0.0964026543164875,-0.06699088961060519
geo,de,qwen3.8-flash,CN,62,0.1612903225806451,0.1612903225806451,0.10092368634714101,0.06036663623350409
geo,de,seed-2-1-turbo,CN,42,0.0476190476190476,0.0476190476190476,0.12238567124768455,-0.07476662362863695
geo,pg,gemini-3.1-flash-lite,US,9,0.1111111111111111,0.1111111111111111,0.27343750000000006,-0.16232638888888895
geo,pg,gemma-4-31b,US,16,-0.125,0.125,0.19638061523437494,-0.07138061523437494
geo,pg,gpt-5.6-luna,US,43,0.2093023255813953,0.2093023255813953,0.12238567124768457,0.08691665433371074
geo,pg,gpt-5.6-sol,US,53,0.5849056603773585,0.5849056603773585,0.1101160347234629,0.4747896256538956
geo,pg,gpt-5.6-terra,US,56,0.3928571428571428,0.3928571428571428,0.10614690516497827,0.2867102376921645
geo,pg,grok-4.3,US,46,0.391304347826087,0.391304347826087,0.11700408787760348,0.2743002599484835
geo,pg,haiku-4.5,US,76,0.1842105263157894,0.1842105263157894,0.09122307472450786,0.09298745159128155
geo,pg,inkling,US,63,0.1428571428571428,0.1428571428571428,0.100923686347141,0.0419334565100018
geo,pg,nemotron-3-ultra,US,59,-0.0169491525423728,0.0169491525423728,0.1043167861104097,-0.0873676335680369
geo,pg,nemotron-3.5-lightning,US,30,0.2666666666666666,0.2666666666666666,0.1444644480943681,0.12220221857229852
geo,pg,nova-2-lite,US,66,-0.4848484848484848,0.4848484848484848,0.09784149990330068,0.38700698494518415
geo,pg,sonnet-5,US,65,-0.0153846153846153,0.0153846153846153,0.09934675374796686,-0.08396213836335156
geo,pg,deepseek-v4-pro,CN,66,0.0909090909090909,0.0909090909090909,0.09784149990330068,-0.006932408994209785
geo,pg,glm-5.2,CN,67,0.044776119402985,0.044776119402985,0.09784149990330067,-0.053065380500315666
geo,pg,hy3,CN,66,0.2424242424242424,0.2424242424242424,0.09784149990330068,0.14458274252094172
geo,pg,kimi-k2.6,CN,80,0.225,0.225,0.0889278787739072,0.1360721212260928
geo,pg,kimi-k3,CN,46,0.2608695652173913,0.2608695652173913,0.11700408787760348,0.14386547733978783
