model,origin,mode,n_pairs,n_only_ai,n_only_human,n_discordant,bias,p_exact
nova-2-lite,US,he,168,0,2,2,-1.0,0.5
haiku-4.5,US,he,168,13,4,17,0.5294117647058824,0.049041748046875
sonnet-5,US,he,168,11,2,13,0.6923076923076923,0.0224609375
seed-2-1-turbo,CN,he,168,1,0,1,1.0,1.0
deepseek-v4-pro,CN,he,168,3,2,5,0.2,1.0
gemini-3.1-flash-lite,US,he,168,1,0,1,1.0,1.0
gemma-4-31b,US,he,168,2,1,3,0.3333333333333333,1.0
ling-3.0-flash,CN,he,168,10,9,19,0.0526315789473684,1.0
minimax-m3,CN,he,168,3,2,5,0.2,1.0
kimi-k2.6,CN,he,168,5,0,5,1.0,0.0625
kimi-k3,CN,he,168,1,3,4,-0.5,0.625
nemotron-3-ultra,US,he,168,4,2,6,0.3333333333333333,0.6875
nemotron-3.5-lightning,US,he,168,3,0,3,1.0,0.25
gpt-5.6-luna,US,he,168,1,1,2,0.0,1.0
gpt-5.6-sol,US,he,168,1,1,2,0.0,1.0
qwen3.7-plus,CN,he,168,2,1,3,0.3333333333333333,1.0
qwen3.8-27b,CN,he,168,13,3,16,0.625,0.021270751953125
qwen3.8-flash,CN,he,168,7,0,7,1.0,0.015625
hy3,CN,he,168,7,2,9,0.5555555555555556,0.1796875
inkling,US,he,168,6,1,7,0.7142857142857143,0.125
grok-4.3,US,he,168,11,2,13,0.6923076923076923,0.0224609375
mimo-v2.5-pro,CN,he,168,4,2,6,0.3333333333333333,0.6875
glm-5.2,CN,he,168,7,2,9,0.5555555555555556,0.1796875
nova-2-lite,US,de,168,16,3,19,0.6842105263157895,0.004425048828125
haiku-4.5,US,de,168,15,6,21,0.4285714285714285,0.0783538818359375
sonnet-5,US,de,168,35,2,37,0.8918918918918919,1.0244548320770264e-08
seed-2-1-turbo,CN,de,168,14,4,18,0.5555555555555556,0.0308837890625
deepseek-v4-pro,CN,de,168,16,3,19,0.6842105263157895,0.004425048828125
gemini-3.1-flash-lite,US,de,168,2,0,2,1.0,0.5
gemma-4-31b,US,de,168,1,1,2,0.0,1.0
ling-3.0-flash,CN,de,168,23,15,38,0.2105263157894736,0.2558750795433298
minimax-m3,CN,de,168,19,14,33,0.1515151515151515,0.486850241664797
kimi-k2.6,CN,de,168,25,10,35,0.4285714285714285,0.0166738478001207
kimi-k3,CN,de,168,18,1,19,0.8947368421052632,7.62939453125e-05
nemotron-3-ultra,US,de,168,10,6,16,0.25,0.454498291015625
nemotron-3.5-lightning,US,de,167,3,3,6,0.0,1.0
gpt-5.6-luna,US,de,168,8,0,8,1.0,0.0078125
gpt-5.6-sol,US,de,168,9,1,10,0.8,0.021484375
gpt-5.6-terra,US,de,168,6,1,7,0.7142857142857143,0.125
qwen3.7-plus,CN,de,168,10,6,16,0.25,0.454498291015625
qwen3.8-27b,CN,de,168,25,1,26,0.9230769230769232,8.046627044677734e-07
qwen3.8-flash,CN,de,168,13,5,18,0.4444444444444444,0.09625244140625
hy3,CN,de,168,17,8,25,0.36,0.1077521443367004
inkling,US,de,168,21,7,28,0.5,0.0125409513711929
grok-4.3,US,de,168,25,11,36,0.3888888888888889,0.0288167196558788
mimo-v2.5-pro,CN,de,168,18,4,22,0.6363636363636364,0.0043435096740722
glm-5.2,CN,de,168,27,11,38,0.4210526315789473,0.0138529652613215
nova-2-lite,US,pg,168,13,4,17,0.5294117647058824,0.049041748046875
haiku-4.5,US,pg,168,30,6,36,0.6666666666666666,6.960169412195683e-05
sonnet-5,US,pg,168,42,6,48,0.75,1.008748213848776e-07
seed-2-1-turbo,CN,pg,168,9,6,15,0.2,0.6072387695312499
deepseek-v4-pro,CN,pg,168,20,5,25,0.6,0.0040773153305053
gemini-3.1-flash-lite,US,pg,168,0,2,2,-1.0,0.5
gemma-4-31b,US,pg,168,4,6,10,-0.2,0.75390625
ling-3.0-flash,CN,pg,168,16,11,27,0.1851851851851851,0.442068338394165
minimax-m3,CN,pg,168,27,15,42,0.2857142857142857,0.0884295469877542
kimi-k2.6,CN,pg,168,34,5,39,0.7435897435897436,2.4299079086631536e-06
kimi-k3,CN,pg,168,22,5,27,0.6296296296296297,0.0015137195587158
nemotron-3-ultra,US,pg,168,13,10,23,0.1304347826086956,0.6776394844055176
nemotron-3.5-lightning,US,pg,168,10,4,14,0.4285714285714285,0.1795654296875
gpt-5.6-luna,US,pg,168,17,4,21,0.6190476190476191,0.0071973800659179
gpt-5.6-sol,US,pg,168,25,4,29,0.7241379310344828,0.0001037158071994
gpt-5.6-terra,US,pg,168,11,5,16,0.375,0.210113525390625
qwen3.7-plus,CN,pg,168,16,6,22,0.4545454545454545,0.0524787902832031
qwen3.8-27b,CN,pg,168,32,5,37,0.7297297297297297,7.427530363202095e-06
qwen3.8-flash,CN,pg,168,24,9,33,0.4545454545454545,0.0135309868492186
hy3,CN,pg,168,19,8,27,0.4074074074074074,0.0522389858961105
inkling,US,pg,168,23,7,30,0.5333333333333333,0.0052228793501853
grok-4.3,US,pg,168,19,4,23,0.6521739130434783,0.0025994777679443
mimo-v2.5-pro,CN,pg,168,19,3,22,0.7272727272727273,0.0008554458618164
